GM×ø±ê(XPOS)	GM×ø±ê(YPOS)
1706	3109
1749	3154
1793	3197
1835	3240
1880	3284
1921	3325
1962	3373
2010	3412
2053	3458
2010	3501
1967	3456
1923	3412
1878	3369
1837	3328
1794	3284
1750	3242
1707	3199
1663	3154
1618	3111
1574	3154
1618	3198
1661	3243
1705	3287
1748	3330
1792	3373
1835	3414
1878	3460
1922	3503
1966	3547
1922	3590
1877	3547
1838	3499
1791	3460
1747	3416
1703	3374
1660	3330
1616	3287
1573	3244
1529	3200
1484	3240
1528	3287
1572	3331
1617	3375
1660	3419
1704	3462
1747	3503
1790	3549
1830	3592
1880	3637
1835	3681
1790	3635
1748	3596
1703	3550
1660	3508
1617	3465
1572	3420
1530	3378
1485	3334
1440	3289
1398	3336
1442	3378
1485	3423
1530	3465
1570	3506
1616	3550
1658	3594
1704	3639
1748	3682
1790	3724
1746	3768
1700	3728
1660	3684
1615	3637
1570	3595
1530	3554
1486	3512
1440	3466
1395	3422
1350	3378
1307	3421
1352	3467
1395	3510
1441	3554
1484	3597
1529	3642
1572	3681
1615	3727
1657	3769
1705	3815
1656	3863
1612	3816
1570	3772
1529	3730
1484	3685
1440	3643
1397	3596
1354	3556
1309	3514
1264	3465
1663	3065
