Level	MagAttr1	Param1	Param2	Param3	spr	MagAttr2	Param1	Param2	Param3	spr	MagAttr3	Param1	Param2	Param3	spr	MagAttr4	Param1	Param2	Param3	spr
1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	enhancehit_rate	1	-1	-1	\spr\Ui3\pet\skill_enhancehit.spr	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	enhancehit_rate	1	-1	-1	\spr\Ui3\pet\skill_enhancehit.spr	skill_enhance	5	-1	-1	\spr\Ui3\pet\skill_attack.spr	-1	-1	-1	-1	-1	block_rate	1	-1	-1	\spr\Ui3\pet\skill_block.spr
12	enhancehit_rate	1	-1	-1	\spr\Ui3\pet\skill_enhancehit.spr	skill_enhance	6	-1	-1	\spr\Ui3\pet\skill_attack.spr	allres_yan_p	3	-1	-1	\spr\Ui3\pet\skill_resist_all.spr	block_rate	1	-1	-1	\spr\Ui3\pet\skill_block.spr
13	enhancehit_rate	1	-1	-1	\spr\Ui3\pet\skill_enhancehit.spr	skill_enhance	7	-1	-1	\spr\Ui3\pet\skill_attack.spr	allres_yan_p	3	-1	-1	\spr\Ui3\pet\skill_resist_all.spr	block_rate	1	-1	-1	\spr\Ui3\pet\skill_block.spr
14	enhancehit_rate	1	-1	-1	\spr\Ui3\pet\skill_enhancehit.spr	skill_enhance	10	-1	-1	\spr\Ui3\pet\skill_attack.spr	allres_yan_p	3	-1	-1	\spr\Ui3\pet\skill_resist_all.spr	block_rate	2	-1	-1	\spr\Ui3\pet\skill_block.spr
15	enhancehit_rate	1	-1	-1	\spr\Ui3\pet\skill_enhancehit.spr	skill_enhance	11	-1	-1	\spr\Ui3\pet\skill_attack.spr	allres_yan_p	6	-1	-1	\spr\Ui3\pet\skill_resist_all.spr	block_rate	2	-1	-1	\spr\Ui3\pet\skill_block.spr
16	enhancehit_rate	1	-1	-1	\spr\Ui3\pet\skill_enhancehit.spr	skill_enhance	12	-1	-1	\spr\Ui3\pet\skill_attack.spr	allres_yan_p	6	-1	-1	\spr\Ui3\pet\skill_resist_all.spr	block_rate	2	-1	-1	\spr\Ui3\pet\skill_block.spr
17	enhancehit_rate	1	-1	-1	\spr\Ui3\pet\skill_enhancehit.spr	skill_enhance	15	-1	-1	\spr\Ui3\pet\skill_attack.spr	allres_yan_p	6	-1	-1	\spr\Ui3\pet\skill_resist_all.spr	block_rate	3	-1	-1	\spr\Ui3\pet\skill_block.spr
18	enhancehit_rate	1	-1	-1	\spr\Ui3\pet\skill_enhancehit.spr	skill_enhance	16	-1	-1	\spr\Ui3\pet\skill_attack.spr	allres_yan_p	9	-1	-1	\spr\Ui3\pet\skill_resist_all.spr	block_rate	3	-1	-1	\spr\Ui3\pet\skill_block.spr
19	enhancehit_rate	1	-1	-1	\spr\Ui3\pet\skill_enhancehit.spr	skill_enhance	17	-1	-1	\spr\Ui3\pet\skill_attack.spr	allres_yan_p	9	-1	-1	\spr\Ui3\pet\skill_resist_all.spr	block_rate	3	-1	-1	\spr\Ui3\pet\skill_block.spr
20	enhancehit_rate	2	-1	-1	\spr\Ui3\pet\skill_enhancehit.spr	skill_enhance	20	-1	-1	\spr\Ui3\pet\skill_attack.spr	allres_yan_p	12	-1	-1	\spr\Ui3\pet\skill_resist_all.spr	block_rate	4	-1	-1	\spr\Ui3\pet\skill_block.spr
