ParentTaskId	TaskId	MinLevel	MaxLevel	Value	Text	Title	Desc
1001	1050	20	30	10	<color=red>Ng¹o V©n T«ng<color> ë Ph­îng T­êng <color=red> (198,206)<color> cho b¹n biÕt gÇn ®©y trªn giang hå xuÊt hiÖn mét bé B¶o gi¸p <color=red>Thiªn Hoµng Long Khİ<color>, ng­êi cã bé gi¸p nµy sÏ cã søc m¹nh v« th­îng. Thiªn Long Tù cã <color=red>Si T¨ng<color>, y biÕt ®­îc nhiÒu bİ mËt, cã lÏ y biÕt tin tøc liªn quan ®Õn Thiªn Hoµng Long Khİ.	Long Khİ xuÊt hiÖn	Giang hå xuÊt hiÖn mét bé Kh¶i gi¸p tuyÖt thÕ.... Thiªn Hoµng Long Khİ. Ng­êi ®o¹t ®­îc bé gi¸p nµy sÏ cã søc m¹nh rÊt lín. Ng¹o V¨n T«ng b¶o b¹n dß th¸m tung tİch. Ng¹o V©n T«ng b¶o b¹n ®iÒu tra tung tİch Thiªn Hoµng Long Khİ. Thiªn Hoµng Long Khİ cã liªn quan mËt thiÕt víi c¸i chÕt cña Nh¹c Phi T­êng qu©n… 
1001	1050	20	30	20	§Õn Thiªn Long Tù <color=red> §¹i Lı<color> t×m Si T¨ng<color=red> (167,176)<color> hái th¨m tin tøc cña Long Khİ.		
1001	1050	20	30	30	§èi tho¹i víi Si T¨ng. Si T¨ng muèn cã <color=red>Thiªn Tµn §Şa KhuyÕt §å phæ<color> míi nãi ra lai lŞch cña Long Khİ.		
1001	1050	20	30	40	Ra ngoµi <color=red> Thiªn Long Tù<color> ®¸nh b¹i Tµng B¶o kh¸ch, lÊy ®­îc 5 cuèn <color=red> Thiªn Tµn §Şa KhuyÕt §å phæ<color>.		
1001	1050	20	30	50	Sau khi ®­a 5 cuèn Thiªn Tµn §Şa KhuyÕt §å phæ cho Si T¨ng, míi ph¸t hiÖn Si T¨ng lµ gi¶.		
1001	1050	20	30	60	Hoµn thµnh nhiÖm vô! B¹n quay vÒ <color=red> Ph­îng T­êng<color> t×m Ng¹o V©n T«ng  <color=red> (198,206)<color>.		
1001	1050	20	30	70	Ng¹o V©n T«ng nhí ra <color=red>TiÔn §Çu<color> mÊy n¨m tr­íc ®· tõng nh¾c ®Õn Hoµng Long Khİ.		
1001	1050	20	30	80	§Õn <color=red>Hoa S¬n ph¸i<color> t×m TiÔn §Çu<color=red> (155,204)<color>, hái  tin tøc cña Long Khİ.		
1001	1050	20	30	90	TiÔn §Çu nãi <color=red>Thiªn Hoµng Long Khİ cã liªn quan ®Õn Nh¹c Phi<color>. N¨m x­a Nh¹c Phi kh«ng ph¶i chÕt t¹i Phong Ba §×nh, ¤ng ®­îc c¸c hiÖp kh¸ch che giÊu. Nh­ng Èn c­ kh«ng l©u, l¹i bŞ <color=red>Thİch kh¸ch thÇn bİ<color> ¸m s¸t.		
1001	1050	20	30	100	§Õn <color=red>Ph­îng T­êng<color> t×m SÇm Hïng<color=red> (192,201)<color>, may ra cã thÓ biÕt chót tin tøc		
1001	1050	20	30	110	SÇm Hïng kh¼ng ®Şnh Nh¹c t­íng qu©n cã 1 bé ¸o gi¸p thÇn k×, nh­ng sau khi bŞ thİch s¸t, ¸o gi¸p còng kh«ng thÊy tung tİch. SÇm Hïng biÕt chİnh <color=red>Phan Nh­ Long<color> lµ ng­êi ®· ¸m s¸t Nh¹c Phi.		
1001	1050	20	30	120	§Õn <color=red>Ph­îng T­êng<color> t×m Phan Nh­ Long <color=red> (220,190)<color>, b¸o thï cho Nh¹c Phi t­íng qu©n. Phan Nh­ Long vâ nghÖ chØ tÇm th­êng, lµm sao ®ñ søc ¸m s¸t Nh¹c Nhi! Râ rµng vÉn cßn 1 ©m m­u kh¸c! Hoµn thµnh nhiÖm vô! 		
1001	1050	20	30	130	B¹n ®¸nh b¹i Phan Nh­ Long, cã thÓ quay vÒ gÆp Ng¹o V©n T«ng phôc mÖnh.		
1001	1050	20	30	140	vÒ <color=red> Ph­îng T­êng<color> gÆp Ng¹o V©n T«ng <color=red> (198,206)<color> b¸o tin ®· ®¸nh b¹i Phan Nh­ Long.		
1001	1050	20	30	1000	Hoµn thµnh nhiÖm vô! Cã thÓ gÆp Ng¹o V©n T«ng l·nh th­ëng.		
1001	1051	30	40	10	<color=red>Mé Dung BÊt Ky<color> ®ang chÕ t¹o cho hoµng cung 1 bé b¶o gi¸p ®Ó chóc thä, «ng ta cÇn 1 viªn kho¸ng th¹ch (Kim)<color=red><color>.	T×m Kho¸ng th¹ch	Thî rÌn Mé Dung BÊt Ki th× kh«ng vui, V©n T«ng th× nh­ ®ang suy nghÜ xa x¨m! Rèt cuéc lµ cã chuyÖn g× nghiªm träng vËy?
1001	1051	30	40	20	Ng¹o V©n T«ng b¶o b¹n ®i Thµnh §« t×m H¹ Lan Chi <color=red> (385,324)<color>. C« ta tõng lµ ®Ö tö cña Mé Dung BÊt Ky, trong tay cã 2 lo¹i B¶o th¹ch nµy.		
1001	1051	30	40	30	H¹ Lan Chi b¶o b¹n ®Õn Giang T©n Th«n t×m <color=red>Ng« L·o th¸i<color>		
1001	1051	30	40	40	Hoµn thµnh nhiÖm vô! §Õn Giang T©n th«n t×m <color=red><color>Ng« l·o th¸i<color=red> (432,387)<color> hái th¨m tung tİch B¶o th¹ch.		
1001	1051	30	40	50	Ng« L·o th¸i h×nh nh­ th©n mang bÖnh l¹, kh«ng thÓ nãi chuyÖn.		
1001	1051	30	40	60	B¹n quyÕt ®Şnh quay vÒ <color=red>Ph­îng T­êng<color> t×m Ng¹o V©n T«ng<color=red> (198,206)<color> th­¬ng l­îng b­íc tiÕp theo.		
1001	1051	30	40	70	Ng¹o V©n T«ng cho biÕt n¨m x­a vò khİ s¸t h¹i Nh¹c Phi lµ do Mé Dung BÊt Ky chÕ t¹o. B©y giê «ng ta ®ang rÊt hèi hËn. Nh­ng «ng ta ®ang t×m b¶o th¹ch ®Ó lµm g×? Xem ra vÉn cßn bİ Èn! 		
1001	1051	30	40	80	V©n T«ng nghi ngê Ng« l·o th¸i bŞ ng­êi kh¸c cè ı h¹ ®éc, sai b¹n ®Õn <color=red>Phôc Ng­u S¬n<color>  ®¸nh 50 con Sãi xanh, lÊy x­¬ng sãi vÒ lµm thuèc.		
1001	1051	30	40	90	Sau khi giÕt 50 con Sãi xanh, vÒ gÆp Ng¹o V©n T«ng <color=red> (198,206)<color>.		
1001	1051	30	40	100	NhiÖm vô hoµn thµnh! Ng¹o V©n T«ng ®­a x­¬ng sãi cho <color=red>Cung A Ng­u<color> bµo chÕ D­îc töu trŞ bÖnh cho Ng« L·o th¸i		
1001	1051	30	40	110	§Õn <color=red>T­¬ng D­¬ng<color> t×m Cung A Ng­u<color=red> (193,199)<color>.¤ng ta ®ang gÆp r¾c rèi v× ¸c lang trªn Phôc Ng­u S¬n <color=red> (224,196)<color>, b¹n quyÕt ®Şnh ra tay.		
1001	1051	30	40	120	§Õn <color=red>Phôc Ng­u S¬n<color=red> diÖt ¸c lang<color=red> (223,196)<color>.		
1001	1051	30	40	130	Quay l¹i <color=red>T­¬ng D­¬ng<color>, b¸o víi Cung A Ng­u ®· giÕt ¸c lang.		
1001	1051	30	40	140	Cung A Ng­u ®­a cho b¹n Lang Cèt töu ®· bµo chÕ xong <color=red><color>		
1001	1051	30	40	150	§Õn <color=red>Giang T©n Th«n<color> ®­a thuèc cho Ng« L·o th¸i<color=red> (432,387)<color>.		
1001	1051	30	40	160	Giao Lang Cèt töu cho Ng« l·o th¸i.		
1001	1051	30	40	170	Ng« L·o th¸i cho biÕt: ®· gióp H¹ Lan Chi gi÷ 2 viªn <color=red>B¶o th¹ch thuéc tİnh<color>. B¹n cã thÓ quay vÒ t×m Ng¹o V©n T«ng phôc mÖnh.		
1001	1051	30	40	180	Cã ®­îc B¶o th¹ch, quay vÒ <color=red>Ph­îng T­êng<color> gÆp Ng¹o V©n T«ng <color=red> (198,206)<color> phôc mÖnh.		
1001	1051	30	40	1000	NhiÖm vô hoµn thµnh!		
1001	1052	40	50	10	Ng¹o V©n T«ng truyÒn d¹y cho b¹n mét vµi bİ quyÕt vâ c«ng ®Ó hµnh tÈu giang hå! Xem ra b¹n thËt lµ may m¾n!	Gi¶ nhËp L©m Uyªn	Ng¹o V©n T«ng b¶o b¹n ®i thi ®Êu vâ tr­êng 1 trËn ®Ó thÓ hiÖn b¶n lÜnh! §©y lµ c¬ héi ®Ó b¹n lÊy ®­îc niÒm tin víi «ng ta.
1001	1052	40	50	20	§i <color=red>Tû vâ tr­êng<color> (D­¬ng Ch©u/Thµnh §«/T­¬ng D­¬ng) ®Êu 1 trËn chøng minh b¶n lÜnh		
