µÀ¾ßÃû³Æ	µÀ¾ßÆ·ÖÊ	µÀ¾ßID	µÀ¾ßÖÖÀà	¾ßÌåÀà±ð	ÏêÏ¸Àà±ð	°×½ðµÈ¼¶	µÈ¼¶	Ä§·¨ÊôÐÔID1	²ÎÊý1	Ä§·¨1ÆðÊ¼Öµ1	Ä§·¨1½áÊøÖµ1	Ä§·¨1¼ÛÖµ1	Ä§·¨1ÆðÊ¼Öµ2	Ä§·¨1½áÊøÖµ2	Ä§·¨1¼ÛÖµ2	 Ä§·¨1ÆðÊ¼Öµ3 	 Ä§·¨1½áÊøÖµ3 	Ä§·¨1¼ÛÖµ3	 Ä§·¨1ÆðÊ¼Öµ4 	 Ä§·¨1½áÊøÖµ4 	Ä§·¨1¼ÛÖµ4	 Ä§·¨1ÆðÊ¼Öµ5	 Ä§·¨1½áÊøÖµ5	Ä§·¨1¼ÛÖµ5	Ä§·¨ÊôÐÔID2	²ÎÊý2	Ä§·¨2ÆðÊ¼Öµ1	Ä§·¨2½áÊøÖµ1	Ä§·¨2¼ÛÖµ1	Ä§·¨2ÆðÊ¼Öµ2	Ä§·¨2½áÊøÖµ2	Ä§·¨2¼ÛÖµ2	 Ä§·¨2ÆðÊ¼Öµ3 	 Ä§·¨2½áÊøÖµ3 	Ä§·¨2¼ÛÖµ3	Ä§·¨2ÆðÊ¼Öµ4	Ä§·¨2½áÊøÖµ4	Ä§·¨2¼ÛÖµ4	 Ä§·¨2ÆðÊ¼Öµ5	 Ä§·¨2½áÊøÖµ5	Ä§·¨2¼ÛÖµ5	Ä§·¨ÊôÐÔID3	²ÎÊý3	Ä§·¨3ÆðÊ¼Öµ1	Ä§·¨3½áÊøÖµ1	Ä§·¨3¼ÛÖµ1	Ä§·¨3ÆðÊ¼Öµ2	Ä§·¨3½áÊøÖµ2	Ä§·¨3¼ÛÖµ2	Ä§·¨3ÆðÊ¼Öµ3	Ä§·¨3½áÊøÖµ3	Ä§·¨3¼ÛÖµ3	Ä§·¨3ÆðÊ¼Öµ4	Ä§·¨3½áÊøÖµ4	Ä§·¨3¼ÛÖµ4	 Ä§·¨3ÆðÊ¼Öµ5	 Ä§·¨3½áÊøÖµ5	Ä§·¨3¼ÛÖµ5	Ä§·¨ÊôÐÔID4	²ÎÊý4	Ä§·¨4ÆðÊ¼Öµ1	Ä§·¨4½áÊøÖµ1	Ä§·¨4¼ÛÖµ1	Ä§·¨4ÆðÊ¼Öµ2	Ä§·¨4½áÊøÖµ2	Ä§·¨4¼ÛÖµ2	Ä§·¨4ÆðÊ¼Öµ3	Ä§·¨4½áÊøÖµ3	Ä§·¨4¼ÛÖµ3	Ä§·¨4ÆðÊ¼Öµ4	Ä§·¨4½áÊøÖµ4	Ä§·¨4¼ÛÖµ4	 Ä§·¨4ÆðÊ¼Öµ5	 Ä§·¨4½áÊøÖµ5	Ä§·¨4¼ÛÖµ5	±£µ×	11
Méng Long ChÝnh Hång T¨ng M·o	1	1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	50
Méng Long Kim Ti ChÝnh Hång Cµ Sa	1	2	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	50
Méng Long HuyÒn Ti Ph¸t ®¸i	1	3	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	50
Méng Long PhËt Ph¸p HuyÒn Béi	1	4	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	50
Méng Long Tö Kim B¸t Nh·Giíi	1	5	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	50
Phôc Ma Tö Kim C«n	1	6	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	50
Phôc Ma V« L­îng Kim C­¬ng UyÓn	1	7	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	50
Phôc Ma ¤ Kim NhuyÔn §iÒu	1	8	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	50
Phôc Ma PhËt T©m NhuyÔn KhÊu	1	9	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	50
Phôc Ma Phæ §é T¨ng hµi	1	10	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	50
