key	value
K_WORLD	世界
K_CITY	城市
K_TEAM	队伍
K_NEARBY	附近

K_FN_SHAOLIN	少林派
K_FN_TIANWANG	天王帮
K_FN_TANGMEN	唐门
K_FN_WUDU	五毒教
K_FN_EMEI	峨嵋派
K_FN_CUIYAN	翠烟门
K_FN_GAIBANG	丐帮
K_FN_TIANREN	天忍教
K_FN_WUDAN	武当派
K_FN_KUNLUN	昆仑派

K_INFO_BULLETIN	公告
K_INFO_SYSTEM	系统

K_PR_FRIEND	
K_PR_BROTHER	亲人\n
K_PR_MATE	配偶\n
K_PR_ENEMY	仇人\n

U_RELAY	Relay
U_ERROR_ON_SHUTDOWN	Relay关闭时出错。
U_LOAD_AUCTION_FILE_FAIL	读取拍卖模块配置文件失败！
U_INIT_AUCTION_DATA_FAIL	初始化追杀数据失败
U_FAIL_TO_OPEN_AUCTION_DB	打开拍卖数据库失败
U_FAIL_TO_OPEN_KILLER_DB	打开追杀任务数据库失败
U_ERR_IN_KILLDATA_FORMATTODATA	程序存在隐患,报告程序员, in KKillerData::FormatToData
U_RELAY_ALREADY_RUN	已有S3Relay尚在运行中。
U_RELAYGUARD_ALREADY_RUN	检测到有RelayGuard正在运行，同时启动Relay是危险的！\n所以偶不想让Relay现在就运行！

G_AUCTIONSUCCESS	%s以%d的最高价买走物品, 拍卖结束
G_AUCTIONSUCCESSTOWINNER	恭喜成功竞买该物品
G_AUCTIONSUCCESSTOOWNER	%s以%d的最高价买走物品, 请在指定时间内领钱
G_AUCTIONSUCCESSTAKEMOENYFAIL	您没有及时领钱, 系统丢弃
G_AUCTIONSUCCESSTAKEITEMFAIL	您没有及时领取物品, 系统丢弃
G_AUCTIONCHEATER	%s在拍卖过程通过转移物品作弊, 是个骗子
G_AUCTIONFAILCONTINUE	您的物品这次拍卖失败, 已经入下一轮拍卖, %d小时%d分钟%d秒后开始
G_AUCTIONFAIL	您的物品拍卖失败, 请领取物品
G_AUCTIONJOINFAIL	该物品竞买人已达上限, 您加入失败
G_AUCTIONJOINFAILNOMONEY	目前物品最高价为 %d, 您身上的钱不够, 无法加入竞买
G_AUCTIONJOINSUCCESS	你加入的竞买
G_AUCTIONJOINSUCCESSTOALL	%s加入该物品竞买队列

G_AUCTIONBIDDERHIGHEST	目前出价最高者是%s, 出价为%d两银子
G_AUCATIONQUITFAIL	您是出价最高, 不能推出拍卖
G_AUCATIONQUITSUCCESS	%s退出了拍卖
