SkillBookId	BaseLevel	LevelIncrement	SeriesLimit	SkillId
834	1	11	-1	549
835	1	11	-1	550
836	1	11	-1	551
837	1	11	-1	552
838	1	11	-1	553
839	80	2	0	558
840	80	2	0	559
841	80	2	1	564
842	80	2	1	565
843	80	2	2	570
844	80	2	2	571
845	80	2	3	576
846	80	2	3	577
847	80	2	4	582
848	80	2	4	583
849	10	10	-1	584
850	10	10	-1	585
851	10	10	0	586
852	10	10	0	587
853	10	10	-1	588
854	10	10	-1	589
855	10	10	-1	590
856	10	10	-1	591
857	10	10	-1	592
858	10	10	-1	593
859	10	10	1	594
860	10	10	1	595
861	10	10	4	596
862	10	10	3	597
863	10	10	2	598
864	10	10	-1	599
865	10	10	3	600
866	10	10	2	601
867	10	10	4	602
868	10	10	-1	603
869	10	10	-1	604
870	10	10	-1	606
871	10	10	0	607
872	10	10	0	608
873	10	10	3	609
874	10	10	3	610
875	10	10	2	611
876	10	10	0	612
877	10	10	2	613
878	10	10	1	614
879	10	10	3	615
880	10	10	4	616
881	10	10	1	617
882	10	10	1	618
883	10	10	4	619
884	1	1	-1	621
901	10	10	4	660
1063	20	6	-1	704
