APTITUDE	LIFE_ATTRIB_MIN	LIFE_ATTRIB_MAX	STRENGTH_ATTRIB_MIN	STRENGTH_ATTRIB_MAX	HITTARGETRATE_ATTRIB_MIN	HITTARGETRATE_ATTRIB_MAX	DEFENCE_ATTRIB_MIN	DEFENCE_ATTRIB_MAX	SPEED_ATTRIB_MIN	SPEED_ATTRIB_MAX	LUCK_ATTRIB_MIN	LUCK_ATTRIB_MAX	REMARK
1	0.01	0.12	0.01	0.12	0.01	0.12	0.01	0.12	0.01	0.12	0.01	0.12
2	0.08	0.22	0.08	0.22	0.08	0.22	0.08	0.22	0.08	0.22	0.08	0.22
3	0.18	0.32	0.18	0.32	0.18	0.32	0.18	0.32	0.18	0.32	0.18	0.32
4	0.28	0.42	0.28	0.42	0.28	0.42	0.28	0.42	0.28	0.42	0.28	0.42
5	0.38	0.52	0.38	0.52	0.38	0.52	0.38	0.52	0.38	0.52	0.38	0.52
6	0.48	0.62	0.48	0.62	0.48	0.62	0.48	0.62	0.48	0.62	0.48	0.62
7	0.58	0.72	0.58	0.72	0.58	0.72	0.58	0.72	0.58	0.72	0.58	0.72
8	0.68	0.82	0.68	0.82	0.68	0.82	0.68	0.82	0.68	0.82	0.68	0.82
9	0.78	0.92	0.78	0.92	0.78	0.92	0.78	0.92	0.78	0.92	0.78	0.92
10	0.88	1	0.88	1	0.88	1	0.88	1	0.88	1	0.88	1
