Ç°ºó×ºÃû³Æ	ÊÇ·ñÇ°×º	ÎåÐÐÊôÐÔÒªÇó	µÈ¼¶ÒªÇó	ÊôÐÔµ÷ÕûÀà±ð	²ÎÊý1×îÐ¡Öµ	²ÎÊý1×î´óÖµ	²ÎÊý2×îÐ¡Öµ	²ÎÊý2×î´óÖµ	²ÎÊý3×îÐ¡Öµ	²ÎÊý3×î´óÖµ	Ð§¹ûËµÃ÷	½ü³ÌÎäÆ÷	°µÆ÷	¿ø¼×	½äÖ¸	ÏîÁ´	Ñ¥×Ó	Ñü´ø	Í·¿ø	»¤Íó	Ñü×¹	Âí
Thanh §ång 	1		1	126	5	10	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
XÝch §ång 	1		2	126	10	20	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
Sinh ThiÕt	1		3	126	20	30	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
Tinh Cang	1		4	126	30	40	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
B¹ch Ng©n	1		5	126	40	50	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
ThuÇn Ng©n	1		6	126	50	60	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
Hoµng Kim	1		7	126	60	70	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
B¹ch Kim	1		8	126	70	80	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
VÉn ThiÕt	1		9	126	80	90	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
HuyÒn ThiÕt	1		10	126	90	100	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
Mòi nhän	1		1	166	10	30	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
§Ñp ®Ï	1		2	166	30	60	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
Vâ sÜ 	1		3	166	60	90	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
HiÖp kh¸ch	1		4	166	90	120	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
B¸ chñ 	1		5	166	120	150	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
Quèc v­¬ng	1		6	166	150	180	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
Qu©n V­¬ng	1		7	166	180	210	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
B¸ V­¬ng	1		8	166	210	240	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
Hoµng §Õ	1		9	166	240	270	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
Ngäc §Õ	1		10	166	270	300	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
Tèc ®é cao	1		2	115	10	10	-1	-1	0	0	T¨ng tèc ®é c«ng kÝch	20000	20000	0	0	0	0	0	0	0	0	0
CÊp tèc	1		5	115	20	20	-1	-1	0	0	T¨ng tèc ®é c«ng kÝch	20000	20000	0	0	0	0	0	0	0	0	0
Tèc ®é	1		9	115	30	30	-1	-1	0	0	T¨ng tèc ®é c«ng kÝch	20000	20000	0	0	0	0	0	0	0	0	0
§©m xuyªn	1		10	58	1	1	-1	-1	0	0	Bá qua phßng thñ ®èi ph­¬ng	10000	10000	0	0	0	0	0	0	0	0	0
VÜnh h»ng	1		10	43	1	1	-1	-1	0	0	Kh«ng thÓ ph¸ hñy	100	100	100	0	0	100	100	100	100	0	0
Ch¾c ch¾n	1		1	150	20	30	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
X¬ cøng	1		2	150	30	40	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
S¾t thÐp	1		3	150	40	50	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
Kiªn cè 	1		4	150	50	60	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
Kiªn c­êng	1		5	150	60	70	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
Th¸nh thiÖn	1		6	150	70	85	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
Th¸nh thiÖn	1		7	150	85	110	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
Chóc phóc	1		8	150	110	150	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
Chóc phóc	1		9	150	150	200	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
ThÇn H÷u	1		10	150	200	250	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
Tèc ®é cao	1		2	111	10	15	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	200000	0	0	0	0	0
§õng véi	1		4	111	15	20	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	200000	0	0	0	0	0
Nhanh chãng	1		6	111	20	25	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	200000	0	0	0	0	0
Bay l­în	1		8	111	25	30	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	200000	0	0	0	0	0
Khoa Phô 	1		10	111	30	40	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	200000	0	0	0	0	0
Gai nhän	1		3	117	1	10	-1	-1	0	0	Ph¶n ®ßn VËt lý 	0	0	10000	0	0	0	0	0	0	0	0
§©m ng· 	1		9	117	10	20	-1	-1	0	0	Ph¶n ®ßn VËt lý 	0	0	10000	0	0	0	0	0	0	0	0
Ngµy b×nh th­êng	1		3	113	20	20	-1	-1	0	0	Phôc håi tr¹ng th¸i c«ng kÝch	0	0	25000	0	0	0	0	0	0	0	0
æn ®Þnh	1		6	113	30	30	-1	-1	0	0	Phôc håi tr¹ng th¸i c«ng kÝch	0	0	25000	0	0	0	0	0	0	0	0
C©n ®èi	1		9	113	40	40	-1	-1	0	0	Phôc håi tr¹ng th¸i c«ng kÝch	0	0	25000	0	0	0	0	0	0	0	0
