SCRIPTID	POSX	POSY
player_00	52544	95744
player_00	52544	96768
player_00	52672	95424
player_00	52736	95264
player_00	52736	96992
player_00	52768	95072
player_00	52800	96800
player_00	52864	95360
player_00	52896	95232
player_00	52896	96608
player_00	52928	96800
player_00	52928	96992
player_00	53024	95360
player_00	53056	96768
player_1	49728	91744
player_1	49728	91936
player_1	49792	88992
player_1	49792	89152
player_1	51040	88992
player_1	51040	89184
player_1	51072	91776
player_1	51072	91968
player_2	50336	96096
player_2	50368	95968
player_2	50368	96192
player_2	50432	96096
player_2	50464	95840
player_2	50464	96256
player_2	50496	96000
player_2	50528	95904
player_3	49824	102016
player_3	49824	99296
player_3	49920	99424
player_3	49952	102048
player_3	50912	102048
player_3	50944	99168
player_3	51040	101856
player_3	51072	99360
player_4	47264	92032
player_4	47296	89440
player_4	47328	92256
player_4	47360	89280
player_4	47840	90496
player_4	47968	90720
player_4	48256	92128
player_4	48512	89472
player_5	47200	94240
player_5	47200	94432
player_5	47296	94336
player_5	47360	94240
player_5	47360	94432
player_5	48448	97088
player_5	48512	96992
player_5	48576	97120
player_6	48416	101792
player_6	48416	102016
player_6	48416	102368
player_6	48480	102496
player_6	48544	101792
player_6	48544	102048
player_6	48544	102368
player_6	48544	102592
player_7	44608	89216
player_7	44640	91936
player_7	44672	89312
player_7	44704	91840
player_7	45920	89280
player_7	45952	91872
player_7	45984	89216
player_7	46016	91968
player_8	44608	95584
player_8	44704	95712
player_8	44800	95584
player_8	45888	95552
player_8	45888	95776
player_8	45984	95680
player_8	46048	95552
player_8	46048	95808
player_9	44576	99136
player_9	44576	99296
player_9	44576	99360
player_9	44576	99456
player_9	44672	99136
player_9	44672	99296
player_9	44672	99360
player_9	44672	99456
player_10	42624	91680
player_10	42688	89152
player_10	42752	91520
player_10	42752	91680
player_10	42816	88992
player_10	42816	89152
player_10	42880	91680
player_10	42976	89152
player_11	42208	94304
player_11	42208	94592
player_11	42272	94432
player_11	42336	94592
player_11	43168	96448
player_11	43264	96576
player_11	43328	96448
player_11	43328	96704
player_12	42624	100544
player_12	42624	100640
player_12	42624	100704
player_12	42720	100544
player_12	42720	100640
player_12	42720	100800
player_12	42784	100544
player_12	42784	100704
player_13	42048	84512
player_13	42080	84416
player_13	42144	86208
player_13	42496	86880
player_13	43168	84416
player_13	43200	84512
player_13	43296	86720
player_13	43296	86848
player_14	44544	85376
player_14	44544	85504
player_14	45152	86624
player_14	45184	84160
player_14	45280	86624
player_14	45312	84192
player_14	45952	85472
player_14	45952	85600
player_15	47232	84256
player_15	47264	86784
player_15	47424	84256
player_15	47424	86880
player_15	48352	86816
player_15	48416	83968
player_15	48544	86848
player_15	48608	84000
player_16	49920	84256
player_16	49952	86464
player_16	49984	85248
player_16	50496	85248
player_16	50560	86496
player_16	50976	84320
player_16	50976	85216
player_16	50976	86432
player_17	52288	84128
player_17	52416	84224
player_17	52832	84704
player_17	52928	85856
player_17	53024	85856
player_17	53312	84160
player_17	53504	85920
player_17	53568	86240
player_18	52512	91808
player_18	52640	91872
player_18	52672	89344
player_18	52704	89216
player_18	53312	89248
player_18	53376	89344
player_18	53408	91616
player_18	53472	91616
player_19	52512	102304
player_19	52608	102304
player_19	52896	99168
player_19	52960	99264
player_19	52992	100544
player_19	53088	100640
player_19	53312	102144
player_19	53376	102048
