POSX	POSY
47104	86784
47136	84128
47232	84480
47232	87072
47264	83904
47264	86432
47392	83936
47424	84448
47424	86496
47456	87104
47520	84128
47520	86784
47584	85152
47584	85568
47616	85024
47616	85312
47616	85824
47648	85696
47680	84928
47680	85056
47712	85824
47776	84992
47776	85696
47776	85984
47808	85856
47904	84704
47904	84928
48000	84832
48032	85856
48032	86112
48064	84736
48064	84960
48096	85984
48128	85824
48160	86016
48192	85056
48192	85696
48224	86912
48256	84928
48256	86720
48288	85056
48288	85664
48288	85792
48320	84000
48320	84192
48320	85216
48320	85536
48352	86560
48384	83808
48384	85024
48416	85632
48480	84288
48512	87104
48576	83872
48576	86976
48608	86720
48640	84160
