POSX	POSY
44608	100096
44608	100320
44608	100576
44608	100768
44608	101088
44608	101376
44608	101760
44608	102016
44608	102336
44672	102560
44672	99872
44864	100832
44864	101120
44864	101344
44864	101568
44864	101824
44864	102560
44896	100576
44896	99872
44928	100352
44928	102048
45056	100320
45056	99328
45056	99872
45088	102112
45120	100864
45120	101120
45120	102560
45152	101344
45152	101472
45152	101600
45184	100320
45184	100800
45184	100960
45184	99872
45216	101152
45216	102080
45248	101312
45248	101472
45248	101600
45312	100832
45344	100320
45344	101472
45344	101632
45376	99328
45376	99872
45408	100832
45408	102080
45440	101056
45440	101408
45440	101536
45440	101664
45440	102560
45472	101216
45504	100416
45504	100640
45504	100864
45504	100992
45504	101120
45504	101312
45536	101408
45536	101536
45536	101664
45568	99872
45600	102080
45696	102560
45760	100128
45760	100320
45760	100512
45760	100672
45760	100864
45760	101088
45760	101344
45760	101600
45760	101792
45760	102016
45760	99328
45760	99904
45952	102592
46080	100352
46080	100864
46080	101408
46080	101920
46080	102368
46080	99328
46080	99808
