等级	升级需要经验	升级附加经验（万）	1转附加经验	2转附加经验	3转附加经验	4转附加经验	5转附加经验	6转附加经验
1	100							
2	500							
3	1100							
4	1900							
5	2900							
6	4100							
7	5500							
8	7100							
9	8900							
10	10900							
11	13100							
12	15700							
13	18700							
14	22100							
15	25900							
16	30100							
17	34700							
18	39700							
19	45100							
20	50900							
21	57100							
22	63900							
23	71300							
24	79300							
25	87900							
26	97100							
27	106900							
28	117300							
29	128300							
30	139900							
31	152100							
32	165400							
33	179800							
34	195300							
35	211900							
36	229600							
37	248400							
38	268300							
39	289300							
40	311400							
41	334600							
42	360400							
43	388800							
44	419800							
45	453400							
46	489600							
47	528400							
48	569800							
49	613800							
50	660400							
51	709600							
52	766000							
53	829600							
54	900400							
55	978400							
56	1063600							
57	1156000							
58	1255600							
59	1362400							
60	1476400							
61	1597600							
62	1738200							
63	1898200							
64	2077600							
65	2276400							
66	2494600							
67	2732200							
68	2989200							
69	3265600							
70	3561400							
71	3876600							
72	4240200							
73	4652200							
74	5112600							
75	5621400							
76	6178600							
77	6784200							
78	7438200							
79	8140600							
80	8891400							
81	9690600							
82	10600800							
83	11622000							
84	12754200							
85	13997400							
86	15351600							
87	16816800							
88	18393000							
89	60240600							
90	65635200							
91	71362800							
92	77799000							
93	84943800							
94	92797200							
95	101359200							
96	110629800							
97	120609000							
98	131296800							
99	142693200							
100	150000000							
101	150000000							
102	150000000							
103	150000000							
104	150000000							
105	150000000							
106	150000000							
107	150000000							
108	150000000							
109	150000000							
110	180000000							
111	180000000							
112	180000000							
113	180000000							
114	180000000							
115	180000000							
116	180000000							
117	180000000							
118	180000000							
119	180000000							
120	400000000							
121	600000000							
122	810000000							
123	1090000000							
124	1280000000							
125	1460000000							
126	1680000000							
127	2000000000	1000 						
128	2000000000	30000 						
129	2000000000	54000 						
130	2000000000	84480 	16000	48000	64000	0	0	0
131	2000000000	107000 	16000	48000	64000	144000	144000	144000
132	2000000000	128490 	16000	48000	64000	144000	144000	144000
133	2000000000	153500 	16000	48000	64000	144000	144000	144000
134	2000000000	189800 	16000	48000	64000	144000	144000	144000
135	2000000000	215000 	20000	60000	80000	140000	140000	140000
136	2000000000	237500 	20000	60000	80000	180000	180000	180000
137	2000000000	268000 	20000	60000	80000	180000	180000	180000
138	2000000000	297000 	20000	60000	80000	180000	180000	180000
139	2000000000	310000 	20000	60000	80000	180000	180000	180000
140	2000000000	340000 	30000	90000	120000	170000	170000	170000
141	2000000000	381400 	30000	90000	120000	270000	270000	270000
142	2000000000	423628 	30000	90000	120000	270000	270000	270000
143	2000000000	473237 	30000	90000	120000	270000	270000	270000
144	2000000000	524334 	30000	90000	120000	270000	270000	270000
145	2000000000	576964 	50000	150000	200000	250000	250000	250000
146	2000000000	639243 	50000	150000	200000	450000	450000	450000
147	2000000000	704012 	50000	150000	200000	450000	450000	450000
148	2000000000	771373 	50000	150000	200000	450000	450000	450000
149	2000000000	841428 	50000	150000	200000	450000	450000	450000
150	2000000000	914285 	80000	240000	320000	420000	420000	420000
151	2000000000	1001499 	80000	240000	320000	720000	720000	720000
152	2000000000	1093074 	80000	240000	320000	720000	720000	720000
153	2000000000	1189228 	80000	240000	320000	720000	720000	720000
154	2000000000	1290189 	80000	240000	320000	720000	720000	720000
155	2000000000	1396198 	120000	360000	480000	680000	680000	680000
156	2000000000	1507508 	120000	360000	480000	1080000	1080000	1080000
157	2000000000	1641759 	120000	360000	480000	1080000	1080000	1080000
158	2000000000	1784064 	120000	360000	480000	1080000	1080000	1080000
159	2000000000	1934908 	120000	360000	480000	1080000	1080000	1080000
160	2000000000	2094803 	180000	540000	720000	1020000	1020000	1020000
161	2000000000	2264291 	180000	540000	720000	1620000	1620000	1620000
162	2000000000	2443948 	180000	540000	720000	1620000	1620000	1620000
163	2000000000	2634385 	180000	540000	720000	1620000	1620000	1620000
164	2000000000	2836248 	180000	540000	720000	1620000	1620000	1620000
165	2000000000	3050223 	200000	600000	800000	1600000	1600000	1600000
166	2000000000	3320539 	200000	600000	800000	1800000	1800000	1800000
167	2000000000	3609777 	200000	600000	800000	1800000	1800000	1800000
168	2000000000	3919261 	200000	600000	800000	1800000	1800000	1800000
169	2000000000	4250409 	200000	600000	800000	1800000	2800000	2800000
170	2000000000	4604738 	200000	600000	800000	1800000	2800000	2800000
171	2000000000	4983870 	200000	600000	800000	1800000	2800000	2800000
172	2000000000	5389540 	200000	600000	800000	1800000	2800000	2800000
173	2000000000	5823608 	200000	600000	800000	1800000	2800000	2800000
174	2000000000	6288061 	200000	600000	800000	1800000	2800000	2800000
175	2000000000	6785025 	200000	600000	800000	1800000	2800000	2800000
176	2000000000	7316777 	200000	600000	800000	1800000	2800000	2800000
177	2000000000	7885751 	200000	600000	800000	1800000	2800000	2800000
178	2000000000	8494554 	200000	600000	800000	1800000	2800000	2800000
179	2000000000	8971282 	200000	600000	800000	1800000	2800000	2800000
180	2000000000	9471846 	200000	600000	800000	1800000	2800000	2800000
181	2000000000	9997438 	200000	600000	800000	1800000	2800000	2800000
182	2000000000	10549310 	200000	600000	800000	1800000	2800000	2800000
183	2000000000	11128775 	200000	600000	800000	1800000	2800000	2800000
184	2000000000	11737214 	200000	600000	800000	1800000	2800000	2800000
185	2000000000	12376075 	200000	600000	800000	1800000	2800000	2800000
186	2000000000	13046879 	200000	600000	800000	1800000	2800000	2800000
187	2000000000	13751222 	200000	600000	800000	1800000	2800000	2800000
188	2000000000	14490784 	200000	600000	800000	1800000	2800000	2800000
189	2000000000	15267323 	200000	600000	800000	1800000	2800000	2800000
190	2000000000	16082689 	200000	600000	800000	1800000	2800000	2800000
191	2000000000	16938823 	200000	600000	800000	1800000	2800000	2800000
192	2000000000	17837764 	200000	600000	800000	1800000	2800000	2800000
193	2000000000	18781653 	200000	600000	800000	1800000	2800000	2800000
194	2000000000	19772735 	200000	600000	800000	1800000	2800000	2800000
195	2000000000	20813372 	200000	600000	800000	1800000	2800000	2800000
196	2000000000	21906041 	200000	600000	800000	1800000	2800000	2800000
197	2000000000	23053343 	200000	600000	800000	1800000	2800000	2800000
198	2000000000	24258010 	200000	600000	800000	1800000	2800000	2800000
199	2000000000	25522910 	800000	1800000	1800000	1800000	5800000	39800000
200	2000000000	26851056 	800000	1800000	1800000	3800000	5800000	39800000
