key	value
K_WORLD	ThÕ giíi
K_CITY	Thµnh thÞ 
K_TEAM	§éi ngò 
K_NEARBY	Phô cËn

K_FN_SHAOLIN	ThiÕu L©m ph¸i
K_FN_TIANWANG	Thiªn V­¬ng Bang
K_FN_TANGMEN	§­êng M«n
K_FN_WUDU	Ngò §éc Gi¸o
K_FN_EMEI	Nga My ph¸i
K_FN_CUIYAN	Thóy Yªn m«n
K_FN_GAIBANG	C¸i Bang
K_FN_TIANREN	Thiªn NhÉn Gi¸o
K_FN_WUDAN	Vâ §ang ph¸i
K_FN_KUNLUN	C«n L«n ph¸i

K_INFO_BULLETIN	C«ng bè 
K_INFO_SYSTEM	HÖ thèng

K_PR_FRIEND	
K_PR_BROTHER	Th©n nh©n\n
K_PR_MATE	Phèi ngÉu\n
K_PR_ENEMY	Cõu nh©n\n

U_RELAY	Relay
U_ERROR_ON_SHUTDOWN	Relay¹Ø±ÕÊ±³ö´í¡£ Relay luc dong lai bi sai.
U_LOAD_AUCTION_FILE_FAIL	¶ÁÈ¡ÅÄÂôÄ£¿éÅäÖÃÎÄ¼þÊ§°Ü£¡ Doc cac file ve nhung Mo-dun phat mai that bai! 
U_INIT_AUCTION_DATA_FAIL	³õÊ¼»¯×·É±Êý¾ÝÊ§°Ü Du lieu truy sat that bai 
U_FAIL_TO_OPEN_AUCTION_DB	´ò¿ªÅÄÂôÊý¾Ý¿âÊ§°Ü Mo du lieu phat mai that bai
U_FAIL_TO_OPEN_KILLER_DB	´ò¿ª×·É±ÈÎÎñÊý¾Ý¿âÊ§°Ü Mo du lieu nhiem vu truy sat that bai
U_ERR_IN_KILLDATA_FORMATTODATA	³ÌÐò´æÔÚÒþ»¼,±¨¸æ³ÌÐòÔ±, in KKillerData::FormatToData Trinh tu dang co hiem hoa, bao cao trinh tu vien
U_RELAY_ALREADY_RUN	ÒÑÓÐS3RelayÉÐÔÚÔËÐÐÖÐ¡£ S3Relay van chua van hanh. 
U_RELAYGUARD_ALREADY_RUN	¼ì²âµ½ÓÐRelayGuardÕýÔÚÔËÐÐ£¬Í¬Ê±Æô¶¯RelayÊÇÎ£ÏÕµÄ£¡\nËùÒÔÅ¼²»ÏëÈÃRelayÏÖÔÚ¾ÍÔËÐÐ£¡ Hien RelayGuard dang chay, khoi dong dong thoi Relay la rat nguy hiem! \n cho nen khong nen van hanh Relay bay gio! 

G_AUCTIONSUCCESS	%s lÊy %d mua ®­îc vËt phÈm gi¸ cao nhÊt, ph¸t m·i kÕt thóc
G_AUCTIONSUCCESSTOWINNER	Chóc mõng thµnh c«ng mua hÕt vËt phÈm nµy 
G_AUCTIONSUCCESSTOOWNER	%s lÊy %d mua ®­îc vËt phÈm gi¸ cao nhÊt, xin h·y chØ ®Þnh thêi gian nhËn tiÒn
G_AUCTIONSUCCESSTAKEMOENYFAIL	B¹n kh«ng kÞp thêi nhËn tiÒn, hÖ thèng hñy bá 
G_AUCTIONSUCCESSTAKEITEMFAIL	B¹n kh«ng kÞp thêi l·nh nhËn vËt phÈm, hÖ thèng hñy bá 
G_AUCTIONCHEATER	%s trong qu¸ tr×nh ph¸t m·i cÇn ph¶i chuyÓn dêi vËt phÈm, ®· bÞ lõa råi
G_AUCTIONFAILCONTINUE	VËt phÈm cña B¹n lÇn nµy ph¸t m·i thÊt b¹i, ®· chuyÓn sang lÇn ph¸t m·i sau, %d giê  %d phót %d gi©y b¾t ®Çu 
G_AUCTIONFAIL	VËt phÈm cña B¹n ph¸t m·i thÊt b¹i, xin nhËn l¹i vËt phÈm 
G_AUCTIONJOINFAIL	VËt phÈm nµy ®· cã ng­êi mua gi¸ cao nhÊt. B¹n gia nhËp thÊt b¹i 
G_AUCTIONJOINFAILNOMONEY	VËt phÈm tr­íc m¾t gi¸ cao nhÊt lµ  %d, B¹n mang theo kh«ng ®ñ, kh«ng thÓ gia nhËp tranh mua 
G_AUCTIONJOINSUCCESS	B¹n gia nhËp tranh mua
G_AUCTIONJOINSUCCESSTOALL	%s gia nhËp tranh mua vËt phÈm nµy 

