CharacterName	CharacterType	ResFilePath	PartFileName	WeaponActionTab1	WeaponActionTab2	ActionRenderOrderTab	Head	Hair	Shoulder	Body	LeftHand	RightHead	LeftWeapon	RightWeapon	HorseFront	HorseMiddle	HorseBack	Mantle
MainMan	SpecialNpc	spr\npcres\man	男主角部件列表.txt	男主角未骑马关联表.txt	男主角骑马关联表.txt	男主角贴图顺序表.txt	男主角头部.txt	男主角发型.txt	男主角肩膀.txt	男主角躯体.txt	男主角左手.txt	男主角右手.txt	男主角左手武器.txt	男主角右手武器.txt	男主角马前.txt	男主角马中.txt	男主角马后.txt	男主角披风.txt
MainLady	SpecialNpc	spr\npcres\woman	女主角部件列表.txt	女主角未骑马关联表.txt	女主角骑马关联表.txt	女主角贴图顺序表.txt	女主角头部.txt	女主角发型.txt	女主角肩膀.txt	女主角躯体.txt	女主角左手.txt	女主角右手.txt	女主角左手武器.txt	女主角右手武器.txt	女主角马前.txt	女主角马中.txt	女主角马后.txt	女主角披风.txt
enemy003	NormalNpc	spr\npcres\enemy\enemy003																
enemy004	NormalNpc	spr\npcres\enemy\enemy004																
enemy005	NormalNpc	spr\npcres\enemy\enemy005																
enemy006	NormalNpc	spr\npcres\enemy\enemy006																
enemy007	NormalNpc	spr\npcres\enemy\enemy007																
enemy015	NormalNpc	spr\npcres\enemy\enemy015																
enemy016	NormalNpc	spr\npcres\enemy\enemy016																
enemy017	NormalNpc	spr\npcres\enemy\enemy017																
enemy021	NormalNpc	spr\npcres\enemy\enemy021																
enemy022	NormalNpc	spr\npcres\enemy\enemy022																
enemy023	NormalNpc	spr\npcres\enemy\enemy023																
enemy024	NormalNpc	spr\npcres\enemy\enemy024																
enemy026	NormalNpc	spr\npcres\enemy\enemy026																
enemy028	NormalNpc	spr\npcres\enemy\enemy028																
enemy029	NormalNpc	spr\npcres\enemy\enemy029																
enemy031	NormalNpc	spr\npcres\enemy\enemy031																
enemy034	NormalNpc	spr\npcres\enemy\enemy034																
enemy036	NormalNpc	spr\npcres\enemy\enemy036																
enemy037	NormalNpc	spr\npcres\enemy\enemy037																
enemy038	NormalNpc	spr\npcres\enemy\enemy038																
enemy039	NormalNpc	spr\npcres\enemy\enemy039																
enemy040	NormalNpc	spr\npcres\enemy\enemy040																
enemy041	NormalNpc	spr\npcres\enemy\enemy041																
enemy042	NormalNpc	spr\npcres\enemy\enemy042																
enemy043	NormalNpc	spr\npcres\enemy\enemy043																
enemy044	NormalNpc	spr\npcres\enemy\enemy044																
enemy045	NormalNpc	spr\npcres\enemy\enemy045																
enemy046	NormalNpc	spr\npcres\enemy\enemy046																
enemy047	NormalNpc	spr\npcres\enemy\enemy047																
enemy048	NormalNpc	spr\npcres\enemy\enemy048																
enemy049	NormalNpc	spr\npcres\enemy\enemy049																
enemy050	NormalNpc	spr\npcres\enemy\enemy050																
enemy051	NormalNpc	spr\npcres\enemy\enemy051																
enemy052	NormalNpc	spr\npcres\enemy\enemy052																
enemy053	NormalNpc	spr\npcres\enemy\enemy053																
enemy054	NormalNpc	spr\npcres\enemy\enemy054																
enemy055	NormalNpc	spr\npcres\enemy\enemy055																
enemy056	NormalNpc	spr\npcres\enemy\enemy056																
enemy057	NormalNpc	spr\npcres\enemy\enemy057																
enemy058	NormalNpc	spr\npcres\enemy\enemy058																
enemy059	NormalNpc	spr\npcres\enemy\enemy059																
enemy060	NormalNpc	spr\npcres\enemy\enemy060																
enemy061	NormalNpc	spr\npcres\enemy\enemy061																
enemy062	NormalNpc	spr\npcres\enemy\enemy062																
enemy063	NormalNpc	spr\npcres\enemy\enemy063																
enemy064	NormalNpc	spr\npcres\enemy\enemy064																
enemy065	NormalNpc	spr\npcres\enemy\enemy065																
enemy066	NormalNpc	spr\npcres\enemy\enemy066																
enemy067	NormalNpc	spr\npcres\enemy\enemy067																
enemy068	NormalNpc	spr\npcres\enemy\enemy068																
enemy069	NormalNpc	spr\npcres\enemy\enemy069																
enemy070	NormalNpc	spr\npcres\enemy\enemy070																
enemy071	NormalNpc	spr\npcres\enemy\enemy071																
enemy072	NormalNpc	spr\npcres\enemy\enemy072																
enemy073	NormalNpc	spr\npcres\enemy\enemy073																
enemy074	NormalNpc	spr\npcres\enemy\enemy074																
enemy075	NormalNpc	spr\npcres\enemy\enemy075																
enemy076	NormalNpc	spr\npcres\enemy\enemy076																
enemy077	NormalNpc	spr\npcres\enemy\enemy077																
enemy078	NormalNpc	spr\npcres\enemy\enemy078																
enemy079	NormalNpc	spr\npcres\enemy\enemy079																
enemy080	NormalNpc	spr\npcres\enemy\enemy080																
enemy081	NormalNpc	spr\npcres\enemy\enemy081																
enemy082	NormalNpc	spr\npcres\enemy\enemy082																
enemy083	NormalNpc	spr\npcres\enemy\enemy083																
enemy084	NormalNpc	spr\npcres\enemy\enemy084																
enemy085	NormalNpc	spr\npcres\enemy\enemy085																
enemy086	NormalNpc	spr\npcres\enemy\enemy086																
enemy087	NormalNpc	spr\npcres\enemy\enemy087																
enemy088	NormalNpc	spr\npcres\enemy\enemy088																
enemy089	NormalNpc	spr\npcres\enemy\enemy089																
enemy090	NormalNpc	spr\npcres\enemy\enemy090																
enemy091	NormalNpc	spr\npcres\enemy\enemy091																
enemy092	NormalNpc	spr\npcres\enemy\enemy092																
enemy093	NormalNpc	spr\npcres\enemy\enemy093																
enemy094	NormalNpc	spr\npcres\enemy\enemy094																
enemy095	NormalNpc	spr\npcres\enemy\enemy095																
enemy096	NormalNpc	spr\npcres\enemy\enemy096																
enemy097	NormalNpc	spr\npcres\enemy\enemy097																
enemy098	NormalNpc	spr\npcres\enemy\enemy098																
enemy099	NormalNpc	spr\npcres\enemy\enemy099																
enemy100	NormalNpc	spr\npcres\enemy\enemy100																
enemy101	NormalNpc	spr\npcres\enemy\enemy101																
enemy102	NormalNpc	spr\npcres\enemy\enemy102																
enemy103	NormalNpc	spr\npcres\enemy\enemy103																
enemy104	NormalNpc	spr\npcres\enemy\enemy104																
enemy105	NormalNpc	spr\npcres\enemy\enemy105																
enemy106	NormalNpc	spr\npcres\enemy\enemy106																
enemy107	NormalNpc	spr\npcres\enemy\enemy107																
enemy108	NormalNpc	spr\npcres\enemy\enemy108																
enemy109	NormalNpc	spr\npcres\enemy\enemy109																
enemy110	NormalNpc	spr\npcres\enemy\enemy110																
enemy111	NormalNpc	spr\npcres\enemy\enemy111																
enemy112	NormalNpc	spr\npcres\enemy\enemy112																
enemy115	NormalNpc	spr\npcres\enemy\enemy115																
enemy121	NormalNpc	spr\npcres\enemy\enemy121																
enemy122	NormalNpc	spr\npcres\enemy\enemy122																
enemy123	NormalNpc	spr\npcres\enemy\enemy123																
enemy124	NormalNpc	spr\npcres\enemy\enemy124																
enemy125	NormalNpc	spr\npcres\enemy\enemy125																
enemy126	NormalNpc	spr\npcres\enemy\enemy126																
enemy127	NormalNpc	spr\npcres\enemy\enemy127																
enemy128	NormalNpc	spr\npcres\enemy\enemy128																
enemy129	NormalNpc	spr\npcres\enemy\enemy129																
enemy130	NormalNpc	spr\npcres\enemy\enemy130																
enemy131	NormalNpc	spr\npcres\enemy\enemy131																
enemy132	NormalNpc	spr\npcres\enemy\enemy132																
enemy133	NormalNpc	spr\npcres\enemy\enemy133																
enemy134	NormalNpc	spr\npcres\enemy\enemy134																
enemy135	NormalNpc	spr\npcres\enemy\enemy135																
enemy136	NormalNpc	spr\npcres\enemy\enemy136																
enemy137	NormalNpc	spr\npcres\enemy\enemy137																
enemy138	NormalNpc	spr\npcres\enemy\enemy138																
enemy139	NormalNpc	spr\npcres\enemy\enemy139																
enemy140	NormalNpc	spr\npcres\enemy\enemy140																
enemy141	NormalNpc	spr\npcres\enemy\enemy141																
enemy142	NormalNpc	spr\npcres\enemy\enemy142																
enemy143	NormalNpc	spr\npcres\enemy\enemy143																
enemy144	NormalNpc	spr\npcres\enemy\enemy144																
enemy145	NormalNpc	spr\npcres\enemy\enemy145																
enemy146	NormalNpc	spr\npcres\enemy\enemy146																
enemy147	NormalNpc	spr\npcres\enemy\enemy147																
enemy148	NormalNpc	spr\npcres\enemy\enemy148																
enemy149	NormalNpc	spr\npcres\enemy\enemy149																
enemy150	NormalNpc	spr\npcres\enemy\enemy150																
enemy151	NormalNpc	spr\npcres\enemy\enemy151																
enemy152	NormalNpc	spr\npcres\enemy\enemy152																
enemy153	NormalNpc	spr\npcres\enemy\enemy153																
enemy154	NormalNpc	spr\npcres\enemy\enemy154																
enemy155	NormalNpc	spr\npcres\enemy\enemy155																
enemy156	NormalNpc	spr\npcres\enemy\enemy156																
enemy157	NormalNpc	spr\npcres\enemy\enemy157																
enemy158	NormalNpc	spr\npcres\enemy\enemy158																
enemy159	NormalNpc	spr\npcres\enemy\enemy159																
enemy160	NormalNpc	spr\npcres\enemy\enemy160																
enemy161	NormalNpc	spr\npcres\enemy\enemy161																
enemy162	NormalNpc	spr\npcres\enemy\enemy162																
enemy163	NormalNpc	spr\npcres\enemy\enemy163																
enemy164	NormalNpc	spr\npcres\enemy\enemy164																
enemy165	NormalNpc	spr\npcres\enemy\enemy165																
enemy166	NormalNpc	spr\npcres\enemy\enemy166																
enemy167	NormalNpc	spr\npcres\enemy\enemy167																
enemy168	NormalNpc	spr\npcres\enemy\enemy168																
enemy169	NormalNpc	spr\npcres\enemy\enemy169																
enemy170	NormalNpc	spr\npcres\enemy\enemy170																
enemy171	NormalNpc	spr\npcres\enemy\enemy171																
enemy172	NormalNpc	spr\npcres\enemy\enemy172																
enemy173	NormalNpc	spr\npcres\enemy\enemy173																
enemy174	NormalNpc	spr\npcres\enemy\enemy174																
enemy175	NormalNpc	spr\npcres\enemy\enemy175																
enemy176	NormalNpc	spr\npcres\enemy\enemy176																
enemy177	NormalNpc	spr\npcres\enemy\enemy177																
enemy178	NormalNpc	spr\npcres\enemy\enemy178																
enemy179	NormalNpc	spr\npcres\enemy\enemy179																
enemy180	NormalNpc	spr\npcres\enemy\enemy180																
enemy181	NormalNpc	spr\npcres\enemy\enemy181																
enemy182	NormalNpc	spr\npcres\enemy\enemy182																
enemy183	NormalNpc	spr\npcres\enemy\enemy183																
enemy184	NormalNpc	spr\npcres\enemy\enemy184																
enemy185	NormalNpc	spr\npcres\enemy\enemy185																
enemy186	NormalNpc	spr\npcres\enemy\enemy186																
enemy187	NormalNpc	spr\npcres\enemy\enemy187																
enemy188	NormalNpc	spr\npcres\enemy\enemy188																
enemy189	NormalNpc	spr\npcres\enemy\enemy189																
enemy190	NormalNpc	spr\npcres\enemy\enemy190																
enemy191	NormalNpc	spr\npcres\enemy\enemy191																
enemy192	NormalNpc	spr\npcres\enemy\enemy192																
enemy193	NormalNpc	spr\npcres\enemy\enemy193																
enemy194	NormalNpc	spr\npcres\enemy\enemy194																
ani001	NormalNpc	spr\npcres\animal\ani001																
ani002	NormalNpc	spr\npcres\animal\ani002																
ani003	NormalNpc	spr\npcres\animal\ani003																
ani005	NormalNpc	spr\npcres\animal\ani005																
ani006	NormalNpc	spr\npcres\animal\ani006																
ani009	NormalNpc	spr\npcres\animal\ani009																
ani010	NormalNpc	spr\npcres\animal\ani010																
ani011	NormalNpc	spr\npcres\animal\ani011																
ani012	NormalNpc	spr\npcres\animal\ani012																
ani013	NormalNpc	spr\npcres\animal\ani013																
ani015	NormalNpc	spr\npcres\animal\ani015																
ani018	NormalNpc	spr\npcres\animal\ani018																
ani019	NormalNpc	spr\npcres\animal\ani019																
ani021	NormalNpc	spr\npcres\animal\ani021																
ani024	NormalNpc	spr\npcres\animal\ani024																
ani025	NormalNpc	spr\npcres\animal\ani025																
ani026	NormalNpc	spr\npcres\animal\ani026																
ani029	NormalNpc	spr\npcres\animal\ani029																
ani033	NormalNpc	spr\npcres\animal\ani033																
ani036	NormalNpc	spr\npcres\animal\ani036																
ani037	NormalNpc	spr\npcres\animal\ani037																
ani038	NormalNpc	spr\npcres\animal\ani038																
ani039	NormalNpc	spr\npcres\animal\ani039																
ani040	NormalNpc	spr\npcres\animal\ani040																
ani041	NormalNpc	spr\npcres\animal\ani041																
ani042	NormalNpc	spr\npcres\animal\ani042																
ani043	NormalNpc	spr\npcres\animal\ani043																
ani045	NormalNpc	spr\npcres\animal\ani045																
ani046	NormalNpc	spr\npcres\animal\ani046																
ani047	NormalNpc	spr\npcres\animal\ani047																
ani048	NormalNpc	spr\npcres\animal\ani048																
ani049	NormalNpc	spr\npcres\animal\ani049																
ani050	NormalNpc	spr\npcres\animal\ani050																
ani051	NormalNpc	spr\npcres\animal\ani051																
ani052	NormalNpc	spr\npcres\animal\ani052																
ani053	NormalNpc	spr\npcres\animal\ani053																
