POSX	POSY	
47168	94752	
47200	96416	
47200	96736	
47232	95008	
47264	97088	
47360	95808	
47392	95648	
47456	95872	
47456	96704	
47488	95744	
47520	94688	
47520	95488	
47520	95616	
47520	96992	
47520	97248	
47552	96000	
47584	94272	
47584	95584	
47584	95840	
47616	95680	
47648	95552	
47680	95968	
47712	95840	
47712	96128	
47744	94592	
47744	95680	
47744	96288	
47776	96992	
47840	95712	
47872	96256	
47936	94912	
47968	95808	
48000	96192	
48000	96928	
48032	95968	
48096	94368	
48096	96096	
48128	94720	
48128	95904	
48128	96608	
48192	95040	
48192	97152	
48320	96864	
48384	94528	
48448	95392	
48448	96576	
48448	97248	
