Name	DataID	Kind	ScriptName	ImageName	SoundName	LifeTime	Layer	Height	SkillKind	SkillCamp	SkillRange	SkillCastTime	SkillID	SkillLevel	LightRadius	LightRed	LightGreen	LightBlue	LightAlpha	LightReflectType	ImageTotalFrame	ImageCurFrame	ImageTotalDir	ImageCurDir	ImageInterval	ImageCgXpos	ImageCgYpos	Bar0	Bar1	Bar2	Bar3	Bar4	Bar5	Bar6	Bar7	Bar8	Bar9	Bar10	Bar11	Bar12	Bar13	Bar14	ImageDropName	ImageDropTotalFrame	ImageDropCurFrame	ImageDropTotalDir	ImageDropCurDir	ImageDropInterval(Ö¡¼ä¸ô£©	ImageDropCgXpos	ImageDropCgYpos	IsUnseen	ObstacleKind	LoopAnimation
B¶o r­¬ng 1	1	Prop		\spr\obj\box\box001.spr		0	0	100	Cycle_Image_Static	4	0	0	0	0	0	0	0	0	0	0	22	0	2	0	100	161	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0
B¶o r­¬ng 2	2	Box		\spr\obj\box\box002.spr		0	0	35	Cycle_Image_Static	4	0	0	0	0	0	0	0	0	0	0	2	0	2	0	80	38	59	0	0	0	5	1	4	1	1	1	3	1	2	0	0	0									0	0	0
b¶ng c¸o thÞ 1	3	Box		\spr\obj\signpost\signpost001.spr		0	0	190	Auto_Image_Static	4	0	0	0	0	0	0	0	0	0	0	2	0	2	0	80	97	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0
b¶ng c¸o thÞ 2	4	Box		\spr\obj\signpost\signpost002.spr		0	0	190	Auto_Image_Dir	4	0	0	0	0	0	0	0	0	0	0	2	0	2	0	80	88	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0
b¶ng c¸o thÞ 3	5	Box		\spr\obj\signpost\signpost003.spr		0	0	150	Auto_Image_Target	4	0	0	0	0	0	0	0	0	0	0	2	0	2	0	80	56	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0
dÊu hiÖu 1	6	Box		\spr\obj\signpost\signpost004.spr		0	0	112	Auto_Delay_Static	4	0	0	0	0	0	0	0	0	0	0	2	0	2	0	80	42	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0
dÊu hiÖu 2	7	Box		\spr\obj\signpost\signpost005.spr		0	0	45	Auto_Delay_Dir	4	0	0	0	0	0	0	0	0	0	0	2	0	2	0	80	22	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0
dÊu hiÖu 3	8	Box		\spr\obj\signpost\signpost006.spr		0	0	200	Auto_Delay_Target	4	0	0	0	0	0	0	0	0	0	0	2	0	2	0	80	52	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0
KiÕm 	9	Item		\spr\obj\item\obj_wq_001.spr	\sound\sound_i005.wav	2400	0	8	Cycle_Image_Static	4	0	0	0	0	0	0	0	0	0	0	8	0	1	0	18	60	105	0	0	0	0	0	0	0	1	4	0	3	2	0	0	0	\spr\obj\item\obj_wq_fall_001.spr	13	0	1	0	15	60	105	0	0	0
§ao 	10	Item		\spr\obj\item\obj_wq_002.spr	\sound\sound_i005.wav	2400	0	8	Cycle_Image_Static	4	0	0	0	0	0	0	0	0	0	0	8	0	1	0	18	70	110	0	0	0	5	4	0	1	1	4	3	1	2	0	0	0	\spr\obj\item\obj_wq_fall_002.spr	13	0	1	0	15	70	110	0	0	0
