POSX	POSY	
44672	89760	
44672	91008	
44736	91168	
44768	89632	
44832	91328	
44864	89504	
44864	90304	
44864	90496	
44896	91488	
44928	89376	
44960	91648	
45024	89280	
45024	90592	
45056	90112	
45088	90752	
45120	90336	
45120	90432	
45152	89920	
45184	90048	
45184	90976	
45216	90176	
45216	90720	
45216	91200	
45248	89952	
45280	90880	
45312	89664	
45344	91488	
45376	89472	
45376	91296	
45408	90752	
45440	89600	
45440	89984	
45472	90976	
45472	91488	
45504	91200	
45536	89760	
45536	90048	
45536	90656	
45536	90816	
45600	89920	
45600	90208	
45600	90432	
45600	91040	
45632	91232	
45664	90720	
45696	89216	
45728	90240	
45728	90944	
45760	89344	
45760	91808	
45792	90656	
45824	89504	
45824	90496	
45824	90816	
45856	91648	
45888	89632	
45920	91520	
45952	89792	
45984	91392	
46048	91264	
