POSX	POSY	
49696	90880	
49696	91136	
49728	89984	
49728	90304	
49760	91008	
49792	90144	
49824	90880	
49824	91136	
49856	89984	
49856	90304	
49856	90464	
49856	90688	
49952	90560	
50048	90496	
50048	90720	
50080	90016	
50080	90304	
50112	90944	
50112	91200	
50144	90176	
50208	91072	
50240	90016	
50240	90304	
50272	88960	
50272	89248	
50272	90944	
50272	91200	
50304	91776	
50304	92096	
50368	89088	
50432	88960	
50432	89248	
50432	91936	
50560	91776	
50560	92128	
50592	89888	
50592	90144	
50624	90912	
50624	91136	
50688	90016	
50688	91040	
50752	90368	
50752	90624	
50752	91136	
50784	89888	
50784	90144	
50784	90912	
50848	90496	
50912	90144	
50912	90624	
50944	89888	
50944	90400	
50944	90912	
50944	91136	
51040	90048	
51040	91040	
51104	89888	
51104	90176	
51136	90912	
51136	91168	
