POSX	POSY	
47104	100000	
47104	100192	
47104	99104	
47104	99328	
47104	99616	
47104	99840	
47232	99104	
47232	99328	
47264	100000	
47264	100160	
47264	99616	
47264	99840	
47328	102016	
47328	99680	
47360	100192	
47360	99104	
47360	99328	
47360	99552	
47360	99776	
47392	100064	
47392	99648	
47424	101728	
47424	101920	
47456	99552	
47456	99776	
47488	99680	
47520	99104	
47520	99328	
47520	99840	
47552	101408	
47552	102016	
47584	100096	
47584	100224	
47584	99616	
47616	99104	
47616	99328	
47648	101280	
47648	99872	
47680	99648	
47712	102080	
47712	99104	
47712	99328	
47744	101152	
47904	100960	
47904	102144	
47968	100864	
48064	100768	
48064	99776	
48128	102208	
48256	100704	
48288	99808	
48448	100576	
48480	99904	
48544	100288	
