Level	§iÓm kü n¨ng	TÈy Tñy §¬n	Tói Linh §¬n	§«ng Trïng Th¶o
170	15	400	4	200
171	14	400	4	200
172	13	400	4	200
173	12	400	4	200
174	11	400	4	200
175	10	400	4	180
176	9	400	4	180
177	8	400	4	180
178	8	400	4	180
179	7	400	4	180
180	7	300	4	160
181	6	300	4	160
182	6	300	4	160
183	5	300	4	160
184	5	300	4	160
185	4	300	4	140
186	4	300	4	140
187	3	300	4	140
188	3	300	4	140
189	3	300	4	140
190	2	300	4	120
191	2	300	4	120
192	2	300	4	120
193	2	300	4	120
194	2	300	4	120
195	1	300	4	100
196	1	300	4	100
197	1	300	4	100
198	1	300	4	100
199	1	300	4	100
