Level	§iÓm tiÒm n¨ng	TÈy Tñy §¬n	Tói Linh §¬n	§«ng Trïng Th¶o
170	120	400	4	400
171	115	400	4	400
172	110	400	4	400
173	105	400	4	400
174	100	400	4	400
175	95	400	4	370
176	90	400	4	370
177	85	400	4	370
178	80	400	4	370
179	75	400	4	370
180	71	300	4	340
181	67	300	4	340
182	63	300	4	340
183	59	300	4	340
184	55	300	4	340
185	51	300	4	300
186	47	300	4	300
187	43	300	4	300
188	39	300	4	300
189	35	300	4	300
190	32	300	4	260
191	29	300	4	260
192	26	300	4	260
193	23	300	4	260
194	20	300	4	260
195	17	300	4	250
196	14	300	4	250
197	11	300	4	250
198	8	300	4	250
199	5	300	4	250
