Level	Kh¸ng tÊt c¶	TÈy Tñy §¬n	Tói Linh §¬n	§«ng Trïng Th¶o
160	4	400	4	500
161	4	400	4	500
162	4	400	4	500
163	4	400	4	500
164	4	400	4	500
165	4	400	4	500
166	4	400	4	500
167	4	400	4	500
168	4	400	4	500
169	4	400	4	500
170	3	300	4	450
171	3	300	4	450
172	3	300	4	450
173	3	300	4	450
174	3	300	4	450
175	3	300	4	450
176	3	300	4	450
177	3	300	4	450
178	3	300	4	450
179	3	300	4	450
180	2	200	4	400
181	2	200	4	400
182	2	200	4	400
183	2	200	4	400
184	2	200	4	400
185	2	200	4	400
186	2	200	4	400
187	2	200	4	400
188	2	200	4	400
189	2	200	4	400
190	1	200	4	300
191	1	200	4	300
192	1	200	4	300
193	1	200	4	300
194	1	200	4	300
195	1	200	4	300
196	1	200	4	300
197	1	200	4	300
198	1	200	4	300
199	1	200	4	300
