Level	§iÓm kü n¨ng	TÈy Tñy §¬n	Tói Linh §¬n	§«ng Trïng Th¶o
160	15	400	4	200
161	15	400	4	200
162	15	400	4	200
163	14	400	4	200
164	14	400	4	200
165	14	400	4	200
166	13	400	4	180
167	13	400	4	180
168	13	400	4	180
169	12	400	4	180
170	12	300	4	180
171	12	300	4	180
172	11	300	4	160
173	11	300	4	160
174	11	300	4	160
175	10	300	4	160
176	10	300	4	160
177	10	300	4	160
178	9	300	4	150
179	9	300	4	150
180	8	200	4	150
181	8	200	4	150
182	8	200	4	150
183	7	200	4	130
184	7	200	4	130
185	7	200	4	130
186	6	200	4	130
187	6	200	4	130
188	6	200	4	130
189	5	200	4	120
190	5	200	4	120
191	5	200	4	120
192	4	200	4	120
193	4	200	4	120
194	3	200	4	110
195	3	200	4	110
196	2	200	4	110
197	2	200	4	110
198	1	200	4	100
199	1	200	4	100
