Level	§iÓm tiÒm n¨ng	TÈy Tñy §¬n	Tói Linh §¬n	§«ng Trïng Th¶o
160	80	400	4	400
161	79	400	4	400
162	78	400	4	400
163	77	400	4	400
164	76	400	4	400
165	75	400	4	370
166	74	400	4	370
167	73	400	4	370
168	72	400	4	370
169	71	400	4	370
170	70	300	4	340
171	69	300	4	340
172	68	300	4	340
173	67	300	4	340
174	66	300	4	340
175	65	300	4	310
176	64	300	4	310
177	63	300	4	310
178	62	300	4	310
179	61	300	4	310
180	59	200	4	280
181	57	200	4	280
182	55	200	4	280
183	53	200	4	280
184	51	200	4	280
185	49	200	4	250
186	47	200	4	250
187	45	200	4	250
188	43	200	4	250
189	41	200	4	250
190	38	200	4	220
191	35	200	4	220
192	32	200	4	220
193	29	200	4	220
194	26	200	4	220
195	22	200	4	200
196	18	200	4	200
197	14	200	4	200
198	10	200	4	200
199	6	200	4	200
