MapId	X	Y	NpcRes	NpcName	NpcScript
20	3596	6273	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
20	3606	6279	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
20	3601	6288	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
20	3605	6299	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
20	3597	6305	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
20	3597	6313	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
20	3606	6316	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
20	3613	6312	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
20	3588	6280	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
20	3600	6270	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
20	3576	6286	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
20	3571	6309	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
20	3579	6325	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
20	3578	6336	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
20	3585	6354	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
20	3600	6362	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
20	3620	6367	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
20	3633	6370	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
20	3641	6378	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
20	3638	6390	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
53	1670	3256	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
53	1675	3255	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
53	1681	3259	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
53	1684	3274	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
53	1692	3274	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
53	1688	3282	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
53	1700	3272	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
53	1705	3256	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
53	1699	3231	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
53	1690	3225	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
53	1678	3235	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
53	1658	3261	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
53	1656	3268	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
53	1657	3277	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
53	1661	3286	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
53	1653	3290	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
53	1653	3296	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
53	1658	3302	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
53	1644	3298	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
53	1643	3305	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
99	1717	3279	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
99	1714	3272	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
99	1720	3278	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
99	1718	3286	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
99	1715	3293	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
99	1714	3308	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
99	1744	3280	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
99	1746	3289	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
99	1746	3301	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
99	1746	3305	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
99	1749	3313	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
99	1748	3320	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
99	1757	3321	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
99	1752	3330	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
99	1747	3338	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
99	1762	3328	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
99	1757	3335	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
99	1758	3351	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
99	1771	3343	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
99	1778	3339	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
100	1576	3226	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
100	1587	3262	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
100	1584	3254	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
100	1579	3296	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
100	1565	3290	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
100	1557	3273	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
100	1551	3269	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
100	1546	3260	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
100	1534	3257	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
100	1526	3253	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
100	1524	3263	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
100	1524	3282	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
100	1522	3290	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
100	1528	3300	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
100	1514	3294	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
100	1504	3298	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
100	1498	3278	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
100	1510	3257	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
100	1496	3232	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
100	1509	3220	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
101	1766	3272	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
101	1711	3265	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
101	1780	3276	1933	Hoa tri ©n	\script\activitysys\config\1014\gatherobj.lua
