BATTLE_MAP_ID	BATTLE_LEVEL	WORLD_MAP_ID
1	1	378
1	2	379
1	3	380
2	1	378
2	2	379
2	3	380
3	1	378
3	2	379
3	3	380
4	1	378
4	2	379
4	3	380
5	1	378
5	2	379
5	3	380
6	1	378
6	2	379
6	3	380
7	1	378
7	2	379
7	3	380
8	1	378
8	2	379
8	3	380
9	1	378
9	2	379
9	3	380
10	1	378
10	2	379
10	3	380
11	1	378
11	2	379
11	3	380
12	1	378
12	2	379
12	3	380
13	1	378
13	2	379
13	3	380
14	1	378
14	2	379
14	3	380
15	3	900
16	3	900
17	3	900
18	1	378
18	2	379
18	3	380
19	1	378
19	2	379
19	3	380
20	1	378
20	2	379
20	3	380
21	1	378
21	2	379
21	3	380
