x	y
1579	3198
1584	3193
1589	3188
1594	3183
1599	3178
1604	3173
1609	3168
1586	3206
1591	3201
1596	3196
1601	3191
1606	3186
1611	3181
1616	3176
1593	3213
1598	3208
1603	3203
1608	3198
1613	3193
1618	3188
1623	3183
1599	3221
1604	3216
1609	3211
1614	3206
1619	3201
1624	3196
1629	3191
1606	3226
1611	3221
1616	3216
1621	3211
1626	3206
1631	3201
1636	3196
1612	3233
1617	3228
1622	3223
1627	3218
1632	3213
1637	3208
1642	3203
1620	3241
1625	3236
1630	3231
1635	3226
1640	3221
1645	3216
1650	3211
1626	3249
1631	3244
1636	3239
1641	3234
1646	3229
1651	3224
1656	3219
