TaskName	TaskStart	TaskStarted	TaskNow	TaskEnd	TaskFinish	TaskInfo
Tªn nhiÖm vô 	Thêi gian b¾t ®Çu nhiÖm vô 	Sau khi b¾t ®Çu nhiÖm vô 	TiÕn hµnh nhiÖm vô 	Thêi gian kÕt thóc nhiÖm vô 	Thêi gian ph¸t gi¶i	ThuyÕt minh liªn quan nhiÖm vô 
NgÉu nhiªn_Thu thËp_Tr­êng MÖnh hoµn	<dec><pan>D¹o gÇn ®©y kÎ thï liªn tiÕp ®Õn x©m ph¹m biªn c­¬ng cña chóng ta, dòng sü triÒu ®×nh ®¹i Tèng ®ang chuÈn bŞ xung trËn b¶o vÖ n­íc nhµ, ®Ó b¶o ®¶m tr¨m trËn tr¨m th¾ng, chóng ta h·y göi tÆng hä {{2}} viªn {{Tr­êng MÖnh Hoµn}}, giao cho {{L©m An}} - {{VÖ binh thµnh m«n }} lµ ®­îc.		<dec><npc>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! 	<dec><npc>Ha ha! Hay qu¸! Mçi ng­êi gãp 1 chót søc m×nh, <sex> §¹i Tèng ta sÏ v÷ng bÒn	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_Thu thËp_Gia Bµo hoµn	<dec><pan>D¹o gÇn ®©y kÎ thï liªn tiÕp ®Õn x©m ph¹m biªn c­¬ng cña chóng ta, dòng sü triÒu ®×nh ®¹i Tèng ®ang chuÈn bŞ xung trËn b¶o vÖ n­íc nhµ, ®Ó b¶o ®¶m tr¨m trËn tr¨m th¾ng, chóng ta h·y göi tÆng hä {{2}} viªn {{Gia Bµo Hoµn}}, giao cho {{L©m An}} - {{VÖ binh thµnh m«n }} lµ ®­îc.		<dec><npc>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! 	<dec><npc>Ha ha! Hay qu¸! Mçi ng­êi gãp 1 chót søc m×nh, <sex> §¹i Tèng ta sÏ v÷ng bÒn	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_Thu thËp_Cao ThiÓm hoµn	<dec><pan>D¹o gÇn ®©y kÎ thï liªn tiÕp ®Õn x©m ph¹m biªn c­¬ng cña chóng ta, dòng sü triÒu ®×nh ®¹i Tèng ®ang chuÈn bŞ xung trËn b¶o vÖ n­íc nhµ, ®Ó b¶o ®¶m tr¨m trËn tr¨m th¾ng, chóng ta h·y göi tÆng hä {{2}} viªn {{Cao ThiÓm Hoµn}}, giao cho {{L©m An}} - {{VÖ binh thµnh m«n }} lµ ®­îc.		<dec><npc>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! 	<dec><npc>Ha ha! Hay qu¸! Mçi ng­êi gãp 1 chót søc m×nh, <sex> §¹i Tèng ta sÏ v÷ng bÒn	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_Thu thËp_Cao Trung hoµn	<dec><pan>D¹o gÇn ®©y kÎ thï liªn tiÕp ®Õn x©m ph¹m biªn c­¬ng cña chóng ta, dòng sü triÒu ®×nh ®¹i Tèng ®ang chuÈn bŞ xung trËn b¶o vÖ n­íc nhµ, ®Ó b¶o ®¶m tr¨m trËn tr¨m th¾ng, chóng ta h·y göi tÆng hä {{2}} viªn {{Cao Trung hoµn}}, giao cho {{L©m An}} - {{VÖ binh thµnh m«n }} lµ ®­îc.		<dec><npc>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! 	<dec><npc>Ha ha! Hay qu¸! Mçi ng­êi gãp 1 chót søc m×nh, <sex> §¹i Tèng ta sÏ v÷ng bÒn	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_Thu thËp_B¨ng Phßng hoµn	<dec><pan>D¹o gÇn ®©y kÎ thï liªn tiÕp ®Õn x©m ph¹m biªn c­¬ng cña chóng ta, dòng sü triÒu ®×nh ®¹i Tèng ®ang chuÈn bŞ xung trËn b¶o vÖ n­íc nhµ, ®Ó b¶o ®¶m tr¨m trËn tr¨m th¾ng, chóng ta h·y göi tÆng hä {{2}} viªn {{B¨ng Phßng Hoµn}}, giao cho {{L©m An}} - {{VÖ binh thµnh m«n }} lµ ®­îc.		<dec><npc>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! 	<dec><npc>Ha ha! Hay qu¸! Mçi ng­êi gãp 1 chót søc m×nh, <sex> §¹i Tèng ta sÏ v÷ng bÒn	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_Thu thËp_L«i phßng hoµn	<dec><pan>D¹o gÇn ®©y kÎ thï liªn tiÕp ®Õn x©m ph¹m biªn c­¬ng cña chóng ta, dòng sü triÒu ®×nh ®¹i Tèng ®ang chuÈn bŞ xung trËn b¶o vÖ n­íc nhµ, ®Ó b¶o ®¶m tr¨m trËn tr¨m th¾ng, chóng ta h·y göi tÆng hä {{2}} viªn {{L«i Phßng Hoµn}}, giao cho {{L©m An}} - {{VÖ binh thµnh m«n }} lµ ®­îc.		<dec><npc>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! 	<dec><npc>Ha ha! Hay qu¸! Mçi ng­êi gãp 1 chót søc m×nh, <sex> §¹i Tèng ta sÏ v÷ng bÒn	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_Thu thËp_Háa phßng hoµn	<dec><pan>D¹o gÇn ®©y kÎ thï liªn tiÕp ®Õn x©m ph¹m biªn c­¬ng cña chóng ta, dòng sü triÒu ®×nh ®¹i Tèng ®ang chuÈn bŞ xung trËn b¶o vÖ n­íc nhµ, ®Ó b¶o ®¶m tr¨m trËn tr¨m th¾ng, chóng ta h·y göi tÆng hä {{2}} viªn {{Háa Phßng Hoµn}}, giao cho {{L©m An}} - {{VÖ binh thµnh m«n }} lµ ®­îc.		<dec><npc>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! 	<dec><npc>Ha ha! Hay qu¸! Mçi ng­êi gãp 1 chót søc m×nh, <sex> §¹i Tèng ta sÏ v÷ng bÒn	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_Thu thËp_§éc phßng hoµn	<dec><pan>D¹o gÇn ®©y kÎ thï liªn tiÕp ®Õn x©m ph¹m biªn c­¬ng cña chóng ta, dòng sü triÒu ®×nh ®¹i Tèng ®ang chuÈn bŞ xung trËn b¶o vÖ n­íc nhµ, ®Ó b¶o ®¶m tr¨m trËn tr¨m th¾ng, chóng ta h·y göi tÆng hä {{2}} viªn {{§éc Phßng Hoµn}}, giao cho {{L©m An}} - {{VÖ binh thµnh m«n }} lµ ®­îc.		<dec><npc>Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! 	<dec><npc>Ha ha! Hay qu¸! Mçi ng­êi gãp 1 chót søc m×nh, <sex> §¹i Tèng ta sÏ v÷ng bÒn	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
						
