RULE_ID	RULE_TYPE	BATTLE_LEVEL	DATA_1	DATA_2	DATA_3	DATA_4	DATA_5	DATA_6	DATA_7	DATA_8	DATA_9	DATA_10	DATA_11	DATA_12	DATA_13	DATA_14	DATA_15	DATA_16	DATA_17	DATA_18	DATA_19	DATA_20
1	11	1	631,50,400	632,55,60	633,60,25	634,65,10	635,70,5	636,75,1	637,50,400	638,55,60	639,60,25	640,65,10	641,70,5	642,75,1	100	0						
1	11	2	631,70,400	632,75,60	633,80,25	634,85,10	635,90,5	636,95,1	637,70,400	638,75,60	639,80,25	640,85,10	641,90,5	642,95,1	100	0						
1	11	3	631,95,400	632,96,60	633,97,25	634,98,10	635,99,5	636,100,1	637,95,400	638,96,60	639,97,25	640,98,10	641,99,5	642,100,1	100	0						
2	11	1	631,50,400	632,55,60	633,60,25	634,65,10	635,70,5	636,75,1	637,50,400	638,55,60	639,60,25	640,65,10	641,70,5	642,75,1	60	40						
2	11	2	631,70,400	632,75,60	633,80,25	634,85,10	635,90,5	636,95,1	637,70,400	638,75,60	639,80,25	640,85,10	641,90,5	642,95,1	60	40						
2	11	3	631,95,400	632,96,60	633,97,25	634,98,10	635,99,5	636,100,1	637,95,400	638,96,60	639,97,25	640,98,10	641,99,5	642,100,1	60	40						
3	16	1	631,50,400	632,55,60	633,60,25	634,65,10	635,70,5	636,75,0	637,50,400	638,55,60	639,60,25	640,65,10	641,70,5	642,75,0	0	0						
3	16	2	631,70,400	632,75,60	633,80,25	634,85,10	635,90,5	636,95,0	637,70,400	638,75,60	639,80,25	640,85,10	641,90,5	642,95,0	0	0						
3	16	3	631,95,400	632,96,60	633,97,25	634,98,10	635,99,5	636,100,0	637,95,400	638,96,60	639,97,25	640,98,10	641,99,5	642,100,0	0	0						
4	11	1	631,50,200	632,55,60	633,60,25	634,65,10	635,70,5	636,75,1	637,50,200	638,55,60	639,60,25	640,65,10	641,70,5	642,75,1	100	0						
4	11	2	631,70,200	632,75,60	633,80,25	634,85,10	635,90,5	636,95,1	637,70,200	638,75,60	639,80,25	640,85,10	641,90,5	642,95,1	100	0						
4	11	3	631,95,200	632,96,60	633,97,25	634,98,10	635,99,5	636,100,1	637,95,200	638,96,60	639,97,25	640,98,10	641,99,5	642,100,1	100	0						
5	11	1	631,50,200	632,55,60	633,60,25	634,65,10	635,70,5	636,75,1	637,50,200	638,55,60	639,60,25	640,65,10	641,70,5	642,75,1	60	40						
5	11	2	631,70,200	632,75,60	633,80,25	634,85,10	635,90,5	636,95,1	637,70,200	638,75,60	639,80,25	640,85,10	641,90,5	642,95,1	60	40						
5	11	3	631,95,200	632,96,60	633,97,25	634,98,10	635,99,5	636,100,1	637,95,200	638,96,60	639,97,25	640,98,10	641,99,5	642,100,1	60	40						
6	16	1	631,50,200	632,55,60	633,60,25	634,65,10	635,70,5	636,75,0	637,50,200	638,55,60	639,60,25	640,65,10	641,70,5	642,75,0	0	0						
6	16	2	631,70,200	632,75,60	633,80,25	634,85,10	635,90,5	636,95,0	637,70,200	638,75,60	639,80,25	640,85,10	641,90,5	642,95,0	0	0						
6	16	3	631,95,200	632,96,60	633,97,25	634,98,10	635,99,5	636,100,0	637,95,200	638,96,60	639,97,25	640,98,10	641,99,5	642,100,0	0	0						
7	20	1	631,50,0	632,55,0	633,60,0	634,65,0	635,70,0	636,75,0	637,50,0	638,55,0	639,60,0	640,65,0	641,70,0	642,75,0	0	0						
7	20	2	631,70,0	632,75,0	633,80,0	634,85,0	635,90,0	636,95,0	637,70,0	638,75,0	639,80,0	640,85,0	641,90,0	642,95,0	0	0						
7	20	3	631,95,0	632,96,0	633,97,0	634,98,0	635,99,0	636,100,0	637,95,0	638,96,0	639,97,0	640,98,0	641,99,0	642,100,0	0	0						
8	58	1	631,50,200	632,55,60	633,60,25	634,65,10	635,70,5	636,75,1	637,50,200	638,55,60	639,60,25	640,65,10	641,70,5	642,75,1	100	0						
8	58	2	631,70,200	632,75,60	633,80,25	634,85,10	635,90,5	636,95,1	637,70,200	638,75,60	639,80,25	640,85,10	641,90,5	642,95,1	100	0						
8	58	3	631,95,200	632,96,60	633,97,25	634,98,10	635,99,5	636,100,1	637,95,200	638,96,60	639,97,25	640,98,10	641,99,5	642,100,1	100	0						
9	60	1	631,50,200	632,55,60	633,60,25	634,65,10	635,70,5	636,75,1	637,50,200	638,55,60	639,60,25	640,65,10	641,70,5	642,75,1	100	0						
9	60	2	631,70,200	632,75,60	633,80,25	634,85,10	635,90,5	636,95,1	637,70,200	638,75,60	639,80,25	640,85,10	641,90,5	642,95,1	100	0						
9	60	3	631,95,200	632,96,60	633,97,25	634,98,10	635,99,5	636,100,1	637,95,200	638,96,60	639,97,25	640,98,10	641,99,5	642,100,1	100	0						
10	64	1	631,50,200	632,55,60	633,60,25	634,65,10	635,70,5	636,75,0	637,50,200	638,55,60	639,60,25	640,65,10	641,70,5	642,75,0	0	0						
10	64	2	631,70,200	632,75,60	633,80,25	634,85,10	635,90,5	636,95,0	637,70,200	638,75,60	639,80,25	640,85,10	641,90,5	642,95,0	0	0						
10	64	3	631,95,200	632,96,60	633,97,25	634,98,10	635,99,5	636,100,0	637,95,200	638,96,60	639,97,25	640,98,10	641,99,5	642,100,0	0	0						
