道具名称	道具品质	道具ID	道具种类	具体类别	详细类别	白金等级	等级	魔法属性ID1	参数1	魔法1起始值1	魔法1结束值1	魔法1价值1	魔法1起始值2	魔法1结束值2	魔法1价值2	 魔法1起始值3 	 魔法1结束值3 	魔法1价值3	 魔法1起始值4 	 魔法1结束值4 	魔法1价值4	 魔法1起始值5	 魔法1结束值5	魔法1价值5	魔法属性ID2	参数2	魔法2起始值1	魔法2结束值1	魔法2价值1	魔法2起始值2	魔法2结束值2	魔法2价值2	 魔法2起始值3 	 魔法2结束值3 	魔法2价值3	魔法2起始值4	魔法2结束值4	魔法2价值4	 魔法2起始值5	 魔法2结束值5	魔法2价值5	魔法属性ID3	参数3	魔法3起始值1	魔法3结束值1	魔法3价值1	魔法3起始值2	魔法3结束值2	魔法3价值2	魔法3起始值3	魔法3结束值3	魔法3价值3	魔法3起始值4	魔法3结束值4	魔法3价值4	 魔法3起始值5	 魔法3结束值5	魔法3价值5	魔法属性ID4	参数4	魔法4起始值1	魔法4结束值1	魔法4价值1	魔法4起始值2	魔法4结束值2	魔法4价值2	魔法4起始值3	魔法4结束值3	魔法4价值3	魔法4起始值4	魔法4结束值4	魔法4价值4	 魔法4起始值5	 魔法4结束值5	魔法4价值5	保底	11
梦龙之正黄僧帽	1	1	-1	-1	-1	-1	10	139	273	1	1	0	2	2	42	3	3	104	-1	-1	-1	-1	-1	-1	102	-1	25	26	0	27	28	21	29	29	42	30	30	83	-1	-1	-1	139	271	1	1	0	2	2	21	3	3	63	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2115385	2115385
梦龙之金丝正红袈裟	1	2	-1	-1	-1	-1	10	139	318	1	1	0	2	2	73	3	3	183	-1	-1	-1	-1	-1	-1	113	-1	40	46	0	47	53	37	54	59	73	60	60	147	-1	-1	-1	139	8	1	1	0	2	2	37	3	3	110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7692	7692
梦龙之玄丝法带	1	3	-1	-1	-1	-1	10	139	14	1	1	0	2	2	21	3	3	52	-1	-1	-1	-1	-1	-1	102	-1	25	26	0	27	28	10	29	29	21	30	30	42	-1	-1	-1	106	-1	40	44	0	45	49	10	50	50	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4632.985	4632.985
梦龙之佛法玄佩	1	4	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	58800	58800
梦龙之紫金般若戒	1	5	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	147000	147000
伏魔之紫金棍	1	6	-1	-1	-1	-1	10	115	-1	20	24	0	25	29	25	30	34	50	35	39	75	40	40	125	139	273	1	1	0	2	2	50	3	3	100	-1	-1	-1	-1	-1	-1	121	-1	50	54	0	55	59	25	60	60	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11538	11538
伏魔之无量金刚腕	1	7	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	147000	147000
伏魔之乌金软绦	1	8	-1	-1	-1	-1	10	139	10	1	1	0	2	2	101	3	3	202	-1	-1	-1	-1	-1	-1	106	-1	40	44	0	45	49	51	50	50	152	-1	-1	-1	-1	-1	-1	110	-1	30	39	0	40	40	101	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2307692	2307692
伏魔之佛心软扣	1	9	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	500000	500000
伏魔之普渡僧鞋	1	10	-1	-1	-1	-1	10	139	11	1	1	0	2	2	73	3	3	182	-1	-1	-1	-1	-1	-1	111	-1	40	46	0	47	53	36	54	59	73	60	60	145	-1	-1	-1	103	-1	25	29	0	30	30	73	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3827.621	3827.621
四空之降魔戒刀	1	11	-1	-1	-1	-1	10	115	-1	20	24	0	25	29	37	30	34	73	35	39	110	40	40	183	139	273	1	1	0	2	2	73	3	3	147	-1	-1	-1	-1	-1	-1	121	-1	50	54	0	55	59	37	60	60	110	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13462	13462
四空之达摩僧鞋	1	12	-1	-1	-1	-1	10	111	-1	50	59	-35	40	49	-100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	147000	147000
四空之护法腰带	1	13	-1	-1	-1	-1	10	139	10	1	1	0	2	2	10	3	3	19	-1	-1	-1	-1	-1	-1	102	-1	25	26	0	27	29	5	30	30	14	-1	-1	-1	-1	-1	-1	106	-1	40	49	0	50	50	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	38462	38462
四空之软皮护腕	1	14	-1	-1	-1	-1	10	139	321	1	1	0	2	2	512	3	3	1281	-1	-1	-1	-1	-1	-1	102	-1	25	26	0	27	28	256	29	29	512	30	30	1025	-1	-1	-1	139	19	1	1	0	2	2	256	3	3	769	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2307692	2307692
四空之戒律法戒	1	15	-1	-1	-1	-1	10	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	58800	58800
撼天之金环大眼神锤	1	16	-1	-1	-1	-1	10	58	-1	1	1	0	2	2	125	-1	-1	-1	-1	-1	-1	-1	-1	-1	121	-1	30	37	0	38	43	25	44	49	50	50	50	100	-1	-1	-1	123	-1	80	99	0	100	119	25	120	120	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19231	19231
撼天之武神镶金甲	1	17	-1	-1	-1	-1	10	113	-1	0	50	-70	53	58	-50	-1	-1	-1	-1	-1	-1	-1	-1	-1	139	325	1	2	-100	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	113	-1	51	52	-67	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	145159.028	145159.028
撼天之威武束腰环	1	18	-1	-1	-1	-1	10	102	-1	28	29	0	30	30	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11760	11760
