ATLAS_NAME	ATLAS_GENRE	ATLAS_DETAILTYPE	ATLAS_PARTICULAR	1_NAME	1_GENRE	1_DETAILTYPE	1_PARTICULAR	1_LEVEL	1_SERIES	1_MAGIC_ID	2_NAME	2_GENRE	2_DETAILTYPE	2_PARTICULAR	2_LEVEL	2_SERIES	2_MAGIC_ID	3_NAME	3_GENRE	3_DETAILTYPE	3_PARTICULAR	3_LEVEL	3_SERIES	3_MAGIC_ID	4_NAME	4_GENRE	4_DETAILTYPE	4_PARTICULAR	4_LEVEL	4_SERIES	4_MAGIC_ID	5_NAME	5_GENRE	5_DETAILTYPE	5_PARTICULAR	5_LEVEL	5_SERIES	5_MAGIC_ID	6_NAME	6_GENRE	6_DETAILTYPE	6_PARTICULAR	6_LEVEL	6_SERIES	6_MAGIC_ID	DES_NAME	DES_QUALITY	DES_GENRE	DES_DETAILTYPE	DES_PARTICULAR	DES_LEVEL	DES_SERIES	DES_PIECE	DES_PIECESUM	DES_VALUES
§å phæ Hoµng Kim - Méng Long ChÝnh Hoµng T¨ng M·o	6	1	239	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	Vâ L©m MËt TÞch	6	1	26				MËt Ng©n kho¸ng	6	1	202	7		126	Phï Dung Th¹ch	6	1	203	8	2	102	Chu Sa kho¸ng	6	1	204	7		89	ThiÕu L©m QuyÒn Ph¸p. QuyÓn 1	6	1	56				Méng Long ChÝnh Hång T¨ng M·o	1	0	1				0	0	
§å phæ Hoµng Kim - Méng Long Kim Ti ChÝnh Hång Cµ Sa	6	1	240	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	Vâ L©m MËt TÞch	6	1	26				MËt Ng©n kho¸ng	6	1	202	7		89	HuyÒn ThiÕt kho¸ng	6	1	200	7		113	Phï Dung Th¹ch	6	1	203	6	3	104	ThiÕu L©m QuyÒn Ph¸p. QuyÓn 1	6	1	56				Méng Long Kim Ti ChÝnh Hång Cµ Sa	1	0	2				0	0	
§å phæ Hoµng Kim - Méng Long HuyÒn Ti Ph¸p §¸i	6	1	241	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	Khæng T­íc Th¹ch	6	1	201	7	3	106	Phï Dung Th¹ch	6	1	203	7	2	102	Phï Dung Th¹ch	6	1	203	8	4	108	Chung Nhò th¹ch	6	1	205	8	2	110	ThiÕu L©m QuyÒn Ph¸p. QuyÓn 1	6	1	56				Méng Long HuyÒn Ti Ph¸t ®¸i	1	0	3				0	0	
§å phæ Hoµng Kim - Méng Long PhËt Ph¸p HuyÒn Béi	6	1	242																																											Méng Long PhËt Ph¸p HuyÒn Béi	1	0	4				0	0	
§å phæ Hoµng Kim - Méng Long §¹t Ma T¨ng Hµi	6	1	243																																											Méng Long §¹t Ma T¨ng hµi	1	0	5				0	0	
§å phæ Hoµng Kim - Phôc Ma Tö Kim C«n	6	1	244	HuyÒn ThiÕt kho¸ng	6	1	200	8		126	MËt Ng©n kho¸ng	6	1	202	7		166	Chu Sa kho¸ng	6	1	204	6		137	HuyÒn ThiÕt kho¸ng	6	1	200	7		115	Phï Dung Th¹ch	6	1	203	7	0	121	Vâ L©m MËt TÞch	6	1	26				Phôc Ma Tö Kim C«n	1	0	6				0	0	
§å phæ Hoµng Kim - Phôc Ma HuyÒn Hoµng Cµ Sa	6	1	245																																											Phôc Ma HuyÒn Hoµng Cµ Sa	1	0	7				0	0	
§å phæ Hoµng Kim - Phôc Ma ¤ Kim NhuyÔn §iÒu	6	1	246	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	Khæng T­íc Th¹ch	6	1	201	8	3	106	Phï Dung Th¹ch	6	1	203	7	2	102	Phï Dung Th¹ch	6	1	203	7	4	108	Chung Nhò th¹ch	6	1	205	8	2	110	ThiÕu L©m C«n ph¸p. QuyÓn 2	6	1	57				Phôc Ma ¤ Kim NhuyÔn §iÒu	1	0	8				0	0	
§å phæ Hoµng Kim - Phôc Ma PhËt T©m NhuyÔn KhÊu	6	1	247																																											Phôc Ma PhËt T©m NhuyÔn KhÊu	1	0	9				0	0	
§å phæ Hoµng Kim - Phôc Ma Phæ §é T¨ng Hµi	6	1	248	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	Vâ L©m MËt TÞch	6	1	26				MËt Ng©n kho¸ng	6	1	202	8		111	Phï Dung Th¹ch	6	1	203	7	1	103	Chu Sa kho¸ng	6	1	204	6		89	Chung Nhò th¹ch	6	1	205	6	3	106	Phôc Ma Phæ §é T¨ng hµi	1	0	10				0	0	
