SuitClothID	SexType	SuitName	SuitRecordId	ClothesName	WeekSellPrice	MonthSellPrice	ForeverSellPrice	ClothesIconPath	TaskBit	TaskID	TakeOutCost
1	0	Sa Di Trang	1	Sa Di Giíi C« 	200	600	999999999		1	4201	1000000
1	0		19	Sa Di phôc	300	900	999999999		2	4201	1000000
2	1	ThÝch Ni Trang	37	ThÝch Ni §Çu	200	600	999999999		3	4201	1000000
2	1		56	Sa Di Y	300	900	999999999		4	4201	1000000
3	0	Phóc §iÒn Trang	2	Phóc §iÒnGiíi C«	400	1200	999999999		5	4201	1000000
3	0		20	Phóc §iÒn Y	800	2400	999999999		6	4201	1000000
4	1	Thanh Anh Trang	38	Thanh Anh M·o	400	1200	999999999		7	4201	1000000
4	1		57	C«n L­ Y	800	2400	999999999		8	4201	1000000
5	0	Hçn Nguyªn Trang	3	Hçn Nguyªn Qu¸n	400	1200	999999999		9	4201	1000000
5	0		21	Hçn Nguyªn Y	800	2400	999999999		10	4201	1000000
6	1	Minh TÞnh Cµ Sa	39	Minh TÞnh M·o	400	1200	999999999		11	4201	1000000
6	1		58	Minh TÞnh Y	800	2400	999999999		12	4201	1000000
7	0	HuyÒn Thiªn Trang	4	HuyÒn Thiªn Qu¸n	400	1200	999999999		13	4201	1000000
7	0		22	HuyÒn Thiªn Y	800	2400	999999999		14	4201	1000000
8	1	tu Ch©n Bµo	40	tu Ch©n Tr©m	400	1200	999999999		15	4201	1000000
8	1		59	tu Ch©n Y	800	2400	999999999		16	4201	1000000
9	0	Cµn Kh«n Trang	5	Cµn Kh«n Qu¸n	400	1200	999999999		17	4201	1000000
9	0		23	Cµn Kh«n Y	800	2400	999999999		18	4201	1000000
10	1	V« Cùc Trang	41	V« Cùc Tr©m	400	1200	999999999		19	4201	1000000
10	1		60	V« Cùc Y	800	2400	999999999		20	4201	1000000
11	0	Cæn y	6	Tróc L¹p	400	1200	999999999		21	4201	1000000
11	0		24	Cæn y	800	2400	999999999		22	4201	1000000
12	1	B¨ng TÇm Trang	42	PhØ Thóy Tr©m	400	1200	999999999		23	4201	1000000
12	1		61	B¨ng TÇm Y	800	2400	999999999		24	4201	1000000
13	0	ThÝch Kh¸ch y	7	ThÝch Kh¸ch Qu¸n	400	1200	999999999		25	4201	1000000
13	0		25	ThÝch Kh¸ch Y	800	2400	999999999		26	4201	1000000
14	1	Thôc CÈm Trang	43	Thôc CÈm DiÖn Tr¸o	400	1200	999999999		27	4201	1000000
14	1		62	Thôc CÈm y	800	2400	999999999		28	4201	1000000
15	0	Méng MÞ Trang	8	Thï Du M·o	400	1200	999999999		29	4201	1000000
15	0		26	Méng mÞ y	800	2400	999999999		30	4201	1000000
16	1	HuyÒn Ly Trang	44	Thó Cèt Tr©m	400	1200	999999999		31	4201	1000000
16	1		63	HuyÒn Ly y	800	2400	999999999		32	4201	1000000
17	0	Nho Phôc	9	Nho C©n	400	1200	999999999		1	4202	1000000
17	0		27	Nho Sam	800	2400	999999999		2	4202	1000000
18	1	Cöu VÜ B¹ch Hå Trang	45	HuyÒn Tª Ph¸t Tr©m	400	1200	999999999		3	4202	1000000
18	1		64	Cöu VÜ B¹ch Hå trang	800	2400	999999999		4	4202	1000000
19	0	Vò L¨ng Trang	10	Vò L¨ng Ph¸t Qu¸n	400	1200	999999999		5	4202	1000000
19	0		28	Vò L¨ng Y	800	2400	999999999		6	4202	1000000
20	1	Y NØ Trang	46	Y NØ §Çu Hoµn	400	1200	999999999		7	4202	1000000
20	1		65	Y NØ Th­êng	800	2400	999999999		8	4202	1000000
21	0	Tö Kim Trang	11	Tö Kim ph¸t Qu¸n	500	1500	999999999		9	4202	1000000
21	0		29	Tö Kim Y	1000	3000	999999999		10	4202	1000000
22	1	Tèng CÈm Trang	47	Kª VÜ Thoa	500	1500	999999999		11	4202	1000000
22	1		66	Tèng CÈm Sam	1000	3000	999999999		12	4202	1000000
23	0	Träng Gi¸p Trang	12	Träng Gi¸p Kh«i	500	1500	999999999		13	4202	1000000
23	0		30	Träng Gi¸p Trang	1000	3000	999999999		14	4202	1000000
24	1	L¨ng La Trang	48	L¨ng La Tr©m	500	1500	999999999		15	4202	1000000
24	1		67	L¨ng La sam	1000	3000	999999999		16	4202	1000000
25	0	Tú H­u Gi¸p	13	Tú H­u Kh«i	500	1500	999999999		17	4202	1000000
25	0		31	Tú H­u Trang	1000	3000	999999999		18	4202	1000000
26	1	Thanh Phông Trang	49	Thanh Phông Tr©m	500	1500	999999999		19	4202	1000000
26	1		68	Thanh Phông Sam	1000	3000	999999999		20	4202	1000000
27	0	Kiªu Hoa Trang	14	Kiªu Hoa M·o	200	600	999999999		21	4202	1000000
27	0		32	Kiªu Hoa Y	300	900	999999999		22	4202	1000000
28	1	Hång NhÜ Trang	50	Hång NhÜ Tr©m	500	1500	999999999		23	4202	1000000
28	1		69	Hång NhÜ gi¸p	1000	3000	999999999		24	4202	1000000
29	0	TÇm Ma Trang	15	TÇm Ma M·o	500	1500	999999999		25	4202	1000000
29	0		33	TÇm Ma Y	1000	3000	999999999		26	4202	1000000
30	1	HuyÒn ThiÕt Kim Phông Trang	51	Kim Phông Kh«i	500	1500	999999999		27	4202	1000000
30	1		70	HuyÒn ThiÕt Gi¸p	1000	3000	999999999		28	4202	1000000
31	0	Th« Bè Ma Y	16	Th« Bè §Çu C©n	200	600	999999999		29	4202	1000000
31	0		34	¸o v¶i th« 	300	900	999999999		30	4202	1000000
