Row	Col	PointType	PointX	PointY
1	1	left	50336	101856
1	1	left	50368	101824
1	1	left	50368	101856
1	1	left	50368	101888
1	1	left	50336	101888
1	1	left	50304	101888
1	1	left	50400	101792
1	1	left	50400	101824
1	1	left	50400	101856
1	1	left	50400	101888
1	1	left	50368	101792
1	1	left	50368	101824
1	1	left	50368	101856
1	1	left	50368	101888
1	1	left	50304	101856
1	1	left	50336	101824
1	1	left	50336	101856
1	1	left	50336	101888
1	1	left	50304	101888
1	1	left	50272	101888
1	1	left	50336	101824
1	1	left	50368	101824
1	1	left	50368	101792
1	1	left	50400	101792
1	1	left	50400	101760
1	1	left	50400	101824
1	1	left	50400	101856
1	1	left	50400	101888
1	1	left	50400	101920
1	1	left	50368	101920
1	1	left	50336	101920
1	1	left	50304	101920
1	1	left	50272	101920
1	1	left	50272	101856
1	1	left	50304	101856
1	1	left	50432	101760
1	1	left	50432	101728
1	1	left	50432	101792
1	1	left	50432	101824
1	1	left	50432	101856
1	1	left	50432	101888
1	1	left	50432	101920
1	1	left	50304	101952
1	1	left	50336	101952
1	1	left	50368	101952
1	1	left	50400	101952
1	1	left	50336	101984
1	1	left	50368	101984
1	1	right	51136	102720
1	1	right	51136	102688
1	1	right	51136	102656
1	1	right	51168	102656
1	1	right	51168	102688
1	1	right	51104	102656
1	1	right	51104	102688
1	1	right	51104	102720
1	1	right	51104	102752
1	1	right	51168	102624
1	1	right	51168	102656
1	1	right	51168	102592
1	1	right	51136	102656
1	1	right	51136	102688
1	1	right	51136	102624
1	1	right	51136	102592
1	1	right	51136	102560
1	1	right	51104	102720
1	1	right	51104	102688
1	1	right	51104	102656
1	1	right	51072	102656
1	1	right	51072	102688
1	1	right	51072	102720
1	1	right	51072	102752
1	1	right	51072	102624
1	1	right	51104	102624
1	1	right	51072	102752
1	1	right	51072	102720
1	1	right	51072	102688
1	1	right	51072	102656
1	1	right	51040	102624
1	1	right	51040	102656
1	1	right	51040	102720
1	1	right	51040	102688
1	1	right	51040	102752
1	1	right	51040	102784
1	1	right	51072	102592
1	1	right	51104	102592
1	1	right	51104	102560
1	1	right	51072	102560
1	1	right	51040	102560
1	1	right	51040	102592
1	1	right	51200	102624
1	1	top	51072	101888
1	1	top	51072	101920
1	1	top	51104	101920
1	1	top	51136	101952
1	1	top	51072	101952
1	1	top	51104	101952
1	1	top	51040	101856
1	1	top	51040	101888
1	1	top	51040	101920
1	1	top	51040	101952
1	1	top	51136	101984
1	1	top	51136	101952
1	1	top	51040	101888
1	1	top	51040	101920
1	1	top	51072	101920
1	1	top	51104	101952
1	1	top	51040	101952
1	1	top	51072	101952
1	1	top	51008	101856
1	1	top	51008	101888
1	1	top	51008	101920
1	1	top	51008	101952
1	1	top	51008	101824
1	1	top	51008	101856
1	1	top	51008	101888
1	1	top	51008	101920
1	1	top	51008	101952
1	1	top	51008	101984
1	1	top	51040	101984
1	1	top	51072	101984
1	1	top	51104	101984
1	1	top	51104	101920
1	1	top	51072	101888
1	1	top	51040	101856
1	1	top	50976	101824
1	1	top	50976	101856
1	1	top	50976	101888
1	1	top	50976	101792
1	1	top	50976	101920
1	1	top	50976	101952
1	1	top	50976	101984
1	1	top	51040	102016
1	1	top	51072	102016
1	1	top	51104	102016
1	1	top	51008	102016
1	1	top	51040	102048
1	1	top	51072	102048
1	1	top	51104	102048
1	1	bottom	50304	102720
1	1	bottom	50304	102688
1	1	bottom	50272	102688
1	1	bottom	50336	102688
1	1	bottom	50336	102720
1	1	bottom	50336	102752
1	1	bottom	50368	102688
1	1	bottom	50368	102720
1	1	bottom	50368	102752
1	1	bottom	50368	102784
1	1	bottom	50272	102720
1	1	bottom	50272	102688
1	1	bottom	50240	102688
1	1	bottom	50304	102688
1	1	bottom	50304	102720
1	1	bottom	50304	102752
1	1	bottom	50336	102688
1	1	bottom	50336	102720
1	1	bottom	50336	102752
1	1	bottom	50336	102784
1	1	bottom	50240	102656
1	1	bottom	50208	102688
1	1	bottom	50240	102688
1	1	bottom	50240	102720
1	1	bottom	50272	102720
1	1	bottom	50272	102752
1	1	bottom	50304	102752
1	1	bottom	50304	102784
1	1	bottom	50336	102784
1	1	bottom	50336	102816
1	1	bottom	50368	102816
1	1	bottom	50368	102784
1	1	bottom	50368	102752
1	1	bottom	50368	102720
1	1	bottom	50368	102688
