经脉	穴位等级	需要血龙腾等级	需要血龙腾数量	需要血龙丹等级	需要血龙丹数量	真元	护脉丹	成功率
1	1	0	0	0	-1	2000	1000	10000
1	2	0	0	0	-1	1600	800	10000
1	3	0	0	3	-1	1400	700	10000
1	4	0	0	4	-1	1200	600	10000
1	5	0	0	5	-1	1000	500	10000
1	6	0	0	6	-1	1000	500	10000
1	7	6	10	7	-1	3000	1500	10000
1	8	7	10	8	-1	3000	1500	8000
1	9	8	10	9	-1	3000	1500	7800
1	10	9	10	10	-1	3000	1500	7600
1	11	10	10	11	-1	3500	1750	7400
1	12	11	10	12	-1	4000	2000	7200
1	13	12	10	13	-1	4500	2250	7000
1	14	13	10	14	-1	5000	2500	6800
1	15	14	0	15	0	400000	200000	10000
1	16	15	0	16	0	800000	400000	10000
2	1	0	0	0	-1	2000	1000	10000
2	2	0	0	0	-1	1600	800	10000
2	3	0	0	3	-1	1400	700	10000
2	4	0	0	4	-1	1200	600	10000
2	5	0	0	5	-1	1000	500	10000
2	6	0	0	6	-1	1000	500	10000
2	7	6	10	7	-1	3000	1500	9000
2	8	7	10	8	-1	3000	1500	8000
2	9	8	10	9	-1	3000	1500	7800
2	10	9	10	10	-1	3000	1500	7600
2	11	10	10	11	-1	3500	1750	7400
2	12	11	10	12	-1	4000	2000	7200
2	13	12	10	13	-1	4500	2250	7000
2	14	13	10	14	-1	5000	2500	6800
2	15	14	0	15	0	400000	200000	10000
2	16	15	0	16	0	800000	400000	10000
3	1	0	0	0	-1	2000	1000	10000
3	2	0	0	0	-1	1600	800	10000
3	3	0	0	3	10	1400	700	10000
3	4	0	0	4	10	1200	600	10000
3	5	0	0	5	10	1000	500	10000
3	6	0	0	6	10	1000	500	10000
3	7	6	10	7	10	3000	1500	9000
3	8	7	10	8	10	3000	1500	8000
3	9	8	10	9	10	3000	1500	7800
3	10	9	10	10	10	3000	1500	7600
3	11	10	10	11	10	3500	1750	7400
3	12	11	10	12	10	4000	2000	7200
3	13	12	10	13	10	4500	2250	7000
3	14	13	10	14	10	5000	2500	6800
3	15	14	10	15	10	6000	3000	6600
3	16	15	10	16	10	8000	4000	6600
4	1	0	0	0	-1	2000	1000	10000
4	2	0	0	0	-1	1600	800	10000
4	3	0	0	3	10	1400	700	10000
4	4	0	0	4	10	1200	600	10000
4	5	0	0	5	10	1000	500	10000
4	6	0	0	6	10	1000	500	10000
4	7	6	10	7	10	3000	1500	9000
4	8	7	10	8	10	3000	1500	8000
4	9	8	10	9	10	3000	1500	7800
4	10	9	10	10	10	3000	1500	7600
4	11	10	10	11	10	3500	1750	7400
4	12	11	10	12	10	4000	2000	7200
4	13	12	10	13	10	4500	2250	7000
4	14	13	10	14	10	5000	2500	6800
4	15	14	10	15	10	6000	3000	6600
4	16	15	10	16	10	8000	4000	6600
5	1	0	0	0	-1	2000	1000	10000
5	2	0	0	0	-1	1600	800	10000
5	3	0	0	3	10	1400	700	10000
5	4	0	0	4	10	1200	600	10000
5	5	0	0	5	10	1000	500	10000
5	6	0	0	6	10	1000	500	10000
5	7	6	10	7	10	3000	1500	9000
5	8	7	10	8	10	3000	1500	8000
5	9	8	10	9	10	3000	1500	7800
5	10	9	10	10	10	3000	1500	7600
5	11	10	10	11	10	3500	1750	7400
5	12	11	10	12	10	4000	2000	7200
5	13	12	10	13	10	4500	2250	7000
5	14	13	10	14	10	5000	2500	6800
5	15	14	0	15	0	200000	100000	10000
5	16	15	0	16	0	400000	200000	10000
6	1	0	0	0	-1	2000	1000	10000
6	2	0	0	0	-1	1600	800	10000
6	3	0	0	3	10	1400	700	10000
6	4	0	0	4	10	1200	600	10000
6	5	0	0	5	10	1000	500	10000
6	6	0	0	6	10	1000	500	10000
6	7	6	10	7	10	3000	1500	9000
6	8	7	10	8	10	3000	1500	8000
6	9	8	10	9	10	3000	1500	7800
6	10	9	10	10	10	3000	1500	7600
6	11	10	10	11	10	3500	1750	7400
6	12	11	10	12	10	4000	2000	7200
6	13	12	10	13	10	4500	2250	7000
6	14	13	10	14	10	5000	2500	6800
6	15	14	0	15	0	200000	100000	10000
6	16	15	0	16	0	400000	200000	10000
7	1	0	0	0	-1	2000	1000	10000
7	2	0	0	0	-1	1600	800	10000
7	3	0	0	3	10	1400	700	10000
7	4	0	0	4	10	1200	600	10000
7	5	0	0	5	10	1000	500	10000
7	6	0	0	6	10	1000	500	10000
7	7	6	10	7	10	3000	1500	9000
7	8	7	10	8	10	3000	1500	8000
7	9	8	10	9	10	3000	1500	7800
7	10	9	10	10	10	3000	1500	7600
7	11	10	10	11	10	3500	1750	7400
7	12	11	10	12	10	4000	2000	7200
7	13	12	10	13	10	4500	2250	7000
7	14	13	10	14	10	5000	2500	6800
7	15	14	0	15	0	200000	100000	10000
7	16	15	0	16	0	400000	200000	10000
8	1	0	0	0	-1	2000	1000	10000
8	2	0	0	0	-1	1600	800	10000
8	3	0	0	3	10	1400	700	10000
8	4	0	0	4	10	1200	600	10000
8	5	0	0	5	10	1000	500	10000
8	6	0	0	6	10	1000	500	10000
8	7	6	10	7	10	3000	1500	9000
8	8	7	10	8	10	3000	1500	8000
8	9	8	10	9	10	3000	1500	7800
8	10	9	10	10	10	3000	1500	7600
8	11	10	10	11	10	3500	1750	7400
8	12	11	10	12	10	4000	2000	7200
8	13	12	10	13	10	4500	2250	7000
8	14	13	10	14	10	5000	2500	6800
8	15	14	0	15	0	200000	100000	10000
8	16	15	0	16	0	400000	200000	10000
