TaskID	MapID	TaskInfo1	Num	MapType	TaskValue1	TaskValue2	TaskRate1	TaskRate2	TaskRate3	TaskRate4	TaskRate5	TaskRate6	TaskRate7	TaskRate8	TaskRate9	TaskRate10	TaskRate11	TaskRate12	TaskRate13	TaskRate14	TaskRate15	TaskRate16	TaskRate17	TaskRate18	TaskRate19	TaskRate20
4001	1	Ph­îng T­êng	5	1	0	120000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4002	11	Thµnh §«	5	1	0	120000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4003	37	BiÖn Kinh	5	1	0	120000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004	78	T­¬ng D­¬ng	5	1	0	120000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4005	80	D­¬ng Ch©u	5	1	0	120000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4006	162	§¹i Lý	5	1	0	120000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4007	176	L©m An	5	1	0	120000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4008	99	VÜnh L¹c trÊn	5	1	0	120000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4009	100	Chu Tiªn trÊn	5	1	0	120000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4010	101	§¹o H­¬ng th«n	5	1	0	120000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4011	153	Th¹ch Cæ trÊn	5	1	0	120000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4012	121	Long M«n trÊn	5	1	0	120000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4013	53	Ba L¨ng huyÖn	5	1	0	120000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4014	174	Long TuyÒn th«n	5	1	0	120000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4015	20	Giang T©n Th«n	5	1	0	120000	10000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4016	1	Ph­îng T­êng	1	2	0	500000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4017	11	Thµnh §«	1	2	0	500000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4018	37	BiÖn Kinh	1	2	0	500000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4019	78	T­¬ng D­¬ng	1	2	0	500000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4020	80	D­¬ng Ch©u	1	2	0	500000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4021	162	§¹i Lý	1	2	0	500000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4022	176	L©m An	1	2	0	500000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4023	99	VÜnh L¹c trÊn	1	2	0	500000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4024	100	Chu Tiªn trÊn	1	2	0	500000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4025	101	§¹o H­¬ng th«n	1	2	0	500000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4026	153	Th¹ch Cæ trÊn	1	2	0	500000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4027	121	Long M«n trÊn	1	2	0	500000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4028	53	Ba L¨ng huyÖn	1	2	0	500000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4029	174	Long TuyÒn th«n	1	2	0	500000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4030	20	Giang T©n Th«n	1	2	0	500000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4032	71	B¹ch Thñy ®éng	8	1	0	300000	5000	6000	9000	8000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4033	73	Phôc L­u ®éng	8	1	0	300000	5000	6000	9000	8000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4034	83	Háa Lang ®éng	8	1	0	300000	5000	6000	9000	8000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4035	115	C¸i Bang	8	1	0	300000	5000	6000	9000	8000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4036	7	TÇn L¨ng	8	1	0	300000	5000	6000	9000	8000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4037	43	KiÕm C¸c Trung Nguyªn	8	1	0	300000	5000	6000	9000	8000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4038	70	Vò L¨ng s¬n	8	1	0	300000	5000	6000	9000	8000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4039	179	La Tiªu s¬n	8	1	0	300000	5000	6000	9000	8000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4040	19	KiÕm C¸c T©y Nam	8	1	0	300000	5000	6000	9000	8000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4042	71	B¹ch Thñy ®éng	2	2	0	1200000	400	450	450	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4043	73	Phôc L­u ®éng	2	2	0	1200000	400	450	450	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4044	83	Háa Lang ®éng	2	2	0	1200000	400	450	450	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4045	115	C¸i Bang	2	2	0	1200000	400	450	450	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4046	7	TÇn L¨ng	2	2	0	1200000	400	450	450	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4047	43	KiÕm C¸c Trung Nguyªn	2	2	0	1200000	400	450	450	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4048	70	Vò L¨ng s¬n	2	2	0	1200000	400	450	450	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4049	179	La Tiªu s¬n	2	2	0	1200000	400	450	450	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4050	19	KiÕm C¸c T©y Nam	2	2	0	1200000	400	450	450	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4053	136	Kho¸i Ho¹t L©m	8	1	0	240000	0	0	9000	7000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4054	141	D­îc V­¬ng ®éng tÇng 1	8	1	0	240000	0	0	9000	7000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4055	8	L¨ng TÇn Thñy Hoµng	8	1	0	240000	0	0	9000	7000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4056	170	Thæ PhØ ®éng	8	1	0	240000	0	0	9000	7000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4057	4	Kim Quang ®éng	8	1	0	240000	0	0	9000	7000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4058	77	YÕn Tö ®éng	8	1	0	400000	0	0	9000	7000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4059	22	B¹ch V©n ®éng	8	1	0	240000	0	0	9000	7000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4060	193	Vò Di s¬n	8	1	0	400000	0	0	9000	7000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4061	74	Miªu LÜnh	8	1	0	400000	0	0	9000	7000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4062	90	Phôc Ng­u S¬n §«ng	8	1	0	400000	0	0	9000	7000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4063	92	Thôc C­¬ng s¬n	8	1	0	400000	0	0	9000	7000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4066	136	Kho¸i Ho¹t L©m	2	2	0	1500000	0	0	500	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4067	141	D­îc V­¬ng ®éng tÇng 1	2	2	0	1500000	0	0	500	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4068	8	L¨ng TÇn Thñy Hoµng	2	2	0	1500000	0	0	500	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4069	170	Thæ PhØ ®éng	2	2	0	1500000	0	0	500	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4070	4	Kim Quang ®éng	2	2	0	1500000	0	0	500	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4071	77	YÕn Tö ®éng	2	2	0	1500000	0	0	500	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4072	22	B¹ch V©n ®éng	2	2	0	1500000	0	0	500	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4073	193	Vò Di s¬n	2	2	0	1500000	0	0	500	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4074	74	Miªu LÜnh	2	2	0	1500000	0	0	500	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4075	90	Phôc Ng­u S¬n §«ng	2	2	0	1500000	0	0	500	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4076	92	Thôc C­¬ng s¬n	2	2	0	1500000	0	0	500	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4077	180	Long Cung ®éng	8	1	0	300000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4078	5	Kinh Hoµng ®éng	8	1	0	300000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4079	122	Hoµng Hµ Nguyªn §Çu	8	1	0	450000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4080	23	ThÇn Tiªn ®éng	8	1	0	300000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4081	91	Mª cung Kª Qu¸n ®éng	8	1	0	450000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4082	171	§iÓm Th­¬ng ®éng tÇng 1	8	1	0	300000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4083	172	§iÓm Th­¬ng ®éng tÇng 2	8	1	0	300000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4084	173	§iÓm Th­¬ng ®éng tÇng 3	8	1	0	300000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4085	135	KiÕn TÝnh Phong s¬n ®éng	8	1	0	300000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4086	6	Táa V©n ®éng	8	1	0	300000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4087	168	Phông Nh·n ®éng	8	1	0	450000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4088	41	Phôc Ng­u S¬n T©y	8	1	0	450000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
