?§¹û	ÊÇ·ñÇ°×º	Îå???ªÇó	µÈ¼¶?ªÇó	Êô?Ôµ÷?ûÀà±?	²ÎÊ?1×î?¡Öµ	²ÎÊ?1×î´óÖµ	²ÎÊ?2×î?¡Öµ	²ÎÊ?2×î´óÖµ	²ÎÊ?3×î?¡Öµ	²ÎÊ?3×î´óÖµ	?§¹ûËµ?÷
Éú?ü1				85	-50	50	-1	-1	0	0	0
Éú?ü2				85	120	200	-1	-1	0	0	0
Éú?ü3				85	160	240	-1	-1	0	0	0
Éú?ü4				85	300	400	-1	-1	0	0	0
ÄÚÁ¦1				89	-50	50	-1	-1	0	0	0
ÄÚÁ¦2				89	120	200	-1	-1	0	0	0
ÄÚÁ¦3				89	160	240	-1	-1	0	0	0
ÄÚÁ¦4				89	300	400	-1	-1	0	0	0
?åÁ¦1				93	-50	50	-1	-1	0	0	0
?åÁ¦2				93	120	200	-1	-1	0	0	0
?åÁ¦3				93	160	240	-1	-1	0	0	0
?åÁ¦4				93	300	400	-1	-1	0	0	0
»ØÄÚ1				92	-2	2	-1	-1	0	0	0
»ØÄÚ2				92	3	6	-1	-1	0	0	0
»ØÄÚ3				92	5	8	-1	-1	0	0	0
»ØÄÚ4				92	9	12	-1	-1	0	0	0
»ØÑª1				88	-2	2	-1	-1	0	0	0
»ØÑª2				88	3	6	-1	-1	0	0	0
»ØÑª3				88	5	8	-1	-1	0	0	0
»ØÑª4				88	9	12	-1	-1	0	0	0
»Ø?å1				96	-2	2	-1	-1	0	0	0
»Ø?å2				96	3	6	-1	-1	0	0	0
»Ø?å3				96	5	8	-1	-1	0	0	0
»Ø?å4				96	9	12	-1	-1	0	0	0
¼?ÉÙÖ?¶¾Ê±¼ä1				108	-10	10	-1	-1	0	0	0
¼?ÉÙÖ?¶¾Ê±¼ä2				108	25	40	-1	-1	0	0	0
¼?ÉÙÖ?¶¾Ê±¼ä3				108	35	50	-1	-1	0	0	0
¼?ÉÙÖ?¶¾Ê±¼ä4				108	60	80	-1	-1	0	0	0
¼?ÉÙÑ£ÔÎÊ±¼ä1				110	-10	10	-1	-1	0	0	0
¼?ÉÙÑ£ÔÎÊ±¼ä2				110	25	40	-1	-1	0	0	0
¼?ÉÙÑ£ÔÎÊ±¼ä3				110	40	50	-1	-1	0	0	0
¼?ÉÙÑ£ÔÎÊ±¼ä4				110	60	80	-1	-1	0	0	0
¼?ÉÙ±ù¶³Ê±¼ä1				106	-10	10	-1	-1	0	0	0
¼?ÉÙ±ù¶³Ê±¼ä2				106	25	40	-1	-1	0	0	0
¼?ÉÙ±ù¶³Ê±¼ä3				106	35	50	-1	-1	0	0	0
¼?ÉÙ±ù¶³Ê±¼ä4				106	60	80	-1	-1	0	0	0
´?»÷»Ø¸´1				113	20	30	-1	-1	0	0	0
´?»÷»Ø¸´2				113	25	40	-1	-1	0	0	0
´?»÷»Ø¸´3				113	35	50	-1	-1	0	0	0
´?»÷»Ø¸´4				113	40	60	-1	-1	0	0	0
Íâ¹¦¹¥ËÙ1				115	10	20	-1	-1	0	0	0
Íâ¹¦¹¥ËÙ2				115	20	40	-1	-1	0	0	0
Íâ¹¦¹¥ËÙ3				115	25	40	-1	-1	0	0	0
Íâ¹¦¹¥ËÙ4				115	30	60	-1	-1	0	0	0
ÍâÆ?%1				126	-25	25	-1	-1	6	6	0
ÍâÆ?%2				126	50	100	-1	-1	6	6	0
ÍâÆ?%3				126	80	120	-1	-1	6	6	0
ÍâÆ?%4				126	100	150	-1	-1	6	6	0
?üÖ?1				166	-100	100	-1	-1	0	0	0
?üÖ?2				166	180	300	-1	-1	0	0	0
?üÖ?3				166	240	360	-1	-1	0	0	0
?üÖ?4				166	450	600	-1	-1	0	0	0
Á¦Á¿1				97	-15	5	-1	-1	0	0	0
Á¦Á¿2				97	12	20	-1	-1	0	0	0
Á¦Á¿3				97	16	24	-1	-1	0	0	0
Á¦Á¿4				97	30	40	-1	-1	0	0	0
Íâ¹¦1				99	-15	5	-1	-1	0	0	0
Íâ¹¦2				99	12	20	-1	-1	0	0	0
Íâ¹¦3				99	16	24	-1	-1	0	0	0
Íâ¹¦4				99	30	40	-1	-1	0	0	0
ÄÚ¹¦1				100	-15	5	-1	-1	0	0	0
ÄÚ¹¦2				100	12	20	-1	-1	0	0	0
ÄÚ¹¦3				100	16	24	-1	-1	0	0	0
ÄÚ¹¦4				100	30	40	-1	-1	0	0	0
Éí·¨1				98	-15	5	-1	-1	0	0	0
Éí·¨2				98	12	20	-1	-1	0	0	0
Éí·¨3				98	16	24	-1	-1	0	0	0
Éí·¨4				98	30	40	-1	-1	0	0	0
ÍâÆ?µ?Ê?1				121	30	50	-1	-1	0	0	0
ÍâÆ?µ?Ê?2				121	40	60	-1	-1	0	0	0
ÍâÆ?µ?Ê?3				121	50	60	-1	-1	0	0	0
Íâ±ùµ?Ê?1				123	60	100	-1	-1	0	0	0
Íâ±ùµ?Ê?2				123	80	120	-1	-1	0	0	0
Íâ±ùµ?Ê?3				123	150	200	-1	-1	0	0	0
Íâ¶¾µ?Ê?1				125	20	30	-1	-1	0	0	0
Íâ¶¾µ?Ê?2				125			-1	-1	0	0	0
