map_ID	nPosX	nPosY
37	1574	3231
37	1581	3237
37	1589	3246
37	1599	3246
37	1590	3257
37	1583	3253
37	1579	3246
37	1572	3236
37	1566	3232
37	1560	3248
37	1568	3260
37	1575	3268
37	1582	3277
37	1593	3275
37	1587	3288
37	1580	3290
37	1570	3285
37	1564	3264
37	1553	3263
37	1551	3251
37	1550	3241
37	1541	3251
37	1541	3259
37	1534	3271
37	1532	3261
37	1580	3294
37	1589	3302
37	1580	3309
37	1590	3313
37	1583	3320
37	1575	3328
37	1582	3336
37	1590	3338
37	1565	3316
37	1559	3301
37	1561	3292
37	1531	3301
37	1525	3298
37	1519	3292
37	1565	3240
37	1571	3246
37	1575	3254
37	1585	3264
37	1525	3266
37	1528	3278
37	1532	3289
37	1531	3314
37	1575	3342
37	1587	3349
37	1509	3289
37	1561	2964
37	1568	2957
37	1570	2948
37	1562	2952
37	1553	2952
37	1560	2939
37	1565	2938
37	1558	2929
37	1554	2922
37	1551	2909
37	1554	2898
37	1562	2889
37	1563	2878
37	1570	2888
37	1571	2877
37	1570	2863
37	1578	2879
37	1582	2863
37	1577	2849
37	1587	2841
37	1596	2842
37	1589	2829
37	1597	2828
37	1595	2815
37	1606	2819
37	1542	2901
37	1534	2912
37	1534	2897
37	1521	2900
37	1513	2909
37	1513	2922
37	1504	2917
37	1518	2934
37	1526	2947
37	1530	2928
37	1535	2952
37	1545	2948
37	1529	2960
37	1498	2906
37	1493	2913
37	1484	2905
37	1474	2907
37	1478	2897
37	1466	2910
37	1467	2897
37	1464	2879
37	1459	2888
37	1452	2877
37	1455	2863
37	1460	2852
