Quest ID	TransLife	Min LV	Max	Quest 1 (DT)	Quest 2 (VLMC)	Quest 3 (Boss ST)	Quest 4 (VA)	Quest 5 (TK)	Quest 6 (PLD)	Quest 7 (VD)	Quest 8 (Trong Cay)	LVL Award	Exp Award	Money	Item ID	Task ID	Start Bit
1	3	10	179	2	#	#	#	#	#	#	#	180	#	20000	1	3087	6
2	3	180	183	5	#	#	#	#	#	#	#	184	#	50000	2	3087	7
3	3	184	185	5	#	#	#	#	#	#	#	186	#	#	#	3087	8
4	3	186	187	5	1	#	#	#	#	#	#	188	#	200000	#	3087	9
5	3	188	189	5	#	#	#	1	#	#	#	190	#	200000	11	3087	10
6	3	190	190	#	1	#	#	1	#	#	#	191	9990000000	1000000	#	3087	11
7	3	192	192	#	#	#	1	1	#	#	#	193	9980000000	1000000	#	3087	12
8	3	194	194	#	#	#	1	1	#	#	10	195	9980000000	1000000	3	3087	13
9	3	196	196	#	#	#	1	1	#	#	20	197	9980000000	1000000	#	3087	14
10	3	198	198	#	1	#	1	1	#	1	40	199	19950000000	1000000	#	3087	15
11	4	120	129	#	1	#	#	#	#	#	#	130	#	#	#	3087	16
12	4	130	134	#	1	#	#	#	#	#	20	135	1570000000	1000000	#	3087	17
13	4	136	138	#	1	#	#	#	#	#	20	139	1950000000	1000000	#	3087	18
14	4	140	140	#	1	#	#	1	#	#	40	141	2900000000	1000000	4	3087	19
15	4	142	142	#	1	#	#	1	#	#	40	143	2900000000	1000000	#	3087	20
16	4	144	144	#	1	#	#	1	#	#	40	145	2900000000	1000000	4	3087	21
17	4	146	146	#	2	#	1	2	#	#	40	146	4900000000	1000000	#	3087	22
18	4	147	147	#	2	#	1	2	#	#	40	147	4850000000	1000000	3	3087	23
19	4	148	148	#	2	#	1	2	1	#	40	148	4850000000	1000000	#	3087	24
20	4	149	149	#	2	#	1	2	1	#	40	149	4850000000	1000000	#	3087	25
21	4	150	150	#	2	#	1	2	1	1	40	150	4800000000	1000000	5	3087	26
22	4	151	151	#	2	#	1	2	1	1	40	151	7700000000	1000000	#	3087	27
23	4	152	152	#	2	#	1	2	1	1	40	#	7700000000	1000000	4	3087	28
24	4	153	153	#	2	#	1	2	1	1	40	#	7700000000	1000000	#	3087	29
25	4	154	154	#	2	#	1	2	1	1	40	#	7700000000	1000000	4	3087	30
26	4	155	155	#	2	#	1	2	1	1	40	#	7700000000	1000000	3	3089	25
27	4	156	156	#	2	#	1	2	1	1	40	#	11600000000	1000000	4	3089	26
28	4	157	157	#	2	#	1	2	1	1	40	#	11600000000	1000000	#	3089	27
29	4	158	158	#	2	#	1	2	1	1	40	#	11600000000	1000000	4	3089	28
30	4	159	159	#	2	#	1	2	1	1	40	#	11600000000	1000000	#	3089	29
31	4	160	160	#	2	#	1	2	1	1	40	#	11600000000	1000000	4	3089	30
32	4	161	161	#	2	#	1	2	1	1	40	#	17500000000	1000000	#	3098	21
33	4	162	162	#	2	#	1	2	1	1	40	#	17500000000	1000000	6	3098	22
34	4	163	163	#	2	#	1	2	1	1	40	#	17500000000	1000000	#	3098	23
35	4	164	164	#	2	#	1	2	1	1	40	#	17500000000	1000000	#	3098	24
36	4	165	165	#	2	#	1	2	1	1	40	#	17500000000	2000000	10	3098	25
37	4	166	166	#	2	#	1	2	1	1	40	#	18200000000	2000000	6	3098	26
38	4	167	167	#	2	#	1	2	1	1	40	#	18200000000	2000000	#	3098	27
39	4	168	168	#	2	#	1	2	1	1	40	#	18200000000	2000000	#	3098	28
40	4	169	169	#	2	#	1	2	1	1	40	#	18200000000	2000000	#	3098	29
41	4	170	170	#	2	#	1	2	1	1	60	#	18200000000	2000000	7	3098	30
42	4	171	171	#	2	#	1	2	1	1	60	#	18000000000	2000000	#	3083	1
43	4	172	172	#	2	#	1	2	1	1	60	#	18000000000	2000000	#	3083	2
44	4	173	173	#	2	#	1	2	1	1	60	#	18000000000	2000000	#	3083	3
45	4	174	174	#	2	#	1	2	1	1	60	#	18000000000	2000000	#	3083	4
46	4	175	175	#	3	#	2	2	1	2	80	#	17000000000	2000000	7	3083	5
47	4	176	176	#	3	#	2	2	1	2	80	#	17000000000	2000000	#	3083	6
48	4	177	177	#	3	#	2	2	1	2	80	#	17000000000	2000000	6	3083	7
49	4	178	178	#	3	#	2	2	1	2	80	#	17000000000	2000000	#	3083	8
50	4	179	179	#	3	#	2	2	1	2	80	#	17000000000	2000000	#	3083	9
51	4	180	180	#	4	#	3	4	2	3	100	#	16000000000	2000000	8	3083	10
52	4	181	181	#	5	#	4	5	2	4	120	#	16000000000	2000000	#	3083	11
53	4	182	182	#	6	#	5	6	3	5	140	#	16000000000	2000000	6	3083	12
54	4	183	183	#	6	#	5	8	4	5	160	#	16000000000	2000000	#	3083	13
55	4	184	184	#	6	#	6	6	5	6	180	#	16000000000	2000000	#	3083	14
56	4	185	185	#	8	#	8	10	5	8	200	#	15000000000	2000000	7	3083	15
57	4	186	186	#	10	#	10	12	6	10	240	#	15000000000	2000000	#	3083	16
58	4	187	187	#	12	#	12	12	8	12	280	#	15000000000	2000000	9	3083	17
59	4	188	188	#	14	#	14	14	10	14	320	#	15000000000	2000000	#	3083	18
60	4	189	189	#	16	#	20	20	10	20	360	#	15000000000	2000000	#	3083	19
