X	Y
2005	3645
2010	3674
1996	3707
1985	3729
1984	3698
1999	3707
2013	3685
2003	3655
1997	3610
2008	3583
2002	3561
1972	3573
1948	3594
1931	3576
1912	3582
1910	3600
1903	3630
1877	3642
1848	3636
1931	3566
1944	3556
1965	3522
1958	3489
1963	3474
1979	3463
1992	3450
2008	3451
2003	3416
2003	3405
1990	3396
1997	3374
2001	3358
2006	3349
1973	3360
1956	3338
1924	3407
1946	3418
1952	3432
1961	3423
1976	3434
1985	3444
2003	3452
2016	3456
2009	3433
2012	3503
2016	3531
2016	3549
1992	3546
1965	3525
1936	3487
1909	3481
1900	3471
1898	3524
1893	3537
1902	3563
1912	3598
1915	3584
1929	3570
1944	3562
1950	3547
1972	3538
1982	3554
1994	3546
1996	3526
2012	3521
2022	3540
2029	3546
2006	3564
1991	3560
1975	3569
1964	3580
1955	3585
1951	3619
1969	3630
1941	3644
1928	3655
1920	3645
1907	3651
1900	3660
1900	3701
1914	3711
1922	3726
1930	3738
1942	3727
1948	3724
1972	3698
1985	3671
1983	3630
1996	3613
1926	3758
1910	3759
1894	3756
1858	3749
1856	3725
1877	3717
1884	3674
1878	3659
1891	3653
1901	3641
1919	3633
