POSX	POSY
52256	85632
52320	86720
52352	84128
52352	84288
52352	84448
52352	84736
52352	86144
52384	85216
52384	86336
52384	86624
52416	86048
52448	86496
52448	86880
52480	84128
52480	84288
52480	84608
52480	86272
52512	84448
52512	86112
52512	86656
52544	84768
52576	84544
52576	85312
52672	84000
52768	85248
52768	85408
52768	86784
52800	83904
52800	86592
52800	86912
52832	84288
52832	86368
52864	84064
52864	86784
52896	84512
52896	84864
52896	85216
52896	85632
52896	86016
52896	86656
52928	83904
52928	85408
52960	86880
52992	84128
52992	85600
53024	86784
53056	85280
53088	84000
53088	84576
53152	86080
53216	84256
53216	85792
53312	84512
53344	84800
53344	85120
53344	86240
53376	85504
53376	85728
53376	86048
53408	86432
53440	84064
53472	85344
53472	85568
53472	86240
53504	84992
53504	85728
53536	84288
53536	85472
53536	86432
53568	85664
53600	84128
53600	86144
53600	86656
53632	84672
53664	84192
53664	84384
53664	86304
