POSX	POSY
52256	99648
52288	101696
52320	101280
52320	101984
52384	99392
52416	99840
52448	101536
52448	99520
52480	101792
52480	102176
52512	99264
52544	99424
52544	99648
52608	101984
52608	99552
52640	100288
52640	100576
52640	101728
52672	99200
52672	99392
52704	100448
52704	102272
52768	101920
52768	99328
52800	100416
52800	100608
52864	102432
52896	102144
52960	100640
53024	101952
53024	102240
53088	99168
53088	99456
53152	100512
53184	99648
53216	102080
53216	102432
53216	99200
53248	100736
53280	100384
53312	100544
53344	99776
53376	100704
53376	101344
53408	100320
53440	100032
53440	101184
53440	101472
53472	100576
53536	101344
53536	99200
53536	99712
53568	99904
53600	100064
53600	101344
53600	101504
53664	99520
53728	99872
