POSX	POSY
42144	90080
42144	90464
42144	90848
42176	91168
42240	89728
42304	91392
42400	89504
42400	90560
42432	90848
42432	91584
42464	90176
42464	90688
42528	89312
42528	90208
42528	90336
42528	90560
42528	91008
42560	90016
42560	90784
42624	90176
42624	90880
42624	91104
42688	89792
42688	90048
42720	90816
42720	91008
42752	89920
42752	90176
42816	89792
42816	90048
42816	90880
42816	91136
42880	90752
42912	90240
42944	89952
42944	90592
42944	90944
42976	90400
42976	90752
43008	90144
43040	90624
43072	90016
43072	90272
43072	91360
43232	89408
43232	91200
43328	90944
43360	89632
43360	90560
43392	89824
43392	90016
43392	90240
