POSX	POSY
52416	89408
52416	91648
52448	89888
52480	90272
52480	90560
52480	90784
52480	91200
52512	89632
52544	90976
52576	89920
52576	90720
52608	89376
52608	89664
52608	90112
52608	90400
52640	91008
52672	89888
52704	90784
52768	89024
52800	90848
52832	92032
52864	89184
52864	91776
52896	88992
52928	91872
52960	91712
52992	89120
53024	91968
53056	90976
53088	91264
53152	89024
53152	89696
53184	89216
53184	89824
53184	91488
53184	91744
53280	90784
53280	91616
53312	90656
53312	91744
53344	89536
53344	89664
53344	89792
53344	89984
53344	90784
53344	91488
53408	90720
53408	90880
53440	89600
53440	89920
53440	91424
53472	91296
53504	89536
53504	89664
53504	90272
53536	89824
53536	90048
53536	91520
53568	91360
