POSX	POSY
41984	96544
41984	96736
42048	94336
42048	94592
42048	96128
42048	96320
42080	94848
42080	95040
42080	97120
42080	97312
42144	93920
42144	94048
42176	96128
42176	96320
42208	94848
42208	95040
42208	95296
42208	95840
42208	97152
42208	97312
42272	93920
42272	94048
42336	95040
42336	96128
42336	96320
42336	97152
42336	97312
42368	94848
42400	93920
42400	94048
42400	96608
42400	96800
42464	94368
42464	94592
42496	94496
42528	96544
42880	96576
42912	94560
43008	94432
43008	94688
43008	96352
43008	96576
43104	93920
43104	94112
43104	94880
43104	95072
43104	96896
43104	97056
43136	96064
43136	96224
43168	97280
43232	93920
43232	94112
43232	94880
43232	95072
43264	95360
43264	95808
43264	96064
43264	96224
43264	96896
43264	97056
43328	97280
43360	93920
43360	94112
43360	94880
43360	95072
43392	96064
43392	96224
43392	96896
43392	97056
43424	94432
43424	94688
43488	96352
43488	96576
