POSX	POSY
42016	84672
42048	84896
42048	85600
42112	85472
42144	85856
42176	84448
42176	84640
42208	84192
42208	84832
42208	85632
42240	85376
42304	84608
42304	84992
42336	84000
42368	84416
42400	84608
42400	85664
42400	86368
42400	86592
42400	86720
42432	84896
42432	85408
42496	84032
42496	84512
42496	84768
42496	85568
42496	85760
42560	84704
42560	85984
42560	86208
42592	84416
42592	85472
42592	85632
42624	84032
42688	84160
42688	86080
42720	84352
42720	84768
42720	86272
42752	85472
42752	85664
42816	84320
42816	84576
42816	84736
42816	86048
42816	86720
42848	84128
42848	85568
42848	86240
42880	85408
42880	86592
42912	84800
42912	85856
42944	84640
42944	86400
42976	84160
43008	85024
43040	85760
43072	85024
43072	86368
43104	84896
43104	85440
43136	84736
43136	85728
43168	85568
43168	85888
43168	86240
43168	86496
43264	84768
43264	84928
43264	85472
43264	86560
43392	86656
43456	86624
