POSX	POSY
42272	101152
42304	101280
42336	100352
42336	100960
42368	101120
42400	100032
42400	100192
42464	101152
42464	101568
42496	100032
42496	100320
42496	101376
42496	99776
42560	100992
42560	101760
42560	99872
42592	101184
42592	101408
42592	101600
42592	99648
42624	100064
42624	100224
42624	101888
42656	99872
42688	101248
42688	101792
42688	99520
42688	99744
42720	100992
42720	101952
42752	100352
42752	99616
42784	101728
42816	101120
42816	101216
42816	101920
42816	99520
42816	99744
42816	99904
42848	101760
42880	100224
42880	101056
42880	101376
42880	101568
42912	100064
42912	99648
42912	99840
42944	101024
42944	101216
42976	100416
42976	101632
43040	100000
43040	101376
43040	99744
43072	100224
43104	100992
43104	101536
43136	100416
43168	101248
43200	100128
43264	100416
43264	101024
