POSX	POSY
49664	96512
49664	96672
49696	95584
49696	95712
49696	95840
49728	96576
49792	96160
49824	96800
49856	95168
49952	94400
49952	94528
49952	94656
49952	95872
49984	95616
49984	95744
50016	96928
50048	94400
50048	94528
50048	94656
50048	97184
50112	96000
50176	96704
50176	97216
50240	97024
50464	95264
50464	96928
50560	95264
50752	95232
50752	96864
50752	97024
50816	94592
50816	96960
50944	95552
51008	94848
51008	94976
51040	95840
51040	95968
51040	96960
51072	96480
51104	94848
51104	94976
51104	96896
51104	97056
51136	95840
51136	95968
