SourceName	ReplaceName
±¦Ïä1	R­¬ng b¸u 1
±¦Ïä2	R­¬ng b¸u 2
¸æÊ¾ÅÆ1	B¶ng th«ng b¸o 1
¸æÊ¾ÅÆ2	B¶ng th«ng b¸o 2
¸æÊ¾ÅÆ3	B¶ng th«ng b¸o 3
Â·±ê1	BiÓn chØ ®­êng 1
Â·±ê2	BiÓn chØ ®­êng 2
Â·±ê3	BiÓn chØ ®­êng 3
½£	KiÕm
µ¶	§ao
¹÷°ô	Dïi cui
Ç¹	Th­¬ng
´¸	Chïy
Ë«µ¶	Song ®ao
·ÉïÚ	Phi tiªu
¹­	Cung
°µÆ÷Ï»	Hép ¸m khİ 
ºìÒ©Æ¿	Chai thuèc ®á
°×Ò©Æ¿	Chai thuèc tr¾ng
À¶Ò©Æ¿	Chai thuèc xanh
¾ÆÌ³×Ó	B×nh r­îu
»Æ²¼ÒÂ	¸o v¶i vµng
°×îø¼×	¸o A tr¾ng
À¶²¼ÒÂ	¸o v¶i xanh
½ğîø¼×	¸o A vµng
ÄĞÑ¥	Giµy cho nam
Å®Ğ¬	Giµy cho n÷ 
À¶É«²¼Ã±	Mò v¶i mµu xanh
¸Ö¿ø	Mò b¶o hé 
·¢ô¢	Tr©m cµi tãc
½ğ¿ø	Mò b¶o hé vµng
²¼Ñü´ø	§ai l­ng v¶i
½ğÊôÑü´ø	§ai l­ng d¸t vµng
»¤Íó	Bao tay b¶o hé 
Óñïí	Vßng ngäc
ÏîÁ´	D©y chuyÒn
½äÖ¸	NhÉn
ÍÁµØ·û	Thæ §Şa Phï 
´«ËÍµã	§iÓm truyÒn tông
Âí°°	Yªn ngùa
ÈÎÎñµÀ¾ß	§å dïng cho nhiÖm vô 
Ğ¡Ç®	İt tiÒn
Ò»µãÇ®	Mét İt tiÒn
²»ÉÙÇ®	NhiÒu tiÒn
ºÜ¶àÇ®	RB nhiÒu tiÒn
±©¶àÇ®	Cùc nhiÒu tiÒn
´óÂüÍÓÂŞ»¨	Hoa cµ ®éc d­îc lín
ºìòÇò¾	Con giun ®á
±ÌÉÑ·ïµû	Bİch Th­êng Phông §iÖp
½ğË¿ºï	KhØ vµng
×êÊ¯	Kim c­¬ng
²¼´ü	Tói v¶i
Ö©Öë	NhÒn nhÖn
µ±¹é	§­¬ng quy
×ÏÜÙŞ£	Tö Môc Tóc
