nTaskID	PeopleExp	PartnerExp
6	3250	3250
7	6500	6500
8	9750	9750
9	3250	3250
10	6500	6500
11	9750	9750
12	7250	7250
13	14500	14500
14	21750	21750
15	13250	13250
16	26500	26500
17	39750	39750
18	28850	28850
19	57700	57700
20	86550	86550
21	28850	28850
22	57700	57700
23	86550	86550
24	7250	7250
25	14500	14500
26	21750	21750
27	13250	13250
28	26500	26500
29	39750	39750
30	55850	55850
31	55850	55850
32	55850	55850
33	61850	61850
34	213700	213700
35	320550	320550
36	61850	61850
37	213700	213700
38	320550	320550
39	3250	3250
40	6500	6500
41	9750	9750
42	55850	55850
43	111700	111700
44	167550	167550
45	61850	61850
46	213700	213700
47	320550	320550
48	3250	3250
49	6500	6500
50	9750	9750
51	37850	37850
52	75700	75700
53	113550	113550
54	3250	3250
55	6500	6500
56	9750	9750
57	7250	7250
58	14500	14500
59	21750	21750
60	7250	7250
61	14500	14500
62	21750	21750
63	3250	3250
64	6500	6500
65	9750	9750
66	28850	28850
67	57700	57700
68	86550	86550
69	13250	13250
70	26500	26500
71	39750	39750
72	28850	28850
73	57700	57700
74	86550	86550
75	37850	37850
76	75700	75700
77	113550	113550
78	3250	3250
79	6500	6500
80	9750	9750
81	61850	61850
82	213700	213700
83	320550	320550
84	3250	3250
85	6500	6500
86	9750	9750
87	37850	37850
88	75700	75700
89	113550	113550
90	37850	37850
91	37850	37850
92	37850	37850
93	28850	28850
94	57700	57700
95	86550	86550
96	37850	37850
97	75700	75700
98	113550	113550
99	7250	7250
100	14500	14500
101	21750	21750
102	3250	3250
103	6500	6500
104	9750	9750
105	3250	3250
106	6500	6500
107	9750	9750
108	3250	3250
109	6500	6500
110	9750	9750
111	3250	3250
112	6500	6500
113	9750	9750
114	3250	3250
115	6500	6500
116	9750	9750
117	3250	3250
118	6500	6500
119	9750	9750
120	55850	55850
121	111700	111700
122	167550	167550
123	46850	46850
124	93700	93700
125	140550	140550
126	3250	3250
127	6500	6500
128	9750	9750
129	37850	37850
130	75700	75700
131	113550	113550
132	46850	46850
133	93700	93700
134	140550	140550
135	55850	55850
136	111700	111700
137	167550	167550
138	7250	7250
139	14500	14500
140	21750	21750
141	7250	7250
142	14500	14500
143	21750	21750
144	55850	55850
145	111700	111700
146	167550	167550
147	7250	7250
148	14500	14500
149	21750	21750
150	13250	13250
151	26500	26500
152	39750	39750
153	69350	69350
154	138700	138700
155	208050	208050
156	55850	55850
157	111700	111700
158	167550	167550
159	13250	13250
160	26500	26500
161	39750	39750
162	61850	61850
163	213700	213700
164	320550	320550
165	3250	3250
166	6500	6500
167	9750	9750
168	46850	46850
169	93700	93700
170	140550	140550
171	3250	3250
172	6500	6500
173	9750	9750
174	7250	7250
175	14500	14500
176	21750	21750
177	7250	7250
178	14500	14500
179	21750	21750
180	28850	28850
181	57700	57700
182	86550	86550
183	13250	13250
184	26500	26500
185	39750	39750
186	69350	69350
187	138700	138700
188	208050	208050
189	55850	55850
190	111700	111700
191	167550	167550
192	3250	3250
193	6500	6500
194	9750	9750
195	3250	3250
196	6500	6500
197	9750	9750
198	28850	28850
199	57700	57700
200	86550	86550
201	61850	61850
202	213700	213700
203	320550	320550
204	61850	61850
205	213700	213700
206	320550	320550
207	37850	37850
208	75700	75700
209	113550	113550
210	46850	46850
211	93700	93700
212	140550	140550
213	46850	46850
214	93700	93700
215	140550	140550
216	46850	46850
217	93700	93700
218	140550	140550
219	55850	55850
220	111700	111700
221	167550	167550
222	61850	61850
223	213700	213700
224	320550	320550
225	3250	3250
226	6500	6500
227	9750	9750
228	28850	28850
229	57700	57700
230	86550	86550
231	46850	46850
232	93700	93700
233	140550	140550
234	69350	69350
235	138700	138700
236	208050	208050
237	37850	37850
238	75700	75700
239	113550	113550
240	46850	46850
241	93700	93700
242	140550	140550
243	46850	46850
244	93700	93700
245	140550	140550
246	46850	46850
247	93700	93700
248	140550	140550
249	55850	55850
250	111700	111700
251	167550	167550
252	61850	61850
253	213700	213700
254	320550	320550
255	37850	37850
256	75700	75700
257	113550	113550
258	28850	28850
259	57700	57700
260	86550	86550
261	61850	61850
262	213700	213700
263	320550	320550
264	69350	69350
265	138700	138700
266	208050	208050
267	69350	69350
268	138700	138700
269	208050	208050
270	13250	13250
271	26500	26500
272	39750	39750
273	3250	3250
274	6500	6500
275	9750	9750
