TaskName	TaskStart	TaskStarted	TaskNow	TaskEnd	TaskFinish	TaskInfo
Tªn nhiÖm vô 	Thêi gian b¾t ®Çu nhiÖm vô 	Sau khi b¾t ®Çu nhiÖm vô 	TiÕn hµnh nhiÖm vô 	Thêi gian kÕt thóc nhiÖm vô 	Thêi gian ph¸t gi¶i	ThuyÕt minh liªn quan nhiÖm vô 
NgÉu nhiªn_MËt §å_Thu thËp D­îc hoµn 	<dec><pan>D¹o gÇn ®©y kÎ thï liªn tiÕp ®Õn x©m ph¹m biªn c­¬ng cña chóng ta, dòng sü triÒu ®×nh ®¹i Tèng ®ang chuÈn bŞ xung trËn b¶o vÖ n­íc nhµ, ®Ó b¶o ®¶m tr¨m trËn tr¨m th¾ng, chóng ta nªn göi tÆng hä c¸c lo¹i thÇn d­îc: {{Tr­êng MÖnh Hoµn}}, {{Giao Bµo Hoµn}}, {{§¹i Lùc Hoµn}}, {{Cao ThiÓm Hoµn}}, {{Cao Trung Hoµn}}, {{Phi Tèc Hoµn}}, {{B¨ng Phßng Hoµn}}, {{L«i Phßng Hoµn}}, {{B¨ng Phßng Hoµn}}, {{§éc Phßng Hoµn}}. Giao cho {{L©m An}} - {{#?##}} lµ ®­îc råi.	<dec><pan>H·y mau ®i t×m ®ñ c¸c d­îc hoµn nµy!	<dec><npc> Kim qu©n qu¸ dòng m·nh thiÖn chiÕn, cÇn ph¶i trang bŞ thªm d­îc hoµn ®Ó qu©n ta gi÷ v÷ng sÜ khİ! 	<dec><npc>Ha ha! Hay qu¸! Mçi ng­êi gãp 1 chót søc m×nh, <sex> §¹i Tèng ta sÏ v÷ng bÒn	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_MËt §å_Thu thËp S¸t Thñ Gi¶n	<dec><pan>Nghe nãi ë {{T­¬ng D­¬ng}} cã thñ lÜnh s¸t thñ {{NhiÕp Thİ TrÇn}} ®ang muèn thu thËp ®Çy ®ñ ngò hµnh {{Kim, méc, thñy, háa, thæ}} cña {{S¸t thñ gi¶n cÊp 90}}. Chóng ta h·y ®Õn ®ã xem thÕ nµo!	<dec><pan> C¸ch ®Ó cã S¸t thñ gi¶n: nhËn ®­îc tõ NhiÕp Thİ TrÇn sau khi hoµn thµnh nhiÖm vô s¸t thñ, hoÆc giao dŞch, nÕu may m¾n còng cã thÓ nhÆt ®­îc trªn ®­êng.	<dec><npc>Kh«ng biÕt c¸c h¹ cã thÓ gióp ta thu thËp ®Çy ®ñ ngò hµnh {{Kim, méc, thñy, háa, thæ}} cña {{S¸t thñ gi¶n cÊp 90}} hay kh«ng?	<dec><npc>§· l©u ta ch­a tõng kh©m phôc ai. Ng­¬i  <sex>qu¶ thËt kh«ng ®¬n gi¶n.	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_MËt §å_Thu thËp Kho¸ng Th¹ch	<dec><pan>Nghe nãi ë {{Thµnh §«}} cã mét {{Thî rÌn}} ®ang nç lùc chÕ t¹o ra mét b¶o kiÕm cã mét kh«ng hai, hiÖn t¹i y ®ang cÇn {{HuyÒn ThiÕt Nguyªn Kho¸ng}}, {{MËt Ng©n Nguyªn Kho¸ng}}, {{Chu Sa Nguyªn Kho¸ng}} vµ ®Çy ®ñ ngò hµnh {{Kim, méc thñy, háa, thæ}} cña {{Khæng T­íc Nguyªn Th¹ch}}, {{Phï Dung Nguyªn Th¹ch}},{{Chung Nhò Nguyªn Th¹ch hÖ Kim, tæng céng 18 viªn chóng ta nªn ®i t×m vµi viªn ®Ó gióp y hoµn thµnh t©m nguyÖn nµy.	<dec><pan>Kho¸ng th¹ch cã thÓ nhËn ®­îc sau khi hoµn thµnh nhiÖm vô D· TÈu, còng cã thÓ  ®i t×m ë M¹c B¾c, Phong L¨ng §é.	<dec><npc>VÉn ch­a cã ®ñ kho¸ng th¹ch ­? LÏ nµo thanh b¶o kiÕm cña chØ lµ ¶o t­ëng?	<dec><npc>Hoan h«! <sex> §¶o th¹ch råi! B¶o kiÕm cña ta sÏ thµnh c«ng!	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_MËt §å_Thu thËp Hoa hång	<dec><pan>Nghe nãi Së tiªn sinh tró t¹i B¸ch hoa cèc, cã nhiÒu lo¹i hång quı hiÕm. Chóng ta h·y ®Õn {{Thµnh §«}} - {{LÔ Quan}} hái xem thùc h­ vµ tiÖn thÓ t×m {{9 ®ãa hoa hång}}?	<dec><pan>Dïng phóc duyªn ®Õn ThÇn bİ th­¬ng nh©n (T­¬ng D­¬ng) ®Ó ®æi hoa hång. 	<dec><npc>Ng­¬i cã thÓ t×m cho ta 9 hoa hång kh«ng? 	<dec><npc>C¸nh hoa r¬i rông nh­ thêi gian qua ®i buån b·......	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (§­êng M«n) 	<dec><pan>Nghe nãi gÇn ®©y §­êng gia b¶o chñ bŞ ng­êi ta h¹ ®éc h·m h¹i. Qu¶n gia ®­êng gia muèn nhê c¸c cao thñ vâ l©m t×m vÒ bİ bİp  m«n ph¸i §­êng M«n lµ {{Tô TiÔn ThuËt-B¹o Vò Lª Hoa}},  {{H·m TØnh ThuËt - Lo¹n Hoµn Kİch}} vµ {{Phi §ao ThuËt - NhiÕp Hån NguyÖt ¶nh}} vµ {{Phi Tiªu ThuËt - Cöu Cung Phi Tinh}}!	<dec><pan>Kü n¨ng nµy chØ cã thÓ ®Õn t×m {{L©m An}} - {{Hµng rong}} vµ dïng {{tiÒn ®ång}} ®Ó mua mµ th«i.	<dec><npc>¸i chµ,ng­¬i ®Õn d©ng MËt tŞch µ? Ngµy nay kÎ quan t©m ®Õn vËn mÖnh cña Vâ L©m kh«ng nhiÒu,ng­¬i qu¶ lµ ng­êi cã t©m v× ®¹o nghÜa!	<dec><npc>Hay l¾m! §©y lµ nh÷ng mËt tŞch mµ ta khæ c«ng t×m kiÕm!	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (Ngò §éc) 	<dec><pan>Nghe nãi gÇn ®©y §­êng gia b¶o chñ bŞ ng­êi ta h¹ ®éc h·m h¹i. Qu¶n gia ®­êng gia muèn nhê c¸c cao thñ vâ l©m t×m vÒ bİ bİp  m«n ph¸i {{Ngò §éc}} lµ {{Ngò ®éc ch­ëng ph¸p quyÓn 1}}, {{Ngò ®éc ch­ëng ph¸p quyÓn 2}}, vµ {{Ngò ®éc nhiÕp t©m thuËt quyÓn 3}}.	<dec><pan>Kü n¨ng nµy chØ cã thÓ ®Õn t×m {{L©m An}} - {{Hµng rong}} vµ dïng {{tiÒn ®ång}} ®Ó mua mµ th«i.	<dec><npc>¸i chµ,ng­¬i ®Õn d©ng MËt tŞch µ? Ngµy nay kÎ quan t©m ®Õn vËn mÖnh cña Vâ L©m kh«ng nhiÒu,ng­¬i qu¶ lµ ng­êi cã t©m v× ®¹o nghÜa!	<dec><npc>Hay l¾m! §©y lµ nh÷ng mËt tŞch mµ ta khæ c«ng t×m kiÕm!	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (Nga Mi) 	<dec><pan>Nghe nãi gÇn ®©y §­êng gia b¶o chñ bŞ ng­êi ta h¹ ®éc h·m h¹i. Qu¶n gia ®­êng gia muèn nhê c¸c cao thñ vâ l©m t×m vÒ bİ bİp  m«n ph¸i {{Nga Mi}} lµ {{DiÖt KiÕm MËt TŞch}}, {{Nga Mi PhËt Quang Phæ ChiÕu}}, vµ {{Phæ §é MËt TŞch}}.	<dec><pan>Kü n¨ng nµy chØ cã thÓ ®Õn t×m {{L©m An}} - {{Hµng rong}} vµ dïng {{tiÒn ®ång}} ®Ó mua mµ th«i.	<dec><npc>¸i chµ,ng­¬i ®Õn d©ng MËt tŞch µ? Ngµy nay kÎ quan t©m ®Õn vËn mÖnh cña Vâ L©m kh«ng nhiÒu,ng­¬i qu¶ lµ ng­êi cã t©m v× ®¹o nghÜa!	<dec><npc>Hay l¾m! §©y lµ nh÷ng mËt tŞch mµ ta khæ c«ng t×m kiÕm!	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_MËt §å_Thu thËpThóy Yªn MËt tŞch kü n¨ng	<dec><pan>Nghe nãi gÇn ®©y §­êng gia b¶o chñ bŞ ng­êi ta h¹ ®éc h·m h¹i. Qu¶n gia ®­êng gia muèn nhê c¸c cao thñ vâ l©m t×m vÒ bİ bİp  m«n ph¸i {{Thóy Yªn}} lµ {{Thóy Yªn §ao Ph¸p}} vµ {{Thóy Yªn Song §ao}}.	<dec><pan>Kü n¨ng nµy chØ cã thÓ ®Õn t×m {{L©m An}} - {{Hµng rong}} vµ dïng {{tiÒn ®ång}} ®Ó mua mµ th«i.	<dec><npc>¸i chµ,ng­¬i ®Õn d©ng MËt tŞch µ? Ngµy nay kÎ quan t©m ®Õn vËn mÖnh cña Vâ L©m kh«ng nhiÒu,ng­¬i qu¶ lµ ng­êi cã t©m v× ®¹o nghÜa!	<dec><npc>Hay l¾m! §©y lµ nh÷ng mËt tŞch mµ ta khæ c«ng t×m kiÕm!	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
NgÉu nhiªn_MËt §å_Thu thËpC¸i Bang MËt tŞch kü n¨ng	<dec><pan>Nghe nãi gÇn ®©y §­êng gia b¶o chñ bŞ ng­êi ta h¹ ®éc h·m h¹i. Qu¶n gia ®­êng gia muèn nhê c¸c cao thñ vâ l©m t×m vÒ bİ bİp  m«n ph¸i {{C¸i Bang}} lµ {{C¸i Bang Ch­ëng Ph¸p}} vµ {{C¸i Bang C«n Ph¸p}}.	<dec><pan>Kü n¨ng nµy chØ cã thÓ ®Õn t×m {{L©m An}} - {{Hµng rong}} vµ dïng {{tiÒn ®ång}} ®Ó mua mµ th«i.	<dec><npc>¸i chµ,ng­¬i ®Õn d©ng MËt tŞch µ? Ngµy nay kÎ quan t©m ®Õn vËn mÖnh cña Vâ L©m kh«ng nhiÒu,ng­¬i qu¶ lµ ng­êi cã t©m v× ®¹o nghÜa!	<dec><npc>Hay l¾m! §©y lµ nh÷ng mËt tŞch mµ ta khæ c«ng t×m kiÕm!	<dec><npc>Ta cã b¶o vËt ®©y!<sex>xem thö ®i! Cã thÓ gióp cho ng­¬i hµnh tÈu giang hå!	
