map_ID	nPosX	nPosY
162	1702	3075
162	1706	3080
162	1712	3074
162	1705	3068
162	1705	3058
162	1714	3058
162	1717	3066
162	1723	3052
162	1720	3047
162	1716	3044
162	1719	3034
162	1725	3037
162	1732	3035
162	1735	3025
162	1729	3021
162	1722	3016
162	1713	3016
162	1719	3004
162	1734	3005
162	1742	3006
162	1751	3003
162	1747	2995
162	1742	2990
162	1740	2982
162	1728	2990
162	1715	2989
162	1712	2980
162	1724	2976
162	1736	2975
162	1764	2994
162	1771	3005
162	1778	2999
162	1778	2987
162	1782	2977
162	1789	2987
162	1786	3000
162	1794	3008
162	1805	3011
162	1690	3015
162	1723	3023
162	1705	3018
162	1702	3007
162	1703	2995
162	1697	2976
162	1693	2967
162	1686	2983
162	1673	2992
162	1668	2977
162	1669	3014
162	1679	3009
