EqName	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	NormalWalk	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	NormalRun	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	MeleeWDie	DoubleWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
Tay kh«ng	FM_LW_000_ST01.spr	FM_LW_000_ST01.spr	FM_LW_000_ST01.spr	FM_LW_000_ST04.spr	FM_LW_000_ST05.spr	FM_LW_000_ST06.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_000_RN04.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_000_RN04.spr	FM_LW_000_IJ01.spr	FM_LW_000_IJ02.spr	FM_LW_000_IJ03.spr	FM_LW_000_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_LW_000_AT01.spr	FM_LW_000_AT03.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_000_AT04.spr	FM_LW_000_AT07.spr	FM_LW_000_AT07.spr	FM_LW_000_MG01.spr	FM_LW_000_AT01.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_000_AT07.spr	FM_LW_000_ZZ01.spr	FM_LW_000_JP01.spr	FM_LW_000_RD01.spr	FM_LW_000_HR01.spr	FM_LW_000_HR01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA01.spr	FM_LW_000_HI01.spr	All_DE01.spr	FM_LW_000_RD01.spr	FM_LW_000_RD01.spr
®¬n thñ kiÕm 1	FM_LW_000_ST01.spr	FM_LW_000_ST01.spr	FM_LW_000_ST01.spr	FM_LW_000_ST04.spr	FM_LW_000_ST05.spr	FM_LW_001_ST06.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_001_RN04.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_001_RN04.spr	FM_LW_000_IJ01.spr	FM_LW_000_IJ02.spr	FM_LW_000_IJ03.spr	FM_LW_001_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_LW_000_AT01.spr	FM_LW_000_AT03.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_000_AT04.spr	FM_LW_001_AT07.spr	FM_LW_001_AT07.spr	FM_LW_000_MG01.spr	FM_LW_000_AT01.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_001_AT07.spr	FM_LW_000_ZZ01.spr	FM_LW_000_JP01.spr	FM_LW_000_RD01.spr	FM_LW_000_HR01.spr	FM_LW_000_HR01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA01.spr	FM_LW_000_HI01.spr	All_DE01.spr	FM_LW_000_RD01.spr	FM_LW_000_RD01.spr
®¬n thñ kiÕm 2	FM_LW_000_ST01.spr	FM_LW_000_ST01.spr	FM_LW_000_ST01.spr	FM_LW_000_ST04.spr	FM_LW_000_ST05.spr	FM_LW_002_ST06.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_002_RN04.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_002_RN04.spr	FM_LW_000_IJ01.spr	FM_LW_000_IJ02.spr	FM_LW_000_IJ03.spr	FM_LW_002_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_LW_000_AT01.spr	FM_LW_000_AT03.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_000_AT04.spr	FM_LW_002_AT07.spr	FM_LW_002_AT07.spr	FM_LW_000_MG01.spr	FM_LW_000_AT01.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_002_AT07.spr	FM_LW_000_ZZ01.spr	FM_LW_000_JP01.spr	FM_LW_000_RD01.spr	FM_LW_000_HR01.spr	FM_LW_000_HR01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA01.spr	FM_LW_000_HI01.spr	All_DE01.spr	FM_LW_000_RD01.spr	FM_LW_000_RD01.spr
®¬n thñ kiÕm 3	FM_LW_000_ST01.spr	FM_LW_000_ST01.spr	FM_LW_000_ST01.spr	FM_LW_000_ST04.spr	FM_LW_000_ST05.spr	FM_LW_003_ST06.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_003_RN04.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_003_RN04.spr	FM_LW_000_IJ01.spr	FM_LW_000_IJ02.spr	FM_LW_000_IJ03.spr	FM_LW_003_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_LW_000_AT01.spr	FM_LW_000_AT03.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_000_AT04.spr	FM_LW_003_AT07.spr	FM_LW_003_AT07.spr	FM_LW_000_MG01.spr	FM_LW_000_AT01.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_003_AT07.spr	FM_LW_000_ZZ01.spr	FM_LW_000_JP01.spr	FM_LW_000_RD01.spr	FM_LW_000_HR01.spr	FM_LW_000_HR01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA01.spr	FM_LW_000_HI01.spr	All_DE01.spr	FM_LW_000_RD01.spr	FM_LW_000_RD01.spr
®¬n thñ ®ao 1	FM_LW_000_ST01.spr	FM_LW_000_ST01.spr	FM_LW_000_ST01.spr	FM_LW_000_ST04.spr	FM_LW_000_ST05.spr	FM_LW_004_ST06.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_004_RN04.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_004_RN04.spr	FM_LW_000_IJ01.spr	FM_LW_000_IJ02.spr	FM_LW_000_IJ03.spr	FM_LW_004_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_LW_000_AT01.spr	FM_LW_000_AT03.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_000_AT04.spr	FM_LW_004_AT07.spr	FM_LW_004_AT07.spr	FM_LW_000_MG01.spr	FM_LW_000_AT01.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_004_AT07.spr	FM_LW_000_ZZ01.spr	FM_LW_000_JP01.spr	FM_LW_000_RD01.spr	FM_LW_000_HR01.spr	FM_LW_000_HR01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA01.spr	FM_LW_000_HI01.spr	All_DE01.spr	FM_LW_000_RD01.spr	FM_LW_000_RD01.spr
®¬n thñ ®ao 2	FM_LW_000_ST01.spr	FM_LW_000_ST01.spr	FM_LW_000_ST01.spr	FM_LW_000_ST04.spr	FM_LW_000_ST05.spr	FM_LW_005_ST06.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_005_RN04.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_005_RN04.spr	FM_LW_000_IJ01.spr	FM_LW_000_IJ02.spr	FM_LW_000_IJ03.spr	FM_LW_005_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_LW_000_AT01.spr	FM_LW_000_AT03.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_000_AT04.spr	FM_LW_005_AT07.spr	FM_LW_005_AT07.spr	FM_LW_000_MG01.spr	FM_LW_000_AT01.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_005_AT07.spr	FM_LW_000_ZZ01.spr	FM_LW_000_JP01.spr	FM_LW_000_RD01.spr	FM_LW_000_HR01.spr	FM_LW_000_HR01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA01.spr	FM_LW_000_HI01.spr	All_DE01.spr	FM_LW_000_RD01.spr	FM_LW_000_RD01.spr
®¬n thñ ®ao 3	FM_LW_000_ST01.spr	FM_LW_000_ST01.spr	FM_LW_000_ST01.spr	FM_LW_000_ST04.spr	FM_LW_000_ST05.spr	FM_LW_006_ST06.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_006_RN04.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_006_RN04.spr	FM_LW_000_IJ01.spr	FM_LW_000_IJ02.spr	FM_LW_000_IJ03.spr	FM_LW_006_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_LW_000_AT01.spr	FM_LW_000_AT03.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_000_AT04.spr	FM_LW_006_AT07.spr	FM_LW_006_AT07.spr	FM_LW_000_MG01.spr	FM_LW_000_AT01.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_006_AT07.spr	FM_LW_000_ZZ01.spr	FM_LW_000_JP01.spr	FM_LW_000_RD01.spr	FM_LW_000_HR01.spr	FM_LW_000_HR01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA01.spr	FM_LW_000_HI01.spr	All_DE01.spr	FM_LW_000_RD01.spr	FM_LW_000_RD01.spr
Lo¹i tr­êng th­¬ng 1	FM_LW_000_ST01.spr	FM_LW_000_ST01.spr	FM_LW_000_ST01.spr	FM_LW_000_ST04.spr	FM_LW_000_ST05.spr	FM_LW_007_ST06.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_007_RN04.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_007_RN04.spr	FM_LW_000_IJ01.spr	FM_LW_000_IJ02.spr	FM_LW_000_IJ03.spr	FM_LW_007_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_LW_000_AT01.spr	FM_LW_000_AT03.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_000_AT04.spr	FM_LW_007_AT07.spr	FM_LW_007_AT07.spr	FM_LW_000_MG01.spr	FM_LW_000_AT01.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_007_AT07.spr	FM_LW_000_ZZ01.spr	FM_LW_000_JP01.spr	FM_LW_000_RD01.spr	FM_LW_000_HR01.spr	FM_LW_000_HR01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA01.spr	FM_LW_000_HI01.spr	All_DE01.spr	FM_LW_000_RD01.spr	FM_LW_000_RD01.spr
Lo¹i tr­êng th­¬ng 2	FM_LW_000_ST01.spr	FM_LW_000_ST01.spr	FM_LW_000_ST01.spr	FM_LW_000_ST04.spr	FM_LW_000_ST05.spr	FM_LW_008_ST06.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_008_RN04.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_008_RN04.spr	FM_LW_000_IJ01.spr	FM_LW_000_IJ02.spr	FM_LW_000_IJ03.spr	FM_LW_008_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_LW_000_AT01.spr	FM_LW_000_AT03.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_000_AT04.spr	FM_LW_008_AT07.spr	FM_LW_008_AT07.spr	FM_LW_000_MG01.spr	FM_LW_000_AT01.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_008_AT07.spr	FM_LW_000_ZZ01.spr	FM_LW_000_JP01.spr	FM_LW_000_RD01.spr	FM_LW_000_HR01.spr	FM_LW_000_HR01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA01.spr	FM_LW_000_HI01.spr	All_DE01.spr	FM_LW_000_RD01.spr	FM_LW_000_RD01.spr
Lo¹i tr­êng th­¬ng 3	FM_LW_000_ST01.spr	FM_LW_000_ST01.spr	FM_LW_000_ST01.spr	FM_LW_000_ST04.spr	FM_LW_000_ST05.spr	FM_LW_009_ST06.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_009_RN04.spr	FM_LW_000_RN01.spr	FM_LW_000_RN01.spr	FM_LW_000_RN02.spr	FM_LW_000_RN03.spr	FM_LW_009_RN04.spr	FM_LW_000_IJ01.spr	FM_LW_000_IJ02.spr	FM_LW_000_IJ03.spr	FM_LW_009_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_LW_000_AT01.spr	FM_LW_000_AT03.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_000_AT04.spr	FM_LW_009_AT07.spr	FM_LW_009_AT07.spr	FM_LW_000_MG01.spr	FM_LW_000_AT01.spr	FM_LW_000_AT03.spr	FM_LW_000_AT04.spr	FM_LW_009_AT07.spr	FM_LW_000_ZZ01.spr	FM_LW_000_JP01.spr	FM_LW_000_RD01.spr	FM_LW_000_HR01.spr	FM_LW_000_HR01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA01.spr	FM_LW_000_HA01.spr	FM_LW_000_HI01.spr	All_DE01.spr	FM_LW_000_RD01.spr	FM_LW_000_RD01.spr
