[DEFAULT]
Dir1=-1,14,16,13,1,4,9,7,5,6,12,8,0
Dir2=-1,14,16,13,9,7,4,1,5,12,6,8,0
Dir3=-1,9,7,12,13,14,5,16,4,1,0,6,8
Dir4=-1,9,7,12,13,5,14,16,4,1,0,8,6
Dir5=-1,12,13,8,6,5,14,16,4,1,0,7,9
Dir6=-1,8,6,12,13,5,14,16,4,1,0,9,7
Dir7=-1,8,6,12,13,14,5,16,4,1,0,9,7
Dir8=-1,14,16,13,4,1,8,6,5,12,0,9,7
Dir9=-1,12,13,14,8,6,9,5,16,4,0,1,7
Dir10=-1,12,13,14,8,6,9,5,16,4,0,1,7
Dir11=-1,12,13,14,8,6,9,5,16,4,0,1,7
Dir12=-1,12,13,14,8,6,5,16,4,0,1,9,7
Dir13=-1,12,13,14,8,6,5,16,4,0,1,9,7
Dir14=-1,12,13,14,8,6,5,16,4,1,0,7,9
Dir15=-1,12,13,14,6,8,5,16,4,1,0,7,9
Dir16=-1,12,13,14,5,16,0,1,6,8,7,9,4
UnitNum=11
DirNum=18

[RangeWStand]
Dir1=-1,14,16,13,1,4,7,5,6,9,8,0,12
Dir2=-1,14,16,13,7,4,1,5,12,6,8,0,9
Dir5=-1,12,13,9,8,6,7,5,14,16,4,1,0
Dir6=-1,8,6,12,13,9,5,14,16,4,1,0,7

[RangeWWound]
Dir1=-1,14,16,13,1,4,7,6,5,12,8,0,9
Dir2=-1,14,16,13,7,4,1,5,12,6,8,0,9
Dir3=-1,7,12,13,14,5,16,4,1,0,6,8,9
Line1=12,9,7,12,13,14,5,16,4,1,0,6,8
Dir5=-1,9,12,13,8,6,7,5,14,16,4,1,0
Dir6=-1,9,8,6,12,13,5,14,16,4,1,0,7
Dir7=-1,8,6,12,13,14,5,16,4,1,9,7,0

[RangeWDie]
Dir1=-1,14,16,13,1,4,7,5,6,12,8,0,9
Dir2=-1,14,16,13,7,4,1,5,12,6,8,0,9
Dir3=-1,7,12,13,14,5,16,4,1,0,6,8,9
;Dir3=-1,7,12,13,14,5,16,4,1,0,6,8,9
Line1=27,16,7,12,13,14,5,4,1,0,6,8,9
Line2=28,16,7,12,13,14,5,4,1,0,6,8,9
Line3=29,16,7,12,13,14,5,4,1,0,6,8,9
;Dir4=-1,9,7,12,13,5,14,16,4,1,0,8,6
Line4=37,16,12,13,5,14,4,1,0,9,7,8,6
Line5=38,16,12,13,5,14,4,1,0,9,7,8,6
Line6=39,16,12,13,5,14,4,1,0,9,7,8,6
;Dir5=-1,12,13,8,6,5,14,16,4,1,0,7,9
Line7=47,16,12,13,5,14,4,1,0,8,6,9,7
Line8=48,16,12,13,5,14,4,1,0,8,6,9,7
Line9=49,16,12,13,5,14,4,1,0,8,6,9,7
;Dir6=-1,8,6,12,13,5,14,16,4,1,0,9,7
Line10=57,16,12,13,5,14,4,1,0,8,6,9,7
Line11=58,16,12,13,5,14,4,1,0,8,6,9,7
Line12=59,16,12,13,5,14,4,1,0,8,6,9,7
;Dir7=-1,8,6,12,13,14,5,16,4,1,0,9,7
