DetailType	ParticularType	PhysicsSkillID
-1	0	53
0	0	53
0	0	53
0	0	53
0	0	53
0	0	53
0	0	53
0	0	53
0	0	53
0	0	53
0	0	53
0	1	53
0	1	53
0	1	53
0	1	53
0	1	53
0	1	53
0	1	53
0	1	53
0	1	53
0	1	53
0	2	1
0	2	1
0	2	1
0	2	1
0	2	1
0	2	1
0	2	1
0	2	1
0	2	1
0	2	1
0	3	1
0	3	1
0	3	1
0	3	1
0	3	1
0	3	1
0	3	1
0	3	1
0	3	1
0	3	1
0	4	53
0	4	53
0	4	53
0	4	53
0	4	53
0	4	53
0	4	53
0	4	53
0	4	53
0	4	53
0	5	53
0	5	53
0	5	53
0	5	53
0	5	53
0	5	53
0	5	53
0	5	53
0	5	53
0	5	53
1	0	2
1	0	2
1	0	2
1	0	2
1	0	2
1	0	2
1	0	2
1	0	2
1	0	2
1	0	2
1	1	2
1	1	2
1	1	2
1	1	2
1	1	2
1	1	2
1	1	2
1	1	2
1	1	2
1	1	2
1	2	2
1	2	2
1	2	2
1	2	2
1	2	2
1	2	2
1	2	2
1	2	2
1	2	2
1	2	2
0	6	53
0	6	53
0	6	53
0	6	53
0	6	53
0	6	53
0	6	53
0	6	53
0	6	53
0	6	53
0	7	53
0	7	53
0	7	53
0	7	53
0	7	53
0	7	53
0	7	53
0	7	53
0	7	53
0	7	53
0	8	1
0	8	1
0	8	1
0	8	1
0	8	1
0	8	1
0	8	1
0	8	1
0	8	1
0	8	1
1	3	1935
1	3	1935
1	3	1935
1	3	1935
1	3	1935
1	3	1935
1	3	1935
1	3	1935
1	3	1935
1	3	1935
