10	∑ÔœË∏Æ	≥…∂º∏Æ	¥Û¿Ì∏Æ	„Íæ©∏Æ	œÂ—Ù∏Æ	—Ô÷›∏Æ	¡Ÿ∞≤∏Æ	Ω≠ΩÚ¥Â	¡˙√≈’Ú	∞Õ¡Íœÿ	ƒœ‘¿’Ú	¡˙»™¥Â	µæœ„¥Â	”¿¿÷’Ú	÷Ïœ…’Ú	 Øπƒ’Ú
Ph≠Óng T≠Íng PhÒ 	-1	20	50	30	30	40	50	-1	20	-1	-1	-1	-1	10	-1	-1
Thµnh ß´ PhÒ 	20	-1	30	30	30	40	50	10	-1	-1	-1	-1	-1	-1	-1	-1
ßπi L˝	50	30	-1	50	40	50	50	20	-1	-1	-1	-1	-1	-1	-1	10
Bi÷n Kinh PhÒ 	30	30	50	-1	20	30	50	-1	-1	-1	-1	-1	-1	-1	10	-1
T≠¨ng D≠¨ng PhÒ 	30	30	40	20	-1	20	30	-1	-1	20	-1	-1	10	-1	-1	-1
D≠¨ng Ch©u PhÒ 	40	40	50	30	20	-1	20	-1	-1	-1	-1	-1	10	-1	-1	-1
L©m An PhÒ 	50	50	50	50	30	20	-1	-1	-1	-1	-1	20	-1	-1	-1	-1
Giang T©n Th´n	-1	10	20	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1
Long M´n tr n	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Ba L®ng huy÷n	-1	-1	-1	-1	20	-1	-1	20	-1	-1	10	-1	-1	-1	-1	-1
Nam Nhπc tr n	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1
Long Tuy“n th´n	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1
ßπo H≠¨ng th´n	-1	-1	-1	-1	10	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
V‹nh Lπc tr n	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Chu Ti™n tr n	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Thπch CÊ tr n	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
