ID	STRING
10001	*********APPEND 2004/7-15/1:8************
10002	GM Command List
10003	3
10004	Ngµy vui kh«ng thÓ thiÕu ®­îc ®©y!  Ph¸o Hoa chØ cã 5000 l­îng hoÆc ®æi 1 c¸i ®ïi gµ ®©y! 
10005	§©y lµ phÇn cña b¹n! Xin ®a t¹! 
10006	Hµng cùc phÈm ®©y! B¸n ®óng gi¸ ®©y! 
10007	Vi kh¸ch quan nµy cã muèn thö vËn khİ kh«ng?
10008	3 viªn xİ ngÇu rÊt dÔ lµm giµu. ChØ cÇn 3 viªn cïng hiÖn chung 1 sè lµ tiÒn tµi mh­ n­íc ®©y!  
10009	ChØ cÇn 2 hét gièng sè nhau hoÆc 3 hét hiÖn sè tiÕn liªn tôc nhau lµ ®· th¾ng råi! 
10010	Mçi v¸n th¾ng sÏ ®­îc nh÷ng phÇn th­ëng kh¸c nhau! 
10011	NÕu 3 hét ®Òu gièng sè nhau, phÇn th­ëng sÏ cµng bÊt ngê! 
10012	Thñ vËn may nµo!  §Æt İt ¨n İt, ®Æt nhiÒu ¨n nhiÒu! 
10013	Danh väng cña ng­¬i cßn kĞm qu¸!  Ta tÆng ng­oi İt ®iÓm danh väng!  Sau nµy ph¶i cè g¾ng tİch lòy ®Ó tån tai trªn giang hå! 
10014	H«m nay lµ ngµy sinh nhËt cña c« n­¬ng!  TÆng c« 1 b«ng hoa t­¬i!  Chóc Sinh nhËt vui vÎ! 
10015	Chóc mõng Vinagame ®· rÊt thµnh c«ng mang ®Õn cho chóng ta nhiÒu niÒm vui!  Nµo!  Uèng víi l·o 1 ly! 
10016	Hoan nghªnh b¹n trÎ gia nhËp Vâ l©m truyÒn kú!  L·o tÆng b¹n 20000 l­îng ®Ó thuËn lîi luyÖn c«ng nhĞ! 
10017	Ng­¬i lªn ®Õn cÊp 20 ta sÏ t¨ng ng­¬i 1 con ngùa!  Cè g¾ng lªn! 
10018	TÆng b¹n trÎ 1 c¸i Hoµng Kim B¶o r­¬ng!  Chóc b¹n ch¬i vui vÎ! 
10019	Hoan nghªnh b¹n trÎ gia nhËp Vâ l©m truyÒn kú!  L·o tÆng b¹n 5000 l­îng ®Ó thuËn lîi luyÖn c«ng nhĞ! 
10020	§iÓm kü n¨ng cña ng­¬i h×nh nh­ cã chót vÊn ®Ò!  §Ó ta gióp cho nhĞ!  §õng c¨ng th¼ng qu¸! 
10021	D÷ liÖu bang héi cña b¹n cã sai sãt!  HiÖn giê b¹n ®· bŞ rêi khái bang héi! 
10022	D÷ liÖu bang héi cña b¹n cã sai sãt!  HiÖn ®ang ®­îc phôc håi! 
10023	Míi ra giang hå, ng­¬i cã biÕt m×nh cÇn ph¶i lµm g× kh«ng?
10024	Xin l·o tr­îng chØ gi¸o! 
10025	ChØ gi¸o th× kh«ng d¸m! Nh­ng trong th«n cã vµi ng­êi cÇn gióp ®ì! Ng­¬i h·y ®i gÆp hä xem! SÏ cã İch cho ng­¬i! 
10026	Tr­íc tiªn h·y ra ngoµi th«n luyÖn c«ng! Ngµy nay gian khæ ngµy sau sÏ phó quı! 
10027	Mçi lÇn th¨ng cÊp, ng­¬i sÏ ®­îc 5 ®iÓm TiÒm n¨ng vµ 1 ®iÓm kü n¨ng. ViÖc ph©n phèi ®iÓm sÏ quyÕt ®Şnh tiÒn ®å cña  ng­¬i! 
10028	1 ng­êi h¶o h¸n 3 ng­êi gióp. V× vËy nªn kÕt cµng nhiÒu b»ng h÷u cµng tèt
10029	TiÒn ®å réng thªnh thang, thµnh b¹i ®Òu do m×nh mµ ra! 
10030	Nh÷ng g× cÇn nãi ta ®· nãi hÕt råi! PhÇn cßn l¹i lµ do ë ng­¬i! 
10031	§a t¹ l·o tr­îng! 
10032	Nªn nhí!  Giang hå kh«ng ph¶i lµ chèn hoµn mü!  Cã yªu th­¬ng cã ®èi tr¸. Cã tri kû, cã th©m thï! Ng­¬i cÇn ph¶i lu«n tù chñ lÊy m×nh! Ai trång c©y th× ®­îc ¨n tr¸i! 
10033	TÆng ng­¬i 1 c¸i Hoµng Kim B¶o r­¬ng! Chóc ng­¬i sím c«ng thµnh danh to¹i! 
10034	TÆng ng­¬i 1 viªn Thñy Tinh! Chóc ng­¬i sím b¶ng hæ ®Ò danh
10035	TÆng ng­¬i 1 viªn Tinh Hång B¶o Th¹ch! Chóc ng­¬i sím c«ng thµnh danh to¹i! 
10036	§©y lµ Phi Phong cña ng­¬i! Xin nhËn lÊy! 
10037	§©y lµ Bµn Nh­îc T©m Kinh cña ng­¬i! Xin nhËn lÊy! 
10038	Kim s¬n Ch­ëng m«n nhê ta tÆng lÔ vËt nµy cho ng­¬i. L·o kh«ng d¸m phô lßng ñy th¸c! 
10039	Kim s¬n Ch­ëng m«n nhê ta tÆng lÔ vËt nµy cho ng­¬i, nh­ng kh«ng hiÓu sao l¹i kh«ng thÊy, h·y ®i hái trùc tiÕp «ng ta xem! 
10040	Ng­¬i cã thÓ lùa chän 1 trong 2 mãn quµ sau: Thñy Tinh hoÆc Tinh Hång B¶o Th¹ch! 
10041	Quµ cña ng­¬i lµ 1 viªn Tinh Hång B¶o Th¹ch, nhËn b©y giê chø?
10042	§©y lµ Thñy Tinh cña ng­¬i!  Xin nhËn lÊy! 
10043	§©y lµ Tinh Hång B¶o Th¹ch cña ng­¬i!  Xin nhËn lÊy! 
10044	TÆng b¹n 1 bé Phi Phong,cã thÓ kho¸c lªn tÊt c¶ c¸c lo¹i y phôc
10045	Kim s¬n Ch­ëng m«n nhê ta tÆng lÔ vËt nµy cho ng­¬i. L·o kh«ng d¸m phô lßng ñy th¸c! 
10046	Kim s¬n Ch­ëng m«n nhê ta tÆng lÔ vËt nµy cho ng­¬i, nh­ng kh«ng hiÓu sao l¹i kh«ng thÊy, h·y ®i hái trùc tiÕp «ng ta xem! 
10047	Kim s¬n Ch­ëng m«n nhê ta tÆng lÔ vËt nµy cho ng­¬i. L·o kh«ng d¸m phô lßng ñy th¸c! 
10048	Kim s¬n Ch­ëng m«n nhê ta tÆng lÔ vËt nµy cho ng­¬i. L·o kh«ng d¸m phô lßng ñy th¸c! 
10049	Kim s¬n Ch­ëng m«n nhê ta tÆng lÔ vËt nµy cho ng­¬i, nh­ng kh«ng hiÓu sao l¹i kh«ng thÊy, h·y ®i hái trùc tiÕp «ng ta xem! 
