Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	»ù´¡ÊôĞÔ1ÀàĞÍ	»ù´¡ÊôĞÔ1×îĞ¡Öµ	»ù´¡ÊôĞÔ1×î´óÖµ	»ù´¡ÊôĞÔ2ÀàĞÍ	»ù´¡ÊôĞÔ2×îĞ¡Öµ	»ù´¡ÊôĞÔ2×î´óÖµ	»ù´¡ÊôĞÔ3ÀàĞÍ	»ù´¡ÊôĞÔ3×îĞ¡Öµ	»ù´¡ÊôĞÔ3×î´óÖµ	»ù´¡ÊôĞÔ4ÀàĞÍ	»ù´¡ÊôĞÔ4×îĞ¡Öµ	»ù´¡ÊôĞÔ4×î´óÖµ	»ù´¡ÊôĞÔ5ÀàĞÍ	»ù´¡ÊôĞÔ5×îĞ¡Öµ	»ù´¡ÊôĞÔ5×î´óÖµ	»ù´¡ÊôĞÔ6ÀàĞÍ	»ù´¡ÊôĞÔ6×îĞ¡Öµ	»ù´¡ÊôĞÔ6×î´óÖµ	»ù´¡ÊôĞÔ7ÀàĞÍ	»ù´¡ÊôĞÔ7×îĞ¡Öµ	»ù´¡ÊôĞÔ7×î´óÖµ	ĞèÇóÊôĞÔ1ÀàĞÍ	ĞèÇóÊôĞÔ1ÊıÖµ	ĞèÇóÊôĞÔ2ÀàĞÍ	ĞèÇóÊôĞÔ2ÊıÖµ	ĞèÇóÊôĞÔ3ÀàĞÍ	ĞèÇóÊôĞÔ3ÊıÖµ	ĞèÇóÊôĞÔ4ÀàĞÍ	ĞèÇóÊôĞÔ4ÊıÖµ	ĞèÇóÊôĞÔ5ÀàĞÍ	ĞèÇóÊôĞÔ5ÊıÖµ	ĞèÇóÊôĞÔ6ÀàĞÍ	ĞèÇóÊôĞÔ6ÊıÖµ
ThiÕt Trñy thñ 	0	0	0	\spr\item\equip\closeweapon\obj-sword01.spr	9	1	3	Lo¹i kiÕm nhá b»ng s¾t, kh¶ n¨ng s¸t th­¬ng kĞm. 		50	1	0	28	4	4	29	7	7	167	0	0	31	20	20										36	0	32	20	33	0						
Cang KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword02.spr	9	1	3	Lo¹i kiÕm ®­îc tinh luyÖn tõ thĞp. 		600	2	0	28	8	8	29	15	15	167	0	0	31	28	28										36	9	32	20	33	0						
Thanh Phong KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword03.spr	9	1	3	Lo¹i kiÕm máng, tinh luyÖn, s¾c nhän. 		1350	3	0	28	12	12	29	23	23	167	0	0	31	36	36										36	18	32	30	33	0						
Long TuyÒn KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword04.spr	9	1	3	Lo¹i danh kiÕm thêi §­êng, truyÒn thuyÕt kÓ lo¹i kiÕm nµy cã Long Khİ rÊt m¹nh. 		2400	4	0	28	16	16	29	31	31	167	0	0	31	44	44										36	27	32	40	33	0						
Tr·m M· KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword05.spr	9	1	3	KiÕm cæ thêi §­êng, th©n dµi vµ s¾c, chĞm ngùa còng ®¬n gi¶n nh­ chÆt tay. 		3750	5	0	28	21	21	29	39	39	167	0	0	31	52	52										36	36	32	50	33	0						
¤ Kim KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword06.spr	9	1	3	chÕ t¹o tõ lo¹i ¤ Kim quı hiÕm, cã thÓ chĞm ®ång chÆt s¾t. 		5400	6	0	28	25	25	29	46	46	167	0	0	31	60	60										36	45	32	60	33	0						
XØ KhiÕp	0	0	0	\spr\item\equip\closeweapon\obj-sword23.spr	9	1	3	lo¹i kiÕm cã h×nh r¨ng c­a, th©n dµi rÊt khã huy ®éng. 		7500	7	0	28	29	29	29	54	54	167	0	0	31	68	68										36	54	32	70	33	0						
ThÊt Xİch KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword21.spr	9	1	3	Th©n kiÕm siªu dµi, méc nh©ny yÕu kh«ng thÓ sö dông. 		10000	8	0	28	33	33	29	62	62	167	0	0	31	76	76										36	63	32	80	33	0						
Thiªn NhËn KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword22.spr	9	1	3	Lo¹i danh kiÕm cæ, ®øng xa tr¨m dÆm cã thÓ nghe ®­îc tiÕng thanh g­¬m kªu. 		12500	9	0	28	37	37	29	70	70	167	0	0	31	84	84										36	72	32	90	33	0						
HuyÒn ThiÕt KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Lo¹i kiÕm ®­îc chÕ tõ lo¹i huyÒn thiÕt v¹n n¨m, nhän vµ dµi, thİch hîp chiÕn ®Êu. 		15000	10	0	28	42	42	29	78	78	167	0	0	31	90	90										36	81	32	100	33	0						
