TASKID	VALUE	DESC1	FACT1	DESC2
2450	2	询问独孤剑闭关之事的真正缘由未果，无奈之下，只好先离开衡山派。出于对独孤大侠的敬重，还是从<color=yellow>大厅正门<color>离去为好。		
2450	3	正是欲离开衡山派之际，偶然发现大厅门口<color=yellow>红毯下<color>仿佛藏匿了一个<color=yellow>方形硬物<color>。独孤大侠仍在附近，是否要偷偷翻看一下呢？		
2450	4	红毯下藏的竟是珍贵的《武林秘籍》，但看上去却又有些许不同。欲拿去仔细研究一番，却怕独孤大侠起疑，看来只好先拿本<color=yellow>正宗的《武林秘籍》与之调换<color>，应付一时。		
2450	5	好像独孤剑并没有注意到，终于被我调包成功了。这本<color=yellow>《武林秘籍》<color>到底隐含什么不同呢，不妨找个私密之处领略一下吧。		
2450	6	读过夹在《武林秘籍》中的书信，依旧没有头绪。但已隐隐感到一丝阴云笼罩，看来唯一的线索就是<color=yellow>汴京车夫<color>了。		
2450	7	车夫这唯一的线索莫名疯癫了，不论真假，都要想方设法使其恢复。想起自己曾读过的<color=yellow>《般若心经》<color>，能使身心受到创伤的人大为好转平复，决定起身一试，去找本来<color=yellow>为车夫诵读一番<color>。		
2450	8	在你的帮助下，车夫精神恢复正常，但说什么也不敢再去遭遇现场了。多年的赶车生涯让他对汴京东部的地形环境了如指掌，为报答你的救助之恩，他托付早年相熟的<color=yellow>贾神算<color>为你画了张地图。你决定早日动身，前往<color=yellow>襄阳广场<color>去拜访贾神算。		
2450	9	很快便顺利拿到了地图，地图上记录了车夫在<color=yellow>汴京东部小路<color>赶车时发生剧烈颠簸的地点。车夫曾说那里不明不白出现了个<color=yellow>大凸起<color>，去那<color=yellow>挖掘<color>看看能不能发现什么秘密。到底为什么会发生莫名的颠簸呢，到底这个地方在哪呢？		
2450	10	在车夫遭遇剧烈颠簸的地点，竟然挖到了<color=yellow>一口棺木<color>。而附近还有些动物的尸骨，说明棺木不是用来掩藏动物尸骨的，那么……这棺木里会是什么呢？看来事态越来越严重了，调查此事让你觉得越发惊险，是就此罢休呢，还是<color=yellow>开启这神秘的棺木<color>呢？		
2450	11	终于按捺不住探明真相的冲动，你决定打开神秘棺木一看。然而棺木盖子像是被什么东西<color=yellow>牢牢锁住<color>了，根本无从打开，只好再次前往拜访见多识广、通晓奇闻轶事奇门歪道的<color=yellow>贾神算<color>。		
2450	12	正欲向神算求助，不巧他却被人暗算失忆了。这种精神上的创伤，治愈之道或许也有相通……上次为车夫诵读<color=yellow>《般若心经》<color>使其好转，这回也不妨对神算一试，而且也只有这样了。		
2450	13	贾神算诵读《般若心经》之余，便觉精气流淌，经脉畅通，神清气爽，看样子不日便可恢复记忆。到今天已有些时日了，再去<color=yellow>看望下贾神算<color>吧，也许他已经可以帮我忙了。		
2450	14	从贾神算那了解到，棺木的开启方法很独特。在棺木的底部有<color=yellow>两重机关锁<color>，只有解开了第一重，才能解第二重锁。两重锁都解开了，棺木盖子便开启了。两重机关锁都是由<color=yellow>6组2*2<color>大小的格子构成，需要在每组格子的特定位置中放入特定的<color=yellow>宝物<color>才能解开。而在每重锁解开后，宝物就不能取回了。<enter>最后神算给了你<color=yellow>两张神秘棺木的解锁图<color>，对应两重机关锁，据说这图里蕴藏了放置宝物解锁的玄机。		
2450	15	终于解开了第一重锁，这其中果然很是玄秒。然这第二重锁更似复杂，还是再来细细研究下解锁图吧。		
2450	16	打开棺木后，发现了一具奇异死尸。仿佛被施过什么功，掩盖了其死因。你想起《洗髓经》里记载有筋肉受到损伤的恢复之道，想死马当活马医一试。尽早找本<color=yellow>《洗髓经》<color>，参照它对尸体运功，或许还能够把他恢复成死亡时的模样。		
2450	17	参照《洗髓经》对死尸运功后，尸体渐渐恢复了本来的面目。从尸身上的咬痕、蝙蝠、灼伤来看，这事也许是本教<color=yellow>天忍教<color>做的。但尚不能确定是有人私自出来作祟，还是本教最近有大行动。正巧出来行走很久没回教了，不如回去拜访一下<color=yellow>完颜教主<color>，当面问问他吧。	7	参照《洗髓经》对死尸运功后，尸体渐渐恢复了本来的面目。从尸身上的咬痕、蝙蝠、灼伤来看，这事可能是<color=yellow>天忍教<color>所为。凭一人之力，这事只能调查至此了，再单枪匹马闯下去，兴许会对整个事态不利。事不宜迟，赶紧回去禀告<color=yellow>本门掌门<color>吧。
2450	18	向教主禀告了自己最近调查的发现，得知本教最近果然将有大动作。虽然揭穿了本教的秘密，但教主见你胆识过人，可堪大任，颇为赏识，决定将本教上乘阴邪之术授予你。为防隔墙有耳，走漏风声，教主要你准备好<color=yellow>本门全部技能书各一本<color>，他会将诀要书于其上。其后，便可自己去研读了。	7	向掌门禀告了自己最近调查的发现，颇受赏识，获得了难得的学习本门上乘绝学的机会。为防隔墙有耳，武功被旁人偷学，掌门要你准备好<color=yellow>本门全部技能书各一本<color>，他会将诀要书于其上。其后，便可自己去研读了。
2450	19	集齐本门全部技能书并交予了掌门，得到了<color=yellow>120级技能诀要<color>。钻研一番，便能领悟其中记录的上乘绝学了。<enter>一番曲折之后，竟是你获得了武林中人趋之若鹜的上乘武学，然而这究竟是你的心之所向吗……漫漫江湖路在揭示了汴京一夜后，又将揭开怎样的一页？		
