NpcAction	FightStand	NormalStand1	NormalStand2	FightWalk	NormalWalk	FightRun	NormalRun	Wound	Die	Attack1	Attack2	Magic	SitDown	JunpFly
enemy003	"48,8,200"	"48,8,200"	"112,8,85"	"112,8,85"	"112,8,85"	"112,8,85"	"112,8,85"	"56,8,128"	"104,8,80"	"112,8,100"	"112,8,100"	"112,8,100"	"48,8,200"	"112,8,85"
enemy004	"120,8,100"	"120,8,100"	"160,8,75"	"112,8,85"	"112,8,85"	"112,8,85"	"112,8,85"	"48,8,133"	"104,8,69"	"152,8,73"	"152,8,73"	"152,8,73"	"120,8,100"	"112,8,85"
enemy005	"152,8,63"	"152,8,63"	"152,8,63"	"240,8,30"	"240,8,30"	"240,8,30"	"240,8,30"	"80,8,50"	"144,8,50"	"120,8,60"	"120,8,60"	"120,8,60"	"152,8,63"	"240,8,30"
enemy006	"96,8,100"	"96,8,100"	"104,8,107"	"120,8,80"	"120,8,80"	"120,8,80"	"120,8,80"	"64,8,81"	"120,8,73"	"112,8,100"	"112,8,100"	"112,8,100"	"96,8,100"	"120,8,80"
enemy007	"104,8,107"	"104,8,107"	"104,8,107"	"112,8,85"	"112,8,85"	"112,8,85"	"112,8,85"	"64,8,81"	"104,8,107"	"96,8,116"	"96,8,116"	"96,8,116"	"104,8,107"	"112,8,85"
enemy015	"72,8,133"	"72,8,133"	"120,8,120"	"224,8,35"	"224,8,35"	"224,8,35"	"224,8,35"	"40,8,140"	"352,8,30"	"128,8,70"	"128,8,70"	"128,8,70"	"72,8,133"	"224,8,35"
enemy016	"72,8,133"	"72,8,133"	"120,8,120"	"224,8,35"	"224,8,35"	"224,8,35"	"224,8,35"	"40,8,140"	"352,8,30"	"112,8,80"	"112,8,80"	"112,8,80"	"72,8,133"	"224,8,35"
enemy017	"96,8,100"	"96,8,100"	"104,8,100"	"112,8,96"	"112,8,96"	"112,8,96"	"112,8,96"	"48,8,100"	"104,8,75"	"112,8,75"	"112,8,75"	"112,8,75"	"96,8,100"	"112,8,96"
enemy021	"64,8,175"	"64,8,175"	"96,8,120"	"112,8,88"	"112,8,88"	"112,8,88"	"112,8,88"	"48,8,85"	"120,8,120"	"128,8,75"	"128,8,75"	"128,8,75"	"64,8,175"	"112,8,88"
enemy022	"112,8,120"	"112,8,120"	"144,8,120"	"112,8,80"	"112,8,80"	"112,8,80"	"112,8,80"	"48,8,100"	"120,8,80"	"160,8,60"	"160,8,60"	"160,8,60"	"112,8,120"	"112,8,80"
enemy023	"80,8,160"	"80,8,160"	"184,8,120"	"112,8,112"	"112,8,112"	"112,8,112"	"112,8,112"	"48,8,100"	"152,8,100"	"168,8,96"	"168,8,96"	"168,8,96"	"80,8,160"	"112,8,112"
