EqName	SwordShieldWFreeStand	ShieldSwordWFreeStand	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	SwordShieldWStand	ShieldSwordWStand	GuqinWStand1	GuqinWStand2	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	SwordShieldWWalk	ShieldSwordWWalk	GuqinWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	SwordShieldWRun	ShieldSwordWRun	GuqinWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	SwordShieldWWound	ShieldSwordWWound	GuqinWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	SwordShieldWDie	ShieldSwordWDie	GuqinWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	SwordShieldWChop	SwordShieldWCut	ShieldSwordWChop	ShieldSwordWCut	GuqinWPuncture	GuqinWCut	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SwordShieldWMagic	ShieldSwordWMagic	GuqinWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2	ChangeColor
Tay kh«ng																																																																												
KiÕm 1																																																																												
KiÕm 2																																																																												
KiÕm 3																																																																												
§¬n ®ao 1																																																																												
§¬n ®ao 2																																																																												
§¬n ®ao 3																																																																												
Tr­êng th­¬ng 1																																																																												
Tr­êng th­¬ng 2																																																																												
Tr­êng th­¬ng 3																																																																												
C«n 1																																																																												
C«n 2																																																																												
C«n 3																																																																												
Song kiÕm 1																																																																												
Song kiÕm 2																																																																												
Song kiÕm 3																																																																												
Song chïy 1																																																																												
Song chïy 2																																																																												
Song chïy 3																																																																												
¸m khÝ 																																																																												
KiÕm 4																																																																												
KiÕm 5																																																																												
§ao 4																																																																												
§ao 5																																																																												
Tr­êng th­¬ng 4																																																																												
Tr­êng th­¬ng 5																																																																												
C«n 4																																																																												
C«n 5																																																																												
Song kiÕm 4																																																																												
Song kiÕm 5																																																																												
Song chïy 4																																																																												
Song chïy 5																																																																												
§ao 6(Kim)																																																																												
§ao 7(Thñy)																																																																												
§ao 8(Méc)																																																																												
§ao 9(Thæ)																																																																												
KiÕm 6(Thñy)																																																																												
KiÕm 7(Thæ)																																																																												
Th­¬ng 6(Kim)																																																																												
Th­¬ng  7(Háa)																																																																												
C«n 6(Kim)																																																																												
C«n 7(Háa)																																																																												
Song KiÕm 6(Thñy)																																																																												
Song Chïy 6(Kim)																																																																												
Ë«²øÊÖ-½ð			FM_LF_001_ST01.spr	FM_LF_001_ST02.spr	FM_LF_001_ST03.spr	FM_LF_000_ST04.spr	FM_LF_000_ST05.spr	FM_LF_000_ST06.spr					FM_LF_001_WK01.spr	FM_LF_001_WK01.spr	FM_LF_000_WK02.spr	FM_LF_000_WK03.spr	FM_LF_000_WK04.spr				FM_LF_001_RN01.spr	FM_LF_001_RN01.spr	FM_LF_000_RN02.spr	FM_LF_000_RN03.spr	FM_LF_000_RN04.spr				FM_LF_001_IJ01.spr	FM_LF_000_IJ02.spr	FM_LF_000_IJ03.spr	FM_LF_000_IJ04.spr				FM_LF_001_DE01.spr	FM_LF_000_DE02.spr	FM_LF_000_DE03.spr	FM_LF_000_DE04.spr				FM_LF_001_AT01.spr	FM_LF_000_AT02.spr	FM_LF_000_AT03.spr	FM_LF_000_AT04.spr	FM_LF_000_AT05.spr	FM_LF_000_AT06.spr	FM_LF_000_AT07.spr							FM_LF_001_MG01.spr	FM_LF_001_MG02.spr	FM_LF_000_MG03.spr	FM_LF_000_MG04.spr	FM_LF_000_MG05.spr				FM_LF_001_ZZ01.spr	FM_LF_001_JP01.spr	FM_LF_008_RD01.spr	FM_LF_008_HW01.spr	FM_LF_008_HR01.spr	FM_LF_008_HA01.spr	FM_LF_008_HA02.spr	FM_LF_008_HM01.spr	FM_LF_008_HI01.spr	FM_LF_008_HD01.spr	FM_LF_008_RD01.spr	FM_LF_008_RD01.spr	0x808000
Ë«²øÊÖ-Ë®			FM_LF_001_ST01.spr	FM_LF_001_ST02.spr	FM_LF_001_ST03.spr	FM_LF_000_ST04.spr	FM_LF_000_ST05.spr	FM_LF_000_ST06.spr					FM_LF_001_WK01.spr	FM_LF_001_WK01.spr	FM_LF_000_WK02.spr	FM_LF_000_WK03.spr	FM_LF_000_WK04.spr				FM_LF_001_RN01.spr	FM_LF_001_RN01.spr	FM_LF_000_RN02.spr	FM_LF_000_RN03.spr	FM_LF_000_RN04.spr				FM_LF_001_IJ01.spr	FM_LF_000_IJ02.spr	FM_LF_000_IJ03.spr	FM_LF_000_IJ04.spr				FM_LF_001_DE01.spr	FM_LF_000_DE02.spr	FM_LF_000_DE03.spr	FM_LF_000_DE04.spr				FM_LF_001_AT01.spr	FM_LF_000_AT02.spr	FM_LF_000_AT03.spr	FM_LF_000_AT04.spr	FM_LF_000_AT05.spr	FM_LF_000_AT06.spr	FM_LF_000_AT07.spr							FM_LF_001_MG01.spr	FM_LF_001_MG02.spr	FM_LF_000_MG03.spr	FM_LF_000_MG04.spr	FM_LF_000_MG05.spr				FM_LF_001_ZZ01.spr	FM_LF_001_JP01.spr	FM_LF_008_RD01.spr	FM_LF_008_HW01.spr	FM_LF_008_HR01.spr	FM_LF_008_HA01.spr	FM_LF_008_HA02.spr	FM_LF_008_HM01.spr	FM_LF_008_HI01.spr	FM_LF_008_HD01.spr	FM_LF_008_RD01.spr	FM_LF_008_RD01.spr	0x0080ff
Ë«²øÊÖ-Ä¾			FM_LF_001_ST01.spr	FM_LF_001_ST02.spr	FM_LF_001_ST03.spr	FM_LF_000_ST04.spr	FM_LF_000_ST05.spr	FM_LF_000_ST06.spr					FM_LF_001_WK01.spr	FM_LF_001_WK01.spr	FM_LF_000_WK02.spr	FM_LF_000_WK03.spr	FM_LF_000_WK04.spr				FM_LF_001_RN01.spr	FM_LF_001_RN01.spr	FM_LF_000_RN02.spr	FM_LF_000_RN03.spr	FM_LF_000_RN04.spr				FM_LF_001_IJ01.spr	FM_LF_000_IJ02.spr	FM_LF_000_IJ03.spr	FM_LF_000_IJ04.spr				FM_LF_001_DE01.spr	FM_LF_000_DE02.spr	FM_LF_000_DE03.spr	FM_LF_000_DE04.spr				FM_LF_001_AT01.spr	FM_LF_000_AT02.spr	FM_LF_000_AT03.spr	FM_LF_000_AT04.spr	FM_LF_000_AT05.spr	FM_LF_000_AT06.spr	FM_LF_000_AT07.spr							FM_LF_001_MG01.spr	FM_LF_001_MG02.spr	FM_LF_000_MG03.spr	FM_LF_000_MG04.spr	FM_LF_000_MG05.spr				FM_LF_001_ZZ01.spr	FM_LF_001_JP01.spr	FM_LF_008_RD01.spr	FM_LF_008_HW01.spr	FM_LF_008_HR01.spr	FM_LF_008_HA01.spr	FM_LF_008_HA02.spr	FM_LF_008_HM01.spr	FM_LF_008_HI01.spr	FM_LF_008_HD01.spr	FM_LF_008_RD01.spr	FM_LF_008_RD01.spr	0x00ff00
