EqName	SwordShieldWFreeStand	ShieldSwordWFreeStand	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	SwordShieldWStand	ShieldSwordWStand	GuqinWStand1	GuqinWStand2	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	SwordShieldWWalk	ShieldSwordWWalk	GuqinWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	SwordShieldWRun	ShieldSwordWRun	GuqinWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	SwordShieldWWound	ShieldSwordWWound	GuqinWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	SwordShieldWDie	ShieldSwordWDie	GuqinWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	SwordShieldWChop	SwordShieldWCut	ShieldSwordWChop	ShieldSwordWCut	GuqinWPuncture	GuqinWCut	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SwordShieldWMagic	ShieldSwordWMagic	GuqinWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
Tay kh«ng			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"			"120,8,1"	"120,8,1"			"120,8,1"	"120,8,1"	"120,8,1"			"248,8,1"	"248,8,1"		"88,8,1"	"88,8,1"	"88,8,1"			"96,8,1"	"96,8,1"		"72,8,1"	"64,8,1"			"104,8,1"	"104,8,1"		"96,8,1"	"88,8,1"			"104,8,1"	"104,8,1"		"144,8,1"	"128,8,1"	"112,8,1"					"232,8,1"	"192,8,1"	"232,8,1"	"192,8,1"			"128,8,1"	"96,8,1"	"96,8,1"			"176,8,1"	"176,8,1"		"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
KiÕm 1			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"											"128,8,1"	"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
KiÕm 2			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"											"128,8,1"	"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
KiÕm 3			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"											"128,8,1"	"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
§¬n ®ao 1			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"											"128,8,1"	"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
§¬n ®ao 2			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"											"128,8,1"	"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
§¬n ®ao 3			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"											"128,8,1"	"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Tr­êng th­¬ng 1			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"											"128,8,1"	"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Tr­êng th­¬ng 2			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"											"128,8,1"	"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Tr­êng th­¬ng 3			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"											"128,8,1"	"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
