MissleId	MissleName	MoveKind	FollowKind	ColFollowTarget	MissleHeight	CollidRange	IsRangeDmg	DmgRange	DmgInterval	LifeTime	Speed	Zspeed	Zacc	LoopPlay	SubLoop	SubStart	SubStop	ResponseSkill	CanDestroy	ColVanish	CanSlow	CanColFriend	AutoExplode	MissRate	Param1	Param2	Param3	MultiShow	AnimFile1	AnimFileInfo1	SndFile1	AnimFile2	AnimFileInfo2	SndFile2	AnimFile3	AnimFileInfo3	SndFile3	AnimFile4	AnimFileInfo4	SndFile4	AnimFileB1	AnimFileInfoB1	SndFileB1	AnimFileB2	AnimFileInfoB2	SndFileB2	AnimFileB3	AnimFileInfoB3	SndFileB3	AnimFileB4	AnimFileInfoB4	SndFileB4	RedLum	GreenLum	BlueLum	LightRadius
1	Tø T­îng §ång Quy	1	0	1	18	2	1	2	14	16	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\¶ëáÒ\mag_em_02_ËÄÏóÍ¬¹é.spr	64,16,1	\sound\skill\sound_k029.wav				\spr\skill\¶ëáÒ\mag_bz_bin2_±¬Õ¨Ğ§¹û.spr	6,1,2	\sound\skill\±ù±¬.wav													156	211	255	90
2	NhÊt DiÖp Tri Thu	1	0	1	10	1	0	1	0	32	20	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0				\spr\skill\¶ëáÒ\mag_em_03_Ò»Ò¶ÖªÇï.spr	64,16,1	\sound\skill\sound_k029.wav				\spr\skill\¶ëáÒ\mag_bz_bin1_±¬Õ¨Ğ§¹û.spr	14,1,1	\sound\skill\sound_k041.wav													156	211	255	90
3	BÊt DiÖt BÊt TuyÖt	1	0	1	10	1	0	1	0	16	31	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0				\spr\skill\¶ëáÒ\mag_em_04_²»Ãğ²»¾ø.spr	64,16,1	\sound\skill\²»Ãğ²»¾ø.wav				\spr\skill\¶ëáÒ\mag_em_bin4_±¬Õ¨Ğ§¹û.spr	6,1,1	\sound\skill\µ¶½£´ÌÖĞÉù.wav													156	211	255	90
4	PhËt Quang Phæ ChiÕu	0	0	1	10	4	1	4	13	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\¶ëáÒ\mag_em_05_·ğ¹âÆÕÕÕ.spr	8,1,2					\spr\skill\¶ëáÒ\mag_bz_bin1_±¬Õ¨Ğ§¹û.spr	7,1,2	\sound\skill\sound_k045.wav													156	211	255	90
5	Tõ Hµng Phæ D	0	0	0	10	5	1	5	20	19	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\¶ëáÒ\mag_em_12_´Èº½ÆÕ¶É.spr	20,1,1					\spr\skill\¶ëáÒ\mag_bz_bin5_±¬Õ¨Ğ§¹û.spr	18,1,2	\sound\skill\sound_k041.wav													156	166	247	90
6	Phong V©n §ét Khëi 	1	0	1	10	1	0	1	0	20	18	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\´äÑÌ\mag_cy_01_·çÔÆÍ»Æğ.spr	48,16,1	\sound\skill\·ç»¨Ñ©ÔÂ.wav				\spr\skill\¶ëáÒ\mag_bz_bin2_±¬Õ¨Ğ§¹û.spr	6,1,2	\sound\skill\±ù±¬.wav													156	211	255	90
7	Phong QuyÓn Tµn TuyÕt	1	0	0	5	2	1	2	4	16	26	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1						\sound\skill\·ç¾í²ĞÑ©.wav																			156	211	255	90
8	Vò §¶ Lª Hoa	1	0	1	450	2	1	2	0	30	0	0	1024	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0				\spr\skill\´äÑÌ\mag_cy_03_Óê´òÀæ»¨.spr	5,1,1		\spr\skill\¶ëáÒ\mag_bz_bin4_±¬Õ¨Ğ§¹û.spr	16,1,2		\spr\skill\¶ëáÒ\mag_bz_bin3_±¬Õ¨Ğ§¹û.spr	19,1,2	\sound\skill\sound_k041.wav													156	211	255	90
9	Môc D· L­u Tinh a	0	0	0	320	2	1	2	0	24	0	-40960	40960	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0				\spr\skill\´äÑÌ\mag_cy_04_ÄÁÒ°Á÷ĞÇ.spr	5,1,1		\spr\skill\¶ëáÒ\mag_bz_bin5_±¬Õ¨Ğ§¹û.spr	18,1,2		\spr\skill\¶ëáÒ\mag_bz_bin5_±¬Õ¨Ğ§¹û.spr	18,1,2	\sound\skill\sound_k041.wav													156	211	255	90
10	Bİch H¶i TriÒu Sinh a	0	0	0	10	8	1	8	5	5	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\´äÑÌ\mag_cy_05_±Ìº£³±Éú_a.spr	6,1,1	\sound\skill\±Ìº£³±Éú.wav																			156	211	255	90
