10	·ïÏè¸®	½­½ò´å	ãê¾©¸®	ÏåÑô¸®	°ÍÁêÏØ	ÑïÖİ¸®	ÌìÍõ°ï	ÇàÂİµº	´óÀí¸®	ÁúÃÅÕò	ÁÙ°²¸®
Ph­îng T­êng Phñ 	-1	-1	40	-1	-1	-1	-1	-1	-1	10	-1
Giang T©n Th«n	-1	-1	-1	40	40	80	-1	-1	10	-1	80
BiÖn Kinh Phñ 	40	-1	-1	-1	-1	-1	-1	-1	-1	40	-1
T­¬ng D­¬ng Phñ 	-1	40	-1	-1	10	40	-1	-1	40	-1	40
Ba L¨ng huyÖn	-1	40	-1	10	-1	40	-1	-1	40	-1	40
D­¬ng Ch©u Phñ 	-1	80	-1	40	40	-1	-1	-1	80	-1	10
Thiªn V­¬ng Bang	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Thanh Loa ®¶o	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
§¹i Lı	-1	10	-1	40	40	80	-1	-1	-1	-1	80
Long M«n trÊn	10	-1	40	-1	-1	-1	-1	-1	-1	-1	-1
L©m An Phñ 	-1	80	-1	40	40	10	-1	-1	80	-1	-1
