名称	ItemGenre	DetailType	ParticularType	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	脚本名(参数1)	技能ID（参数1）	参数2(释法类型)	参数3(是否广播)	参数4(是否有等级概念)	参数5(是否可放快捷栏)
技能物品	6	0	0	\spr\item\questkey\taskobj017.spr	9	1	1	技能呀技能呀		100	1	1	28	141	1	1	1	1
剑侠宝物箱	6	1	0	\spr\item\script\item_goldenbox.spr	367	2	2	传说中的宝箱，上面雕刻着神秘的花纹。使用后可以随机得到一样物品		2000	1	0	\script\item\baowubox.lua	0	1	1	0	0
长命丸	6	0	1	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，生命上限增加500点。		50	1	0	0	256	1	1	0	1
加跑丸	6	0	2	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，移动速度加快20%。		50	1	0	0	257	1	1	0	1
大力丸	6	0	3	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，物力攻击增加100点。		50	1	0	0	258	1	1	0	1
高闪丸	6	0	4	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，闪避率提高500点。		50	1	0	0	259	1	1	0	1
高中丸	6	0	5	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，命中率提高500点。		50	1	0	0	260	1	1	0	1
飞速丸	6	0	6	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，攻击速度增加50。		50	1	0	0	261	1	1	0	1
冰防丸	6	0	7	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，冰防御提高50%。		50	1	0	0	262	1	1	0	1
雷防丸	6	0	8	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，雷防御提高50%。		50	1	0	0	263	1	1	0	1
火防丸	6	0	9	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，火防御提高50%。		50	1	0	0	264	1	1	0	1
毒防丸	6	0	10	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，毒防御提高50%。		50	1	0	0	265	1	1	0	1
烟花	6	0	11	\spr\item\magic\icon_item_baozhu.spr	334	1	1	节日喜庆必备用品。		50	1	1	0	251	1	1	0	1
般若心经	6	1	12	\spr\item\questkey\obj_item_lection.spr	341	1	1	佛家宝典，颂经忏悔可清除负经验。		100	1	0	\script\item\sutra.lua	0	1	1	0	1
大红包	6	1	13	\spr\item\questkey\obj_item_burseb.spr	342	1	1	喜庆活动中必备的送礼佳品。		100000	1	0	\script\item\moremoneygift.lua	0	1	1	0	1
小红包	6	1	14	\spr\item\questkey\obj_item_burses.spr	343	1	1	喜庆活动中必备的送礼佳品。		10000	1	0	\script\item\lessmoneygift.lua	0	1	1	0	1
披风	6	1	15	\spr\item\obj_item_mantle.spr	338	1	1	由能工巧匠制作的披风，可以缝制在除黄金装备外的任何衣服上面。		1	1	0	\script\item\mantle.lua	0	1	1	0	0
新春大礼包	6	1	16	\spr\item\obj_item_giftb.spr	344	1	1	赠送神秘礼品的新春大礼包。		100000	1	0	\script\item\biggift.lua	0	1	1	0	0
新春小礼包	6	1	17	\spr\item\obj_item_gifts.spr	345	1	1	赠送神秘礼品的新春小礼包。		10000	1	0	\script\item\smallgift.lua	0	1	1	0	0
心心相映符	6	1	18	\spr\item\obj_item_heart.spr	346	1	1	已婚人士使用此符可以立刻传送到自己的另一半身旁。		10000	1	0	\script\item\heart.lua	0	1	1	0	0
猴年吉祥包	6	1	19	\spr\item\obj_item_jixiang.spr	347	1	1	猴年吉祥包		10000	1	0	\script\item\jixiang.lua	0	1	1	0	0
玫瑰花	6	0	20	\spr\item\questkey\flower.spr	330	1	1	玫瑰花，可以引发一场玫瑰花雨。		10000	1	1	0	285	1	1	0	1
峨嵋秘籍	6	1	21	\spr\item\questkey\obj_item_lection.spr	341	1	1	记载了峨嵋武功的秘籍，对峨嵋弟子有很大帮助。		100	1	0	\script\item\emei-miji.lua	0	1	1	0	1
洗髓经	6	1	22	\spr\item\questkey\obj_item_lection.spr	341	1	1	佛家经典，用梵文撰写而成，如果可以读懂，将从中获益匪浅。		100	1	0	\script\item\xisui-jing.lua	0	1	1	0	1
铁罗汉	6	1	23	\spr\item\questkey\obj_item_lection.spr	341	1	1	一个会动的铁罗汉，钻研可以获得实战经验。		100	1	0	\script\item\tie-luohan.lua	0	1	1	0	1
武当秘籍	6	1	24	\spr\item\questkey\obj_item_lection.spr	341	1	1	记载了武当武功的秘籍，对武当弟子有很大帮助。		100	1	0	\script\item\wudang-miji.lua	0	1	1	0	1
唐门秘籍	6	1	25	\spr\item\questkey\obj_item_lection.spr	341	1	1	记载了唐门武功的秘籍，对唐门弟子有很大帮助。		100	1	0	\script\item\tangmen-miji.lua	0	1	1	0	1
武林秘籍	6	1	26	\spr\item\questkey\obj_item_lection.spr	341	1	1	记载了武林中大多数武功的秘籍，对武林人士有很大帮助。		100	1	0	\script\item\wulin-miji.lua	0	1	1	0	1
袖箭术·暴雨梨花	6	1	27	\spr\item\questkey\obj_item_lection.spr	341	1	1	记载了唐门暴雨梨花的秘密，唐门弟子因此可以拥有暴雨梨花这项能力。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
陷阱术·乱环击	6	1	28	\spr\item\questkey\obj_item_lection.spr	341	1	1	唐门陷阱术中乱环击篇，学习可以获得乱环击陷阱技巧。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
浑石裂	6	1	29	\spr\item\script\gc_npc_01.spr	336	2	2	使用后可组装一台投石车为您攻击守城的敌人。		10000	1	0	\script\item\toushiche.lua	0	1	1	0	0
孽龙冲车	6	1	30	\spr\item\script\gc_npc_02.spr	336	2	2	使用后可组装一台攻城车为您攻击城门。		10000	1	0	\script\item\gongchengche.lua	0	1	1	0	0
云旗兵符	6	1	31	\spr\item\script\gc_npc_03.spr	336	2	2	可以召来一名旗手，为周围的伙伴恢复生命。		10000	1	0	\script\item\yaoqishibing.lua	0	1	1	0	0
鼋鼓兵符	6	1	32	\spr\item\script\gc_npc_04.spr	336	2	2	可以召来一名鼓手，为周围的伙伴增加抗性。		10000	1	0	\script\item\leigushibing.lua	0	1	1	0	0
太极拳谱·卷三	6	1	33	\spr\item\questkey\obj_item_lection.spr	341	1	1	武当太极拳法的秘录，仔细钻研可以习得<天地无极>。		100	1	0	\script\item\skillbook.lua	0	1	1	0	1
